Year,geo_ID,Count_Person_Male,Count_Person_Female,Count_Person_Male_WhiteAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Female_BlackOrAfricanAmericanAlone
1960,country/USA,89319511,91351647,79256987,80765686,9199339,9806942
1961,country/USA,90739919,92951562,80441245,82091790,9400167,10037152
1962,country/USA,92066119,94471618,81538592,83346161,9593142,10258895
1963,country/USA,93302933,95938865,82552723,84551600,9779461,10475606
1964,country/USA,94517752,97371039,83539369,85717355,9972854,10699060
1965,country/USA,95608501,98694462,84417662,86787096,10152077,10911655
1966,country/USA,96619711,99940627,85217766,87779899,10319583,11114483
1967,country/USA,97563882,101148174,85960615,88734499,10470302,11309860
1968,country/USA,98426257,102279795,86630989,89614914,10613989,11502858
1969,country/USA,99286946,103390000,87303138,90478721,10747881,11683382
1970,country/USA,100353876,104698298,88138613,91505420,10913011,11888203
1971,country/USA,101567006,106093671,89080570,92582524,11114200,12125324
1972,country/USA,102590732,107305289,89843389,93482225,11297893,12348284
1973,country/USA,103506451,108402337,90506843,94275072,11469853,12558962
1974,country/USA,104391110,109462818,91137841,95031775,11638204,12764121
1975,country/USA,105365965,110607234,91806171,95822716,11805791,12971763
1976,country/USA,106308604,111726560,92466252,96608052,11975906,13181123
1977,country/USA,107334548,112904877,93202287,97446659,12158361,13400832
1978,country/USA,108423580,114160965,93985772,98348928,12351427,13632253
1979,country/USA,109583961,115471526,94817729,99279827,12546873,13870491
