Year,geo_ID,Count_Person_Male,Count_Person_Female,Count_Person_Male_WhiteAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Male_AmericanIndianAndAlaskaNativeAlone,Count_Person_Female_AmericanIndianAndAlaskaNativeAlone,Count_Person_Male_AsianAlone,Count_Person_Female_AsianAlone,Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAlone,Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAlone,Count_Person_Male_TwoOrMoreRaces,Count_Person_Female_TwoOrMoreRaces,Count_Person_Male_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces
2010,geoId/01,2323013,2462501,1657063,1708538,587988,673294,16779,16087,26483,29255,2931,2235,31769,33092,1685597,1737886,602317,688754,31600,31427,32953,36011,4234,3718
2011,geoId/01,2328518,2471124,1658297,1711173,590461,676871,16637,16091,27192,30449,2835,2198,33096,34342,1688077,1741699,605645,693145,31712,31643,34020,37528,4181,3720
2012,geoId/01,2336196,2480436,1658519,1712886,595016,681273,16613,16167,28722,32271,2786,2199,34540,35640,1689634,1744582,611121,698365,31962,32027,35940,39677,4186,3770
2013,geoId/01,2343135,2488451,1658681,1713983,599847,685469,16554,16222,29704,33601,2706,2217,35643,36959,1690812,1746891,616638,703374,32121,32355,37218,41377,4149,3855
2014,geoId/01,2348012,2495725,1658698,1715235,602758,689106,16636,16288,30579,34750,2681,2265,36660,38081,1691781,1749193,620239,707731,32319,32608,38408,42854,4159,3936
2015,geoId/01,2352806,2501997,1657762,1715307,606185,692729,16743,16377,31675,35961,2661,2323,37780,39300,1691869,1750387,624378,712123,32632,32923,39832,44386,4192,4052
2016,geoId/01,2357211,2509613,1657895,1717306,607893,695593,16883,16478,32801,37331,2663,2364,39076,40541,1693209,1753523,626936,715801,32994,33234,41287,46091,4244,4158
2017,geoId/01,2360503,2517486,1658083,1719130,608663,699188,16991,16553,33788,38366,2702,2409,40276,41840,1694515,1756539,628487,720237,33307,33535,42627,47533,4325,4259
2018,geoId/01,2365445,2526183,1659759,1722566,609677,702416,17171,16667,34410,39000,2725,2443,41703,43091,1697489,1761140,630455,724261,33746,33889,43643,48484,4427,4355
2019,geoId/01,2371832,2536133,1662779,1727706,611076,704780,17308,16995,34957,39751,2757,2451,42955,44450,1701698,1767520,632626,727505,34104,34447,44568,49628,4497,4420
2020,geoId/01,2376966,2544566,1664839,1731214,612333,707418,17539,17358,35268,40283,2843,2550,44144,45743,1704813,1772200,634591,730968,34573,35069,45245,50553,4648,4590
