,Year,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_WhiteAlone,geo_ID,Count_Person_Male,Count_Person_Female
0,1970,480823,423471,1303406,1240886,geoId/01,1667194,1787363
1,1971,483147,425300,1322564,1259329,geoId/01,1687937,1809412
2,1972,486946,428581,1339951,1276424,geoId/01,1708812,1831191
3,1973,491872,432052,1356752,1290889,geoId/01,1727223,1853536
4,1974,496294,434589,1377310,1309288,geoId/01,1748684,1879094
5,1975,503251,439670,1398374,1327620,geoId/01,1772665,1907830
6,1976,510487,445145,1420902,1347662,geoId/01,1798734,1938304
7,1977,515919,448909,1439020,1364575,geoId/01,1820002,1962569
8,1978,522081,452864,1460382,1383092,geoId/01,1843107,1990864
9,1979,526174,455599,1474609,1396019,geoId/01,1859383,2009957
