,Year,geo_ID,Count_Person_Male_WhiteAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Male_AmericanIndianAndAlaskaNativeAlone,Count_Person_Female_AmericanIndianAndAlaskaNativeAlone,Count_Person_Male_AsianOrPacificIslander,Count_Person_Female_AsianOrPacificIslander,Count_Person_Male,Count_Person_Female
0,1990,geoId/01,1450421,1535807,470493,552974,8249,8351,10389,11824,1939552,2108956
0,1991,geoId/01,1463795,1550841,477002,559748,8189,8380,10775,12295,1959761,2131264
0,1992,geoId/01,1478937,1566261,485923,568138,7999,8118,11204,12689,1984063,2155206
0,1993,geoId/01,1495961,1584098,495128,576899,7833,8033,11774,13388,2010696,2182418
0,1994,geoId/01,1507416,1596598,502641,584727,7673,7900,12220,13790,2029950,2203015
0,1995,geoId/01,1516530,1604658,507865,591238,7611,7871,12656,14302,2044662,2218069
0,1996,geoId/01,1525856,1613998,511647,596007,7587,7893,12829,14586,2057919,2232484
0,1997,geoId/01,1534388,1622265,517619,602909,7456,7782,13098,14764,2072561,2247720
0,1998,geoId/01,1545438,1632014,522175,608512,7230,7593,13112,14963,2087955,2263082
0,1999,geoId/01,1550875,1637227,526111,612615,7098,7501,13235,15200,2097319,2272543
