,Year,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_WhiteAlone,geo_ID,Count_Person_Male,Count_Person_Female
0,1980.0,3810,3383,12482,12394,geoId/01001,15825,16392
1,1980.0,6327,5692,33791,32593,geoId/01003,38544,40405
2,1980.0,5977,4996,7069,6641,geoId/01005,11662,13077
3,1980.0,1948,1717,6147,5919,geoId/01007,7640,8105
4,1980.0,317,280,18102,17760,geoId/01009,18076,18460
5,1980.0,3959,3211,1751,1674,geoId/01011,4889,5712
6,1980.0,4570,3853,7046,6283,geoId/01013,10141,11631
7,1980.0,11141,10012,49643,48444,geoId/01015,58795,61230
8,1980.0,7416,6473,13300,11998,geoId/01017,18484,20744
9,1980.0,824,725,8739,8575,geoId/01019,9309,9578
10,1980.0,1923,1696,13836,13161,geoId/01021,14865,15782
11,1980.0,3848,3442,4853,4637,geoId/01023,8089,8711
12,1980.0,6184,5652,8158,7719,geoId/01025,13392,14381
13,1980.0,1207,1059,5888,5576,geoId/01027,6639,7099
14,1980.0,350,297,6079,5904,geoId/01029,6209,6439
15,1980.0,3470,3102,16248,15709,geoId/01031,18903,19878
16,1980.0,4942,4184,23299,22027,geoId/01033,26279,28307
17,1980.0,3504,3002,4772,4516,geoId/01035,7536,8295
18,1980.0,1991,1952,3817,3617,geoId/01037,5575,5813
19,1980.0,2655,2171,16743,15241,geoId/01039,17444,19447
20,1980.0,2013,1677,5370,5024,geoId/01041,6715,7405
21,1980.0,270,259,31315,29791,geoId/01043,30116,31674
22,1980.0,3866,4051,18752,20562,geoId/01045,24898,23105
23,1980.0,15936,13517,12843,11480,geoId/01047,25050,28846
24,1980.0,509,433,27167,25576,geoId/01049,26077,27756
25,1980.0,4905,4752,17045,16673,geoId/01051,21466,22006
26,1980.0,5634,5657,13189,12804,geoId/01053,18960,19296
27,1980.0,7458,6344,46270,42760,geoId/01055,49244,53891
28,1980.0,1256,1138,8490,7941,geoId/01057,9087,9764
29,1980.0,677,623,13913,13082,geoId/01059,13732,14614
30,1980.0,1648,1424,10765,10249,geoId/01061,11723,12479
31,1980.0,4666,3929,1272,1140,geoId/01063,5077,5940
32,1980.0,5196,4563,3020,2776,geoId/01065,7349,8235
33,1980.0,3109,2672,4948,4562,geoId/01067,7250,8069
34,1980.0,8962,7710,29808,27975,geoId/01069,35951,39032
35,1980.0,1114,1030,25052,24000,geoId/01071,25156,26293
36,1980.0,121145,102140,233692,211259,geoId/01073,314532,356083
37,1980.0,1028,942,7395,7069,geoId/01075,8017,8436
38,1980.0,4240,3600,37616,35056,geoId/01077,38767,42004
39,1980.0,2641,2413,12722,12318,geoId/01079,14780,15421
40,1980.0,9925,8740,28028,29349,geoId/01081,38394,38223
41,1980.0,3428,3082,20172,19231,geoId/01083,22354,23642
42,1980.0,5269,4627,1722,1579,geoId/01085,6210,6994
43,1980.0,12031,10493,1916,2179,geoId/01087,12736,13998
44,1980.0,20498,18753,79204,77002,geoId/01089,96746,100868
45,1980.0,7104,6160,5977,5686,geoId/01091,11858,13100
46,1980.0,352,355,15059,14292,geoId/01093,14678,15452
47,1980.0,515,503,33363,31336,geoId/01095,31891,33958
48,1980.0,61482,53440,127531,121027,geoId/01097,175728,190330
49,1980.0,5090,4603,6614,6178,geoId/01099,10858,11779
50,1980.0,42145,35698,61993,56634,geoId/01101,92753,104738
51,1980.0,4769,4035,41512,39737,geoId/01103,43865,46411
52,1980.0,4851,4143,3100,2857,geoId/01105,7005,7964
53,1980.0,4873,4110,6401,6110,geoId/01107,10237,11293
54,1980.0,5441,4387,9463,8747,geoId/01109,13174,14960
55,1980.0,2547,2313,7958,7264,geoId/01111,9589,10517
56,1980.0,9904,8659,14753,13801,geoId/01113,22508,24733
57,1980.0,2197,1926,18748,18363,geoId/01115,20337,20997
58,1980.0,3645,3288,30235,29461,geoId/01117,32890,34047
59,1980.0,6266,5443,2622,2558,geoId/01119,8014,8905
60,1980.0,11978,10732,26411,24679,geoId/01121,35462,38462
61,1980.0,5556,4876,14610,13674,geoId/01123,18565,20203
62,1980.0,20315,17067,50333,49530,geoId/01125,66864,70950
63,1980.0,2608,2215,32632,30974,geoId/01127,33268,35379
64,1980.0,2500,2258,5749,5658,geoId/01129,8315,8648
65,1980.0,5411,4739,2408,2194,geoId/01131,6935,7827
66,1980.0,40,29,11167,10687,geoId/01133,10738,11243
67,1981.0,3747,3310,12451,12326,geoId/01001,15687,16298
68,1981.0,6319,5664,34503,33226,geoId/01003,39161,41131
69,1981.0,5970,4994,7070,6652,geoId/01005,11672,13072
70,1981.0,1938,1709,6198,5974,geoId/01007,7689,8146
71,1981.0,316,276,18185,17778,geoId/01009,18095,18547
72,1981.0,4008,3267,1725,1674,geoId/01011,4945,5735
73,1981.0,4674,3933,7161,6394,geoId/01013,10332,11851
74,1981.0,11290,10123,49948,48619,geoId/01015,59103,61715
75,1981.0,7455,6497,13348,12044,geoId/01017,18555,20831
76,1981.0,822,728,8958,8771,geoId/01019,9509,9800
77,1981.0,1915,1693,13870,13182,geoId/01021,14889,15814
78,1981.0,3833,3409,4818,4592,geoId/01023,8011,8661
79,1981.0,6263,5715,8274,7812,geoId/01025,13549,14578
80,1981.0,1214,1068,5953,5621,geoId/01027,6693,7171
81,1981.0,348,294,6157,5980,geoId/01029,6282,6515
82,1981.0,3557,3180,16610,16069,geoId/01031,19351,20343
83,1981.0,4950,4181,23365,22077,geoId/01033,26334,28389
84,1981.0,3474,2965,4701,4449,geoId/01035,7434,8195
85,1981.0,2000,1956,3833,3645,geoId/01037,5608,5840
86,1981.0,2660,2164,16772,15256,geoId/01039,17454,19483
87,1981.0,2014,1674,5386,5032,geoId/01041,6720,7423
88,1981.0,271,263,31451,29887,geoId/01043,30223,31817
89,1981.0,3977,4116,18972,20758,geoId/01045,25169,23454
90,1981.0,16020,13505,12734,11377,geoId/01047,24940,28822
91,1981.0,511,439,27385,25741,geoId/01049,26269,27998
92,1981.0,4901,4824,17117,16769,geoId/01051,21646,22085
93,1981.0,5512,5530,12968,12569,geoId/01053,18605,18958
94,1981.0,7487,6357,46283,42672,geoId/01055,49188,53951
95,1981.0,1263,1141,8557,7988,geoId/01057,9137,9838
96,1981.0,675,617,13855,12986,geoId/01059,13633,14557
97,1981.0,1621,1395,10645,10123,geoId/01061,11568,12334
98,1981.0,4711,3956,1264,1140,geoId/01063,5104,5977
99,1981.0,5176,4519,3047,2800,geoId/01065,7329,8242
100,1981.0,3108,2672,5012,4615,geoId/01067,7303,8132
101,1981.0,9173,7854,30289,28373,geoId/01069,36502,39736
102,1981.0,1116,1019,25004,23901,geoId/01071,25085,26296
103,1981.0,121323,102061,232101,209751,geoId/01073,313037,354758
104,1981.0,1022,936,7403,7042,geoId/01075,7984,8438
105,1981.0,4274,3614,37925,35299,geoId/01077,39029,42351
106,1981.0,2622,2387,12649,12264,geoId/01079,14800,15437
107,1981.0,10007,8787,28498,29797,geoId/01081,38953,38823
108,1981.0,3346,3083,20091,19211,geoId/01083,22351,23494
109,1981.0,5237,4577,1709,1568,geoId/01085,6149,6949
110,1981.0,11994,10422,1898,2138,geoId/01087,12624,13945
111,1981.0,20808,19018,79822,77770,geoId/01089,97957,101977
112,1981.0,7003,6060,5947,5651,geoId/01091,11723,12969
113,1981.0,362,373,15150,14376,geoId/01093,14783,15554
114,1981.0,519,504,33677,31540,geoId/01095,32108,34291
115,1981.0,62244,53853,129142,122315,geoId/01097,177583,192855
116,1981.0,5042,4561,6656,6230,geoId/01099,10878,11781
117,1981.0,42850,36290,62311,56997,geoId/01101,93756,105809
118,1981.0,4766,4049,41411,39617,geoId/01103,43785,46327
119,1981.0,4849,4138,3060,2808,geoId/01105,6951,7922
120,1981.0,4944,4145,6478,6182,geoId/01107,10344,11443
121,1981.0,5506,4430,9585,8874,geoId/01109,13350,15153
122,1981.0,2556,2313,7986,7316,geoId/01111,9641,10555
123,1981.0,9798,8555,14643,13717,geoId/01113,22327,24523
124,1981.0,2166,1954,18925,18567,geoId/01115,20576,21150
125,1981.0,3641,3265,31431,30572,geoId/01117,34005,35269
126,1981.0,6334,5472,2645,2573,geoId/01119,8059,8997
127,1981.0,12046,10781,26543,24818,geoId/01121,35662,38673
128,1981.0,5549,4841,14635,13656,geoId/01123,18513,20224
129,1981.0,20360,17070,50761,49884,geoId/01125,67276,71465
130,1981.0,2575,2184,32507,30772,geoId/01127,33036,35218
131,1981.0,2586,2334,5951,5845,geoId/01129,8610,8969
132,1981.0,5458,4763,2428,2213,geoId/01131,6978,7894
133,1981.0,40,29,11170,10680,geoId/01133,10730,11246
134,1982.0,3719,3265,12522,12377,geoId/01001,15694,16344
135,1982.0,6364,5681,35536,34147,geoId/01003,40104,42226
136,1982.0,5973,4996,7084,6660,geoId/01005,11684,13091
137,1982.0,1936,1704,6295,6063,geoId/01007,7775,8242
138,1982.0,304,267,18078,17611,geoId/01009,17921,18435
139,1982.0,4006,3283,1681,1663,geoId/01011,4950,5689
140,1982.0,4741,3983,7216,6437,geoId/01013,10426,11973
141,1982.0,11490,10263,50492,48982,geoId/01015,59622,62492
142,1982.0,7458,6484,13324,12030,geoId/01017,18529,20808
143,1982.0,810,722,9085,8878,geoId/01019,9614,9915
144,1982.0,1873,1667,13746,13030,geoId/01021,14713,15649
145,1982.0,3773,3348,4730,4501,geoId/01023,7859,8512
146,1982.0,6231,5667,8238,7745,geoId/01025,13436,14510
147,1982.0,1202,1059,5920,5575,geoId/01027,6638,7127
148,1982.0,346,293,6197,6018,geoId/01029,6320,6555
149,1982.0,3574,3194,16656,16113,geoId/01031,19417,20420
150,1982.0,4896,4119,23105,21799,geoId/01033,25997,28076
151,1982.0,3459,2941,4668,4417,geoId/01035,7378,8148
152,1982.0,1978,1927,3797,3615,geoId/01037,5550,5782
153,1982.0,2651,2149,16706,15182,geoId/01039,17368,19409
154,1982.0,1995,1655,5340,4969,geoId/01041,6639,7357
155,1982.0,269,266,31654,30021,geoId/01043,30363,32021
156,1982.0,4036,4111,18923,20616,geoId/01045,25030,23471
157,1982.0,16202,13572,12708,11337,geoId/01047,24969,28981
158,1982.0,515,437,27142,25473,geoId/01049,26020,27780
159,1982.0,4944,4929,17327,17008,geoId/01051,21999,22342
160,1982.0,5478,5486,12965,12536,geoId/01053,18535,18930
161,1982.0,7466,6327,46033,42319,geoId/01055,48827,53697
162,1982.0,1280,1130,8669,8075,geoId/01057,9214,9967
163,1982.0,671,614,13917,12993,geoId/01059,13639,14617
164,1982.0,1598,1370,10612,10076,geoId/01061,11496,12275
165,1982.0,4704,3931,1237,1123,geoId/01063,5062,5943
166,1982.0,5111,4436,3040,2801,geoId/01065,7248,8169
167,1982.0,3046,2607,4967,4571,geoId/01067,7195,8027
168,1982.0,9343,7948,30611,28602,geoId/01069,36837,40241
169,1982.0,1117,1014,24953,23783,geoId/01071,24998,26292
170,1982.0,121067,101541,229744,207354,geoId/01073,310201,352218
171,1982.0,1033,932,7447,7052,geoId/01075,7991,8494
172,1982.0,4262,3589,37816,35127,geoId/01077,38835,42235
173,1982.0,2630,2385,12717,12341,geoId/01079,14975,15617
174,1982.0,10119,8842,29000,30230,geoId/01081,39510,39488
175,1982.0,3323,3139,20338,19500,geoId/01083,22707,23725
176,1982.0,5123,4456,1682,1542,geoId/01085,6002,6808
177,1982.0,11962,10345,1883,2095,geoId/01087,12502,13900
178,1982.0,21147,19293,80712,78728,geoId/01089,99359,103387
179,1982.0,6979,6018,5974,5668,geoId/01091,11697,12970
180,1982.0,378,395,15258,14481,geoId/01093,14911,15676
181,1982.0,524,504,33965,31699,geoId/01095,32276,34593
182,1982.0,63030,54227,130779,123550,geoId/01097,179347,195431
183,1982.0,4993,4502,6686,6270,geoId/01099,10862,11767
184,1982.0,43231,36565,62178,56915,geoId/01101,93996,106103
185,1982.0,4789,4087,41583,39734,geoId/01103,43962,46544
186,1982.0,4842,4120,3003,2757,geoId/01105,6883,7860
187,1982.0,4938,4109,6453,6158,geoId/01107,10284,11414
188,1982.0,5401,4324,9401,8710,geoId/01109,13088,14871
189,1982.0,2557,2306,8001,7352,geoId/01111,9671,10572
190,1982.0,9748,8491,14604,13681,geoId/01113,22229,24435
191,1982.0,2130,1976,19119,18771,geoId/01115,20808,21313
192,1982.0,3608,3222,32332,31397,geoId/01117,34803,36154
193,1982.0,6342,5442,2631,2556,geoId/01119,8011,8991
194,1982.0,12107,10830,26681,24964,geoId/01121,35864,38873
195,1982.0,5507,4764,14558,13538,geoId/01123,18321,20106
