,geo_ID,Year,Count_Person_Female_AmericanIndianAndAlaskaNativeAlone,Count_Person_Female_AsianOrPacificIslander,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_AmericanIndianAndAlaskaNativeAlone,Count_Person_Male_AsianOrPacificIslander,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Male_WhiteAlone,Count_Person_Male,Count_Person_Female
0,country/USA,1981,749942,2159396,14308585,100744555,733085,2054596,12824771,95890386,111502838,117962478
1,country/USA,1982,777440,2345647,14508504,101453340,759819,2235629,12999812,96584020,112579280,119084931
2,country/USA,1983,806945,2512417,14697320,102128587,789002,2396370,13170096,97291500,113646968,120145269
3,country/USA,1984,837039,2684728,14877928,102755060,818668,2564401,13334549,97952667,114670285,121154755
4,country/USA,1985,868462,2866189,15063991,103395684,849446,2739940,13504667,98635659,115729712,122194326
5,country/USA,1986,901051,3055327,15255311,104056244,882205,2922883,13686452,99373575,116865115,123267933
6,country/USA,1987,934916,3240362,15456045,104696829,916334,3102710,13868533,100073317,117960894,124328152
7,country/USA,1988,970782,3433226,15666608,105342751,952400,3290619,14056391,100786263,119085673,125413367
8,country/USA,1989,1009621,3640752,15885736,106005588,991730,3493740,14257713,101534315,120277498,126541697
