,geo_ID,Year,Count_Person_Male,Count_Person_Female,Count_Person_Male_WhiteAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Male_AmericanIndianAndAlaskaNativeAlone,Count_Person_Female_AmericanIndianAndAlaskaNativeAlone,Count_Person_Male_AsianAlone,Count_Person_Female_AsianAlone,Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAlone,Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAlone,Count_Person_Male_TwoOrMoreRaces,Count_Person_Female_TwoOrMoreRaces
0,geoId/01001,2000,21385,22636,17558,18136,3489,4063,94,104,63,146,4,9,177,178
1,geoId/01001,2001,21813,23076,17891,18451,3533,4141,107,112,87,163,4,10,191,199
2,geoId/01001,2002,22362,23547,18245,18824,3701,4201,108,112,100,178,6,7,202,225
3,geoId/01001,2003,22760,24040,18509,19207,3805,4284,110,115,108,186,6,9,222,239
4,geoId/01001,2004,23512,24854,19116,19777,3909,4484,111,115,122,204,8,9,246,265
5,geoId/01001,2005,24200,25476,19548,20314,4102,4527,108,118,151,209,21,16,270,292
6,geoId/01001,2006,24988,26340,20127,20904,4280,4763,109,121,161,213,24,15,287,324
7,geoId/01001,2007,25468,26937,20471,21313,4402,4888,109,124,151,253,23,15,312,344
8,geoId/01001,2008,25873,27404,20801,21558,4436,5054,116,136,169,259,26,19,325,378
9,geoId/01001,2009,26364,27771,21122,21812,4562,5132,119,134,186,274,28,19,347,400
10,geoId/02013,2000,1749,944,606,241,42,7,543,457,512,214,6,2,40,23
11,geoId/02013,2001,1682,908,582,238,52,7,485,421,517,217,6,2,40,23
12,geoId/02013,2002,1811,923,617,230,84,7,476,405,584,254,6,2,44,25
13,geoId/02013,2003,1776,956,583,223,93,9,469,431,582,261,5,3,44,29
14,geoId/02013,2004,1775,952,568,222,103,10,452,417,598,267,3,3,51,33
15,geoId/02013,2005,1836,951,556,203,119,12,448,405,647,296,7,6,59,29
16,geoId/02013,2006,1837,957,545,201,138,16,430,399,658,302,8,8,58,31
17,geoId/02013,2007,2009,1003,588,213,180,15,444,395,724,334,8,9,65,37
18,geoId/02013,2008,1989,1002,554,197,181,18,446,390,736,346,8,11,64,40
19,geoId/02013,2009,2049,1035,556,198,200,17,453,404,760,363,8,12,72,41
20,geoId/04001,2000,34441,35066,7617,7369,117,67,26367,27265,41,61,22,24,277,280
21,geoId/04001,2001,33725,34138,7707,7355,127,79,25490,26284,42,75,20,23,339,322
22,geoId/04001,2002,33581,33738,7800,7363,130,87,25189,25828,49,81,18,21,395,358
23,geoId/04001,2003,34004,34068,8123,7618,146,80,25227,25853,58,91,20,20,430,406
24,geoId/04001,2004,33992,34169,8262,7735,134,87,25066,25815,57,96,19,20,454,416
25,geoId/04001,2005,34123,34398,8323,7992,138,69,25043,25770,80,111,18,12,521,444
26,geoId/04001,2006,34535,34855,8472,8075,134,70,25271,26116,85,116,20,11,553,467
27,geoId/04001,2007,34655,34947,8615,8259,129,60,25246,26022,83,113,17,11,565,482
28,geoId/04001,2008,34776,35107,8639,8301,132,59,25300,26124,81,118,18,8,606,497
29,geoId/04001,2009,35361,35647,8969,8513,123,65,25540,26405,98,123,17,8,614,533
30,geoId/05001,2000,9868,10908,7495,8152,2251,2632,19,26,42,32,0,1,61,65
31,geoId/05001,2001,9859,10734,7489,8023,2246,2585,18,25,41,32,0,1,65,68
32,geoId/05001,2002,9738,10613,7384,7926,2223,2552,18,26,43,33,0,1,70,75
33,geoId/05001,2003,9624,10357,7305,7718,2184,2498,17,22,43,39,0,1,75,79
34,geoId/05001,2004,9620,10347,7248,7663,2237,2530,17,25,40,40,0,1,78,88
35,geoId/05001,2005,9652,10302,7254,7600,2258,2551,22,18,37,42,0,1,81,90
36,geoId/05001,2006,9554,10231,7142,7506,2263,2560,21,21,40,43,1,1,87,100
37,geoId/05001,2007,9396,10038,7009,7332,2230,2537,21,19,42,45,1,1,93,104
38,geoId/05001,2008,9305,9970,6899,7302,2248,2493,21,20,38,48,1,0,98,107
39,geoId/05001,2009,9304,9830,6907,7168,2231,2476,21,18,40,51,1,1,104,116
40,geoId/06001,2000,712570,737270,426422,424551,103583,119265,5507,5490,148097,157101,5289,5363,23672,25500
41,geoId/06001,2001,723685,745799,427488,424175,102477,117399,5732,5669,157547,166470,5540,5555,24901,26531
42,geoId/06001,2002,719473,742633,420434,417223,99746,114492,5888,5901,161933,172068,5736,5657,25736,27292
43,geoId/06001,2003,714633,739530,413093,410599,97491,112118,6087,6114,165274,176579,5899,5873,26789,28247
