Year,geo_ID,Count_Person_Male,Count_Person_Female,Count_Person_Male_WhiteAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Male_AmericanIndianAndAlaskaNativeAlone,Count_Person_Female_AmericanIndianAndAlaskaNativeAlone,Count_Person_Male_AsianAlone,Count_Person_Female_AsianAlone,Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAlone,Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAlone,Count_Person_Male_TwoOrMoreRaces,Count_Person_Female_TwoOrMoreRaces,Count_Person_Male_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces
2010,geoId/01001,26667,28094,21355,22057,4596,5153,116,133,201,296,27,19,372,436,21695,22450,4778,5370,258,297,295,405,38,34
2011,geoId/01001,26980,28249,21495,22206,4727,5160,116,144,208,308,33,18,401,413,21867,22583,4924,5359,262,295,305,413,49,39
2012,geoId/01001,26830,28140,21334,21994,4735,5223,120,153,210,345,30,14,401,411,21703,22369,4929,5421,270,314,311,437,48,36
2013,geoId/01001,26588,28159,21037,21929,4698,5291,127,148,227,338,31,15,468,438,21468,22328,4926,5510,274,304,351,442,58,38
2014,geoId/01001,26804,28118,21106,21874,4811,5300,123,149,237,340,34,16,493,439,21568,22263,5050,5535,283,306,374,454,52,38
2015,geoId/01001,26752,28151,20967,21724,4910,5482,115,140,265,336,29,18,466,451,21393,22127,5141,5722,265,279,395,449,46,49
2016,geoId/01001,26999,28303,21002,21735,5051,5568,118,133,294,367,29,22,505,478,21469,22169,5301,5822,271,296,430,488,51,50
2017,geoId/01001,27041,28407,20886,21720,5162,5654,111,143,297,396,32,27,553,467,21391,22143,5452,5897,266,285,459,523,57,50
2018,geoId/01001,27049,28484,20933,21708,5143,5740,121,142,287,384,34,27,531,483,21417,22150,5432,6001,283,284,434,513,56,54
2019,geoId/01001,27078,28691,20842,21648,5257,5995,122,144,288,380,32,26,537,498,21333,22104,5538,6267,273,294,440,514,56,47
2020,geoId/01001,27226,28919,20818,21697,5422,6152,127,139,282,375,33,28,544,528,21331,22185,5690,6442,287,277,446,523,47,54
2010,geoId/01003,89623,93498,78721,81759,8419,8910,663,671,549,832,74,54,1197,1272,79837,82937,8849,9410,1308,1338,793,1087,124,117
2011,geoId/01003,91199,95380,80073,83397,8495,9025,687,686,596,851,64,59,1284,1362,81275,84658,8960,9539,1358,1380,854,1132,123,136
2012,geoId/01003,92728,97475,81252,85019,8638,9249,704,706,687,956,62,60,1385,1485,82556,86400,9161,9839,1401,1459,971,1260,131,129
2013,geoId/01003,95140,99838,83245,87016,8929,9360,731,732,733,1085,59,58,1443,1587,84608,88498,9479,9989,1446,1517,1022,1423,124,140
2014,geoId/01003,97216,102090,84952,88860,9129,9597,760,745,753,1154,59,55,1563,1679,86429,90410,9741,10296,1521,1551,1082,1533,142,131
2015,geoId/01003,98977,104124,86531,90674,9174,9665,777,737,789,1237,59,60,1647,1751,88077,92299,9847,10395,1576,1548,1136,1609,126,146
2016,geoId/01003,101069,106718,88380,92895,9210,9848,822,757,839,1299,64,60,1754,1859,90039,94630,9920,10650,1655,1627,1210,1708,148,151
2017,geoId/01003,103324,109413,90420,95285,9262,9967,855,764,894,1378,71,70,1822,1949,92139,97110,10018,10809,1704,1644,1302,1810,161,172
2018,geoId/01003,105782,112289,92640,97898,9353,10083,853,783,932,1416,71,71,1933,2038,94458,99815,10176,10949,1731,1699,1380,1875,173,173
2019,geoId/01003,108396,115169,94842,100461,9502,10123,891,833,976,1460,78,77,2107,2215,96823,102540,10430,11081,1810,1807,1459,1963,183,176
2020,geoId/01003,111000,118287,97202,103276,9585,10252,923,865,1020,1509,72,80,2198,2305,99278,105435,10528,11280,1874,1850,1527,2046,173,202
2010,geoId/01005,14501,12824,7414,6483,6783,6109,88,72,59,59,29,17,128,84,7502,6557,6876,6157,150,109,70,70,35,18
2011,geoId/01005,14656,12688,7476,6407,6861,6043,88,70,67,64,30,18,134,86,7572,6483,6953,6093,150,105,85,76,36,20
2012,geoId/01005,14542,12630,7344,6351,6880,6037,87,66,63,61,29,17,139,98,7442,6437,6974,6098,156,107,82,72,35,22
2013,geoId/01005,14382,12564,7180,6259,6884,6058,82,65,64,65,28,15,144,102,7291,6349,6979,6122,153,104,81,77,30,20
2014,geoId/01005,14255,12513,7137,6229,6785,6044,94,66,60,55,28,14,151,105,7256,6316,6888,6110,158,99,79,75,32,22
2015,geoId/01005,13985,12315,6964,6114,6680,5958,90,60,57,57,28,14,166,112,7082,6210,6805,6028,165,95,78,75,32,22
2016,geoId/01005,13637,12191,6774,6059,6523,5871,92,64,53,58,28,13,167,126,6901,6168,6635,5949,170,112,70,76,33,18
2017,geoId/01005,13228,11941,6522,5910,6363,5756,94,66,54,64,30,14,165,131,6641,6022,6475,5847,169,110,80,82,40,20
2018,geoId/01005,13157,11730,6407,5762,6390,5689,97,64,52,59,31,15,180,141,6539,5884,6525,5789,175,112,73,77,35,17
2019,geoId/01005,13030,11627,6360,5701,6302,5635,101,67,55,60,34,18,178,146,6495,5826,6433,5734,176,117,74,82,37,22
2020,geoId/01005,12987,11602,6352,5693,6266,5600,102,70,50,62,33,17,184,160,6494,5835,6391,5714,183,111,72,83,40,25
2010,geoId/01007,12261,10597,9028,8478,3069,1972,36,33,12,10,27,5,89,99,9104,8568,3106,2018,84,81,29,27,32,9
2011,geoId/01007,12270,10466,9020,8435,3072,1878,41,37,16,13,26,5,95,98,9107,8514,3110,1924,88,85,35,36,32,11
2012,geoId/01007,12212,10445,8975,8428,3056,1849,43,39,14,16,25,5,99,108,9065,8520,3103,1905,92,85,29,35,29,13
2013,geoId/01007,12108,10402,8886,8380,3041,1851,46,40,14,20,24,4,97,107,8972,8474,3084,1906,96,90,33,39,27,8
2014,geoId/01007,12148,10393,8890,8405,3080,1817,44,37,15,23,24,4,95,107,8980,8496,3126,1875,84,87,31,40,27,11
2015,geoId/01007,12112,10441,8836,8397,3090,1861,46,41,16,24,24,4,100,114,8926,8489,3140,1922,95,90,37,46,26,12
2016,geoId/01007,12074,10516,8838,8481,3040,1852,45,39,20,24,24,4,107,116,8940,8581,3088,1911,95,92,36,46,25,11
2017,geoId/01007,12047,10485,8836,8436,2996,1853,54,41,21,24,23,4,117,127,8939,8549,3055,1921,106,95,46,47,30,11
2018,geoId/01007,11884,10416,8738,8397,2928,1807,51,47,22,25,23,4,122,136,8848,8520,2997,1888,100,105,40,42,31,7
2019,geoId/01007,11878,10435,8708,8378,2936,1822,54,48,25,27,23,4,132,156,8816,8515,3016,1912,108,105,54,54,27,12
2020,geoId/01007,11773,10363,8624,8336,2897,1794,58,44,26,31,23,4,145,154,8758,8475,2966,1893,116,96,52,54,32,11
2010,geoId/01009,28381,28991,27412,27997,423,390,177,174,48,83,35,25,286,322,27675,28299,514,492,353,380,85,117,48,36
2011,geoId/01009,28446,29115,27466,28085,438,403,176,172,49,87,36,25,281,343,27734,28398,518,517,353,383,88,134,46,35
2012,geoId/01009,28429,29156,27365,28067,485,424,175,169,58,90,39,25,307,381,27654,28421,592,561,368,388,92,147,44,37
2013,geoId/01009,28443,29187,27363,28053,492,457,177,166,66,93,37,24,308,394,27651,28416,581,593,376,399,111,152,50,37
2014,geoId/01009,28370,29166,27287,28038,484,413,181,168,73,93,39,24,306,430,27581,28434,575,580,359,401,119,161,48,40
2015,geoId/01009,28351,29184,27242,28040,499,421,174,177,72,89,39,24,325,433,27544,28450,612,570,370,414,118,156,46,45
2016,geoId/01009,28298,29189,27191,28044,478,421,171,175,74,87,39,24,345,438,27517,28456,595,577,363,420,131,153,48,40
