,geo_ID,Year,Count_Person_Male_WhiteAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Male_AmericanIndianAndAlaskaNativeAlone,Count_Person_Female_AmericanIndianAndAlaskaNativeAlone,Count_Person_Male_AsianOrPacificIslander,Count_Person_Female_AsianOrPacificIslander,Count_Person_Male,Count_Person_Female
0,country/USA,1990,102399229,106796369,14494771,16134426,1029109,1046272,3703009,3861211,121626118,127838278
1,country/USA,1991,103297345,107677611,14738028,16399232,1046792,1064836,3873878,4055370,122956043,129197049
2,country/USA,1992,104287157,108586405,15013727,16669033,1065493,1083995,4057167,4266722,124423544,130606155
3,country/USA,1993,105208205,109483099,15262215,16932868,1083667,1102976,4233718,4475860,125787805,131994803
4,country/USA,1994,106066845,110312043,15491222,17180764,1100884,1121175,4390224,4663864,127049175,133277846
5,country/USA,1995,106919540,111103811,15705782,17410667,1117401,1138274,4550989,4856812,128293712,134509564
6,country/USA,1996,107748772,111887696,15906998,17629798,1134262,1155906,4714321,5050819,129504353,135724219
7,country/USA,1997,108623518,112709920,16126582,17862661,1151534,1174286,4881473,5253633,130783107,137000500
8,country/USA,1998,109480244,113499830,16341764,18085496,1169031,1192436,5038690,5440512,132029729,138218274
9,country/USA,1999,110336291,114274506,16557186,18304983,1186745,1210681,5196337,5624084,133276559,139414254
