geo_ID,Year,Count_Person_Male,Count_Person_Female,Count_Person_Male_WhiteAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Male_AmericanIndianAndAlaskaNativeAlone,Count_Person_Female_AmericanIndianAndAlaskaNativeAlone,Count_Person_Male_AsianAlone,Count_Person_Female_AsianAlone,Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAlone,Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAlone,Count_Person_Male_TwoOrMoreRaces,Count_Person_Female_TwoOrMoreRaces,Count_Person_Male_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces
country/USA,2010,26667,28094,21355,22057,4596,5153,116,133,201,296,27,19,372,436,21695,22450,4778,5370,258,297,295,405,38,34
country/USA,2011,26980,28249,21495,22206,4727,5160,116,144,208,308,33,18,401,413,21867,22583,4924,5359,262,295,305,413,49,39
country/USA,2012,26830,28140,21334,21994,4735,5223,120,153,210,345,30,14,401,411,21703,22369,4929,5421,270,314,311,437,48,36
country/USA,2013,26588,28159,21037,21929,4698,5291,127,148,227,338,31,15,468,438,21468,22328,4926,5510,274,304,351,442,58,38
country/USA,2014,26804,28118,21106,21874,4811,5300,123,149,237,340,34,16,493,439,21568,22263,5050,5535,283,306,374,454,52,38
country/USA,2015,26752,28151,20967,21724,4910,5482,115,140,265,336,29,18,466,451,21393,22127,5141,5722,265,279,395,449,46,49
country/USA,2016,26999,28303,21002,21735,5051,5568,118,133,294,367,29,22,505,478,21469,22169,5301,5822,271,296,430,488,51,50
country/USA,2017,27041,28407,20886,21720,5162,5654,111,143,297,396,32,27,553,467,21391,22143,5452,5897,266,285,459,523,57,50
country/USA,2018,27049,28484,20933,21708,5143,5740,121,142,287,384,34,27,531,483,21417,22150,5432,6001,283,284,434,513,56,54
country/USA,2019,27078,28691,20842,21648,5257,5995,122,144,288,380,32,26,537,498,21333,22104,5538,6267,273,294,440,514,56,47
country/USA,2020,27226,28919,20818,21697,5422,6152,127,139,282,375,33,28,544,528,21331,22185,5690,6442,287,277,446,523,47,54
