,Year,geo_ID,Count_Person_Male_WhiteAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Male,Count_Person_Female
0,1970,geoId/01001,8760,8960,3285,3629,12050,12611
1,1970,geoId/01003,24016,24840,5029,5502,29109,30422
2,1970,geoId/01005,5799,6408,4672,5747,10479,12165
3,1970,geoId/01007,4911,5069,1847,1989,6762,7062
4,1970,geoId/01009,13031,13364,303,325,13340,13702
5,1970,geoId/01011,1854,1976,3605,4299,5459,6277
6,1970,geoId/01013,6247,6912,4082,4712,10337,11629
7,1970,geoId/01015,41596,43768,8121,9450,49825,53368
8,1970,geoId/01017,11323,12364,5882,6747,17216,19121
9,1970,geoId/01019,7187,7184,668,730,7862,7920
10,1970,geoId/01021,10631,11219,1618,1784,12250,13009
11,1970,geoId/01023,4531,4731,3512,3783,8044,8515
12,1970,geoId/01025,7252,7675,5636,5970,12893,13654
13,1970,geoId/01027,5181,5441,964,1080,6155,6528
14,1970,geoId/01029,5075,5308,323,317,5403,5629
15,1970,geoId/01031,14351,14770,2778,3227,17141,18031
16,1970,geoId/01033,20084,21173,3902,4582,24008,25773
17,1970,geoId/01035,4245,4439,3291,3682,7538,8122
18,1970,geoId/01037,3338,3583,1878,1852,5225,5444
19,1970,geoId/01039,13908,15213,2281,2755,16196,17978
20,1970,geoId/01041,4519,4912,1759,2017,6285,6936
21,1970,geoId/01043,25740,26512,286,237,26039,26780
22,1970,geoId/01045,26294,19998,3451,3065,30017,23285
23,1970,geoId/01047,12962,13434,13270,15704,26252,29174
24,1970,geoId/01049,20122,21331,381,446,20521,21795
25,1970,geoId/01051,12071,12165,4606,4813,16690,16999
26,1970,geoId/01053,11817,12001,5505,5091,17595,17378
27,1970,geoId/01055,39182,41992,6082,6951,45298,48987
28,1970,geoId/01057,6856,7113,1055,1189,7913,8305
29,1970,geoId/01059,11089,11768,582,620,11673,12392
30,1970,geoId/01061,9336,9737,1342,1524,10690,11277
31,1970,geoId/01063,1240,1344,3685,4297,4928,5642
32,1970,geoId/01065,2545,2772,4922,5568,7467,8350
33,1970,geoId/01067,3795,4143,2550,2789,6347,6936
34,1970,geoId/01069,21017,22392,6231,7229,27289,29670
35,1970,geoId/01071,18432,19029,935,1055,19383,20110
36,1970,geoId/01073,208294,229897,95380,111394,304137,341818
37,1970,geoId/01075,5998,6436,955,1001,6959,7445
38,1970,geoId/01077,29699,31567,3354,3860,33069,35451
39,1970,geoId/01079,11064,11124,2426,2680,13493,13807
40,1970,geoId/01081,22640,21657,7935,9036,30647,30743
41,1970,geoId/01083,17093,17527,3366,3729,20468,21276
42,1970,geoId/01085,1430,1560,4747,5217,6180,6778
43,1970,geoId/01087,2426,2163,9875,10371,12363,12560
44,1970,geoId/01089,78766,79289,13205,15031,92286,94653
45,1970,geoId/01091,5121,5491,6211,6878,11345,12377
46,1970,geoId/01093,11401,12023,329,337,11739,12371
47,1970,geoId/01095,25885,27495,533,560,26451,28092
48,1970,geoId/01097,104333,110827,48138,54454,152831,165667
49,1970,geoId/01099,5512,5837,4576,4920,10126,10789
50,1970,geoId/01101,50541,56327,27980,33043,78651,89552
51,1970,geoId/01103,34565,35971,3333,3960,37933,39962
52,1970,geoId/01105,3084,3250,4199,4821,7293,8084
53,1970,geoId/01107,5766,6085,3981,4480,9749,10568
54,1970,geoId/01109,7926,8450,4071,4575,12021,13029
55,1970,geoId/01111,6869,7407,1981,2107,8855,9520
56,1970,geoId/01113,12053,12668,9708,10973,21771,23665
57,1970,geoId/01115,11936,12421,1815,2082,13758,14512
58,1970,geoId/01117,15600,16420,3053,3324,18672,19772
59,1970,geoId/01119,2898,2755,5220,5856,8120,8616
60,1970,geoId/01121,21858,23279,9543,10422,31433,33736
61,1970,geoId/01123,11788,12677,4390,4940,16185,17627
62,1970,geoId/01125,43962,44405,12993,15230,57029,59705
63,1970,geoId/01127,25545,26566,2097,2486,27659,29076
64,1970,geoId/01129,5671,5670,2360,2501,8065,8212
65,1970,geoId/01131,2472,2665,5372,5772,7845,8438
66,1970,geoId/01133,8353,8457,26,26,8382,8486
67,1971,geoId/01001,9176,9343,3298,3646,12483,13020
68,1971,geoId/01003,24379,25176,4984,5431,29443,30704
69,1971,geoId/01005,5963,6552,4743,5813,10714,12375
70,1971,geoId/01007,4985,5142,1806,1968,6795,7114
71,1971,geoId/01009,13436,13734,302,324,13745,14072
72,1971,geoId/01011,1806,1923,3482,4190,5288,6115
73,1971,geoId/01013,6247,6901,4025,4658,10280,11564
74,1971,geoId/01015,41807,43898,8192,9434,50127,53502
75,1971,geoId/01017,11302,12359,5872,6717,17185,19086
76,1971,geoId/01019,7531,7531,694,760,8233,8297
77,1971,geoId/01021,10836,11403,1609,1781,12446,13190
78,1971,geoId/01023,4541,4732,3478,3755,8020,8488
79,1971,geoId/01025,7117,7500,5457,5783,12579,13294
80,1971,geoId/01027,5282,5543,984,1105,6276,6655
81,1971,geoId/01029,5151,5367,324,319,5480,5690
82,1971,geoId/01031,14787,15348,2877,3327,17684,18722
83,1971,geoId/01033,20348,21448,3929,4610,24302,26080
84,1971,geoId/01035,4314,4510,3278,3672,7595,8184
85,1971,geoId/01037,3363,3599,1877,1853,5249,5461
86,1971,geoId/01039,14132,15446,2274,2738,16413,18199
87,1971,geoId/01041,4595,4987,1744,2016,6347,7010
88,1971,geoId/01043,26487,27257,285,239,26791,27533
89,1971,geoId/01045,25578,21559,3546,3352,29385,25169
90,1971,geoId/01047,13096,13490,13463,15828,26583,29356
91,1971,geoId/01049,20797,21969,387,457,21206,22448
92,1971,geoId/01051,12282,12354,4487,4680,16785,17059
93,1971,geoId/01053,11913,12102,5495,5106,17703,17510
94,1971,geoId/01055,39471,42301,6079,6945,45594,49303
95,1971,geoId/01057,6819,7083,1034,1164,7855,8250
96,1971,geoId/01059,11379,12023,588,627,11970,12654
97,1971,geoId/01061,9439,9826,1345,1536,10799,11381
98,1971,geoId/01063,1201,1299,3589,4193,4793,5493
99,1971,geoId/01065,2546,2774,4821,5447,7367,8229
100,1971,geoId/01067,3873,4219,2550,2803,6426,7026
101,1971,geoId/01069,21687,23028,6342,7332,28087,30428
102,1971,geoId/01071,19006,19622,935,1050,19968,20707
103,1971,geoId/01073,209586,230938,95997,112167,306109,343699
104,1971,geoId/01075,6148,6557,959,1007,7113,7572
105,1971,geoId/01077,30463,32337,3388,3911,33877,36284
106,1971,geoId/01079,11154,11207,2398,2649,13556,13861
107,1971,geoId/01081,22977,21963,7847,8938,30914,30969
108,1971,geoId/01083,17258,17692,3311,3667,20580,21380
109,1971,geoId/01085,1485,1613,4833,5314,6321,6928
110,1971,geoId/01087,2439,2168,10006,10569,12508,12765
111,1971,geoId/01089,78892,79583,13750,15565,93006,95543
112,1971,geoId/01091,5094,5451,6082,6753,11188,12212
113,1971,geoId/01093,12057,12671,340,352,12409,13034
114,1971,geoId/01095,26582,28168,528,552,27145,28762
115,1971,geoId/01097,106369,112545,48527,54926,155338,167938
116,1971,geoId/01099,5613,5919,4573,4928,10227,10881
117,1971,geoId/01101,51166,56388,28464,33491,79787,90093
118,1971,geoId/01103,35652,37005,3437,4079,39129,41125
119,1971,geoId/01105,3064,3238,4199,4825,7273,8076
120,1971,geoId/01107,5793,6095,3966,4488,9762,10586
121,1971,geoId/01109,7927,8478,4070,4619,12022,13104
122,1971,geoId/01111,6942,7486,2016,2137,8963,9629
123,1971,geoId/01113,12245,12931,9570,10833,21830,23792
124,1971,geoId/01115,12578,13050,1820,2085,14408,15148
125,1971,geoId/01117,16528,17270,2988,3257,19545,20567
126,1971,geoId/01119,2722,2608,4929,5549,7653,8162
127,1971,geoId/01121,21756,23163,9448,10310,31237,33510
