,Year,Count_Person_Female_AmericanIndianAndAlaskaNativeAlone,Count_Person_Female_AsianOrPacificIslander,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_AmericanIndianAndAlaskaNativeAlone,Count_Person_Male_AsianOrPacificIslander,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Male_WhiteAlone,geo_ID,Count_Person_Male,Count_Person_Female
0,1981,4196,6978,537013,1487993,4276,5360,464849,1407855,geoId/01,1882340,2036180
1,1982,4542,7539,537942,1491229,4619,5927,464290,1409130,geoId/01,1883966,2041252
2,1983,4912,8038,538112,1494123,5006,6462,464245,1413211,geoId/01,1888924,2045185
3,1984,5324,8563,539428,1501535,5391,6986,464567,1420040,geoId/01,1896984,2054850
4,1985,5772,9133,541283,1510722,5838,7576,465095,1427108,geoId/01,1905617,2066910
5,1986,6252,9691,542930,1517998,6296,8160,465890,1434352,geoId/01,1914698,2076871
6,1987,6755,10199,546213,1526125,6774,8698,467963,1442534,geoId/01,1925969,2089292
7,1988,7316,10736,547826,1528058,7296,9267,468619,1444740,geoId/01,1929922,2093936
8,1989,7889,11263,549496,1529298,7842,9851,469069,1445521,geoId/01,1932283,2097946
