,Year,Count_Person_Female_AmericanIndianAndAlaskaNativeAlone,Count_Person_Female_AsianOrPacificIslander,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_AmericanIndianAndAlaskaNativeAlone,Count_Person_Male_AsianOrPacificIslander,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Male_WhiteAlone,geo_ID,Count_Person_Male,Count_Person_Female
0,1990,42,80,3723,13789,29,41,3172,13480,geoId/01001,16722,17634
1,1991,44,83,3815,14046,30,43,3247,13710,geoId/01001,17030,17988
2,1992,44,92,3957,14396,31,45,3366,14071,geoId/01001,17513,18489
3,1993,41,97,4092,14761,30,47,3493,14415,geoId/01001,17985,18991
4,1994,40,102,4264,15219,31,57,3639,14866,geoId/01001,18593,19625
5,1995,41,106,4412,15553,31,60,3764,15187,geoId/01001,19042,20112
6,1996,41,118,4560,15969,31,61,3886,15585,geoId/01001,19563,20688
7,1997,43,120,4725,16341,33,66,4027,15938,geoId/01001,20064,21229
8,1998,44,125,4861,16667,33,69,4139,16255,geoId/01001,20496,21697
9,1999,48,129,5001,16992,29,71,4270,16600,geoId/01001,20970,22170
0,1990,466,125,4,287,581,345,22,630,geoId/02013,1578,882
1,1991,512,121,4,293,633,279,20,557,geoId/02013,1489,930
2,1992,516,123,4,290,642,285,21,566,geoId/02013,1514,933
3,1993,481,122,4,274,612,283,21,549,geoId/02013,1465,881
4,1994,455,122,4,252,578,287,20,528,geoId/02013,1413,833
5,1995,475,125,4,254,587,291,20,530,geoId/02013,1428,858
6,1996,477,127,4,253,595,301,20,521,geoId/02013,1437,861
7,1997,480,123,4,246,604,293,20,518,geoId/02013,1435,853
8,1998,462,119,5,237,585,286,20,507,geoId/02013,1398,823
9,1999,446,119,5,224,579,285,20,501,geoId/02013,1385,794
0,1990,24657,55,46,6697,23572,47,57,6775,geoId/04001,30451,31455
1,1991,24931,54,46,6680,23886,48,58,6768,geoId/04001,30760,31711
2,1992,25081,57,46,6670,24008,51,59,6757,geoId/04001,30875,31854
3,1993,25622,64,46,6816,24466,53,60,6927,geoId/04001,31506,32548
4,1994,26218,65,50,7030,24878,56,61,7150,geoId/04001,32145,33363
5,1995,27039,70,52,7229,25646,61,64,7386,geoId/04001,33157,34390
6,1996,27386,77,53,7374,26059,71,68,7543,geoId/04001,33741,34890
7,1997,27676,82,55,7504,26303,75,73,7682,geoId/04001,34133,35317
8,1998,27300,82,58,7432,26070,81,73,7638,geoId/04001,33862,34872
9,1999,27227,88,59,7406,26024,79,74,7605,geoId/04001,33782,34780
0,1990,30,17,2611,8779,24,18,2142,8038,geoId/05001,10222,11437
1,1991,28,17,2613,8680,24,18,2142,7970,geoId/05001,10154,11338
2,1992,30,17,2634,8617,24,18,2157,7901,geoId/05001,10100,11298
3,1993,24,16,2653,8497,24,19,2175,7793,geoId/05001,10011,11190
4,1994,24,18,2654,8419,23,20,2182,7719,geoId/05001,9944,11115
5,1995,27,18,2674,8334,21,20,2201,7659,geoId/05001,9901,11053
6,1996,28,18,2720,8265,22,20,2249,7608,geoId/05001,9899,11031
7,1997,28,18,2729,8172,23,20,2253,7510,geoId/05001,9806,10947
8,1998,27,18,2733,8115,20,22,2266,7456,geoId/05001,9764,10893
9,1999,27,20,2773,8104,22,22,2299,7450,geoId/05001,9793,10924
0,1990,5450,103924,128489,421972,5399,99853,119442,421273,geoId/06001,645967,659835
1,1991,5447,108530,130050,421356,5379,103945,120501,419936,geoId/06001,649761,665383
2,1992,5478,113538,131335,421291,5422,108391,121811,421323,geoId/06001,656947,671642
3,1993,5491,118323,132015,419433,5435,112312,122283,419444,geoId/06001,659474,675262
4,1994,5496,122154,132293,416295,5442,115425,122435,416819,geoId/06001,660121,676238
