MinDate,observationPeriods,ScalingFactors,Units,NumPlaces,MeasurementMethods,StatVar
1981,[P1Y],[],[Percent],6,[],Amount_Debt_USD_LenderCountryJOR_AsAFractionOf_Amount_Debt_LenderCountryJOR
1970,[P1Y],[],[Percent],8,[],Amount_Debt_WorldBankMultipleCurrency_LenderCountryLBN_AsAFractionOf_Amount_Debt_LenderCountryLBN
1970,[P1Y],[],[Percent],10,[],Amount_Debt_USD_LenderCountryGTM_AsAFractionOf_Amount_Debt_LenderCountryGTM
1970,[P1Y],[],[Percent],119,[],Amount_Debt_JPY_LenderInternationalMonetaryFund_AsAFractionOf_Amount_Debt_LenderInternationalMonetaryFund
1970,[P1Y],[],[Percent],35,[],Amount_Debt_JPY_LenderCountryDZA_AsAFractionOf_Amount_Debt_LenderCountryDZA
1970,[P1Y],[],[Percent],28,[],Amount_Debt_FRF_LenderCountryIRQ_AsAFractionOf_Amount_Debt_LenderCountryIRQ
1970,[P1Y],[],[Percent],51,[],Amount_Debt_GBP_LenderCountryROU_AsAFractionOf_Amount_Debt_LenderCountryROU
1970,[P1Y],[],[Percent],11,[],Amount_Debt_GBP_LenderCountryGHA_AsAFractionOf_Amount_Debt_LenderCountryGHA
1970,[P1Y],[],[Percent],2,[],Amount_Debt_DEM_LenderCountryPRY_AsAFractionOf_Amount_Debt_LenderCountryPRY
2001,[P1Y],[],[Percent],4,[],Amount_Debt_EUR_LenderCountryJAM_AsAFractionOf_Amount_Debt_LenderCountryJAM
2001,[P1Y],[],[Percent],50,[],Amount_Debt_EUR_LenderArabBankforEconomicDevinAfrica_AsAFractionOf_Amount_Debt_LenderArabBankforEconomicDevinAfrica
2001,[P1Y],[],[Percent],65,[],Amount_Debt_EUR_LenderCountryNOR_AsAFractionOf_Amount_Debt_LenderCountryNOR
2001,[P1Y],[],[Percent],1,[],Amount_Debt_EUR_LenderEuropeanCoalandSteelCommunity_AsAFractionOf_Amount_Debt_LenderEuropeanCoalandSteelCommunity
2001,[P1Y],[],[Percent],1,[],Amount_Debt_EUR_LenderCountryNER_AsAFractionOf_Amount_Debt_LenderCountryNER
2008,[P1Y],[],[Percent],1,[],Amount_Debt_CHF_LenderArabTownsOrganization_AsAFractionOf_Amount_Debt_LenderArabTownsOrganization
1992,[P1Y],[],[Percent],2,[],Amount_Debt_GBP_LenderNordicEnvironmentFinanceCorporation_AsAFractionOf_Amount_Debt_LenderNordicEnvironmentFinanceCorporation
1970,[P1Y],[],[Percent],9,[],Amount_Debt_FRF_LenderCountryTHA_AsAFractionOf_Amount_Debt_LenderCountryTHA
1991,[P1Y],[],[Percent],3,[],Amount_Debt_WorldBankOtherCurrency_LenderCountryBIH_AsAFractionOf_Amount_Debt_LenderCountryBIH
1992,[P1Y],[],[Percent],3,[],Amount_Debt_SDR_LenderCountryUZB_AsAFractionOf_Amount_Debt_LenderCountryUZB
1970,[P1Y],[],[Percent],1,[],Amount_Debt_DEM_LenderUNRegularProgrammeofTechnicalCoop_AsAFractionOf_Amount_Debt_LenderUNRegularProgrammeofTechnicalCoop
1970,[P1Y],[],[Percent],5,[],Amount_Debt_CHF_LenderCountryOMN_AsAFractionOf_Amount_Debt_LenderCountryOMN
