MeasurementMethods,StatVar,Units,ScalingFactors,NumPlaces,observationPeriods,MinDate
"[, WorldBankProjection]",AmountInterestRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountrySRB,[USDollar],[],57,[P1Y],1970
"[, WorldBankProjection]",AmountInterestRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryMUS,[USDollar],[],16,[P1Y],2000
[],AmountInterestRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryMEX,[USDollar],[],22,[P1Y],1970
"[, WorldBankProjection]",AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryQAT,[USDollar],[],19,[P1Y],1970
"[, WorldBankProjection]",AmountInterestRepayment_Debt_PrivateCreditor_PrivateNonGuaranteed_WorldBankCommercialBankAndOther_LongTermExternalDebt,[USDollar],[],106,[P1Y],1970
[],AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryBDI,[USDollar],[],7,[P1Y],2007
"[, WorldBankProjection]",AmountInterestRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryKAZ,[USDollar],[],11,[P1Y],1994
[],AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryECU,[USDollar],[],5,[P1Y],1978
"[, WorldBankProjection]",AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryVEN,[USDollar],[],33,[P1Y],1975
[],AmountInterestRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryGIB,[USDollar],[],5,[P1Y],2004
[],AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryGHA,[USDollar],[],11,[P1Y],1970
