Units,observationPeriods,ScalingFactors,NumPlaces,MinDate,MeasurementMethods,StatVar
[USDollar],[P1Y],[],11,2011,"[, WorldBankProjection]",AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderEurasianDevelopmentBank
[USDollar],[P1Y],[],17,1981,"[, WorldBankProjection]",AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderWestAfricanDevelopmentBank
[USDollar],[P1Y],[],7,2020,"[, WorldBankProjection]",AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderSouthAsianDevelopmentFund
[USDollar],[P1Y],[],6,1984,[],AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryPRI
[USDollar],[P1Y],[],56,1970,"[, WorldBankProjection]",AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryISR
[USDollar],[P1Y],[],20,1990,[],AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCountryCYP
[USDollar],[P1Y],[],108,1970,"[, WorldBankProjection]",AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryKWT
[USDollar],[P1Y],[],65,1970,"[, WorldBankProjection]",AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCountryNOR
[USDollar],[P1Y],[],84,1977,"[, WorldBankProjection]",AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCountryARE
[USDollar],[P1Y],[],40,2017,"[, WorldBankProjection]",AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderAsianInfrastructureInvestmentBank
[USDollar],[P1Y],[],25,1977,"[, WorldBankProjection]",AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryFIN
[USDollar],[P1Y],[],6,1973,[],AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryZMB
[USDollar],[P1Y],[],52,1970,"[, WorldBankProjection]",AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCountryROU
