Count_BirthEvent_LiveBirth,Count_BirthEvent_LiveBirth_AsFractionOf_Count_ChildDeliveryEvent,Count_BirthEvent_StillBirth,Count_ChildVaccinationEvent_MMR,Count_Death_Infant,Count_Infant_VaccineAdministered_BCG,Count_Infant_VaccineAdministered_DPTDose1,Count_Infant_VaccineAdministered_DPTDose2,Count_Infant_VaccineAdministered_DPTDose3,Count_Infant_VaccineAdministered_OPV,Count_Infant_VaccineSideEffect_Adverse_Deaths,Count_Infant_VaccineSideEffect_Adverse_Others,Date,State,isoCode
20784374,0,277942,20339132,234952,23698454,153491,106315,122469,17828167,250,362652,2018-03,All India,IN
4275,0,58,3830,83,3485,131,142,191,3255,0,54,2018-03,A & N Islands,IN-AN
751555,0,6797,423744,9014,780658,6844,6124,6371,696781,2,3439,2018-03,Andhra Pradesh,IN-AP
18727,0,216,16775,127,21629,397,263,260,16980,0,56,2018-03,Arunachal Pradesh,IN-AR
591248,0,12702,560496,11663,639581,460,328,412,348685,5,4990,2018-03,Assam,IN-AS
2085163,0,25697,2627501,12705,2722773,1795,1043,1037,1861690,92,8323,2018-03,Bihar,IN-BR
28950,0,702,4912,1355,27852,32,57,63,27572,1,77,2018-03,Chandigarh,IN-CH
491628,0,9519,531565,7475,555987,1387,710,1097,427856,0,5708,2018-03,Chhattisgarh,IN-CT
9255,0,164,4173,258,9837,9,5,4,9546,0,2906,2018-03,Dadra & Nagar Haveli,IN-DN
3583,0,23,1429,35,3760,27,22,7,3836,0,64,2018-03,Daman & Diu,IN-DD
267828,0,5051,306153,4958,293651,14215,11134,8943,241463,5,111,2018-03,Delhi,IN-DL
18883,0,153,8361,108,17926,252,155,137,16771,0,38,2018-03,Goa,IN-GA
1256711,0,13534,1150536,23230,1297516,20373,15735,17201,1127015,9,17903,2018-03,Gujarat,IN-GJ
516722,0,7264,515976,4931,539651,1396,1257,1416,475519,4,207,2018-03,Haryana,IN-HR
87049,0,1193,39309,1124,93257,0,0,0,78341,0,1199,2018-03,Himachal Pradesh,IN-HP
190694,0,3652,219992,1426,202739,902,603,589,183553,0,1966,2018-03,Jammu & Kashmir,IN-JK
759132,0,9442,809334,4022,795899,2110,934,1620,504541,5,6989,2018-03,Jharkhand,IN-JH
915244,0,10054,85610,12024,1049034,6934,4419,5053,874783,16,6535,2018-03,Karnataka,IN-KA
492964,0,2057,264902,2665,500958,1120,888,866,478209,19,2357,2018-03,Kerala,IN-KL
837,0,10,181,15,850,0,4,32,840,0,21,2018-03,Lakshadweep,IN-LD
1336337,0,22234,1491020,28802,1352491,3460,2437,3166,1174925,4,22300,2018-03,Madhya Pradesh,IN-MP
1753959,0,16639,1866238,17265,1962112,1294,862,861,1588834,18,5124,2018-03,Maharashtra,IN-MH
38577,0,181,40210,141,44323,215,209,249,25553,0,583,2018-03,Manipur,IN-MN
83269,0,1796,56341,2512,81010,1129,979,954,51797,1,766,2018-03,Meghalaya,IN-ML
19393,0,184,15860,390,17953,778,730,711,8772,0,188,2018-03,Mizoram,IN-MZ
19697,0,351,19086,216,23418,773,847,909,17058,0,1,2018-03,Nagaland,IN-NL
608034,0,13734,472497,13433,639683,0,0,0,559946,2,146186,2018-03,Odisha,IN-OR
42529,0,486,94,532,42062,0,0,0,42079,1,2797,2018-03,Puducherry,IN-PY
371692,0,5392,401537,3405,412362,754,889,1271,347379,0,3139,2018-03,Punjab,IN-PB
1383200,0,24815,1448291,17852,1497577,11,0,0,1096567,6,5281,2018-03,Rajasthan,IN-RJ
7268,0,145,7460,107,7164,0,1,9,6976,0,781,2018-03,Sikkim,IN-SK
904547,0,7205,436454,7644,907538,46,36,33,906715,0,45,2018-03,Tamil Nadu,IN-TN
636248,0,4273,354980,2614,613142,19823,13235,17027,555035,3,354,2018-03,Telangana,IN-TG
51166,0,958,46167,999,51145,372,335,280,35404,0,66,2018-03,Tripura,IN-TR
3587660,0,48015,4611650,16991,4901732,64722,40985,50653,2704976,13,10853,2018-03,Uttar Pradesh,IN-UP
143959,0,1524,94136,822,188789,128,141,203,134207,12,28445,2018-03,Uttarakhand,IN-UT
1306391,0,21722,1402332,24009,1398910,1602,806,844,1194708,32,72800,2018-03,West Bengal,IN-WB
15950936,100.2,231263,17537572,113165,18192105,5936241,6265786,6832719,13050127,0,172610,2016-03,All India,IN
3580,113,117,4675,57,3545,3126,3170,3369,3398,0,132,2016-03,A & N Islands,IN-AN
618340,105,6690,622554,2991,638142,165515,217419,274457,552223,0,979,2016-03,Andhra Pradesh,IN-AP
12857,100.1,195,15431,51,17234,16789,16875,16077,11630,0,95,2016-03,Arunachal Pradesh,IN-AR
456333,98.4,10040,466353,3571,460576,12632,42997,93495,217370,0,2841,2016-03,Assam,IN-AS
1544755,96.7,22607,1992330,828,2035960,12599,87738,239008,1398039,0,20794,2016-03,Bihar,IN-BR
21027,98.6,661,12810,716,20778,4868,6283,7533,20058,0,25,2016-03,Chandigarh,IN-CH
364316,99,8673,412628,3734,419744,23275,68699,108917,314080,0,5157,2016-03,Chhattisgarh,IN-CT
6959,99.5,122,5919,137,7934,2471,3155,3872,6937,0,8,2016-03,Dadra & Nagar Haveli,IN-DN
2882,99.6,31,3026,42,2596,1130,1453,1761,2644,0,45,2016-03,Daman & Diu,IN-DD
202473,99.2,3882,247830,2508,235043,20068,21193,21477,179037,0,24,2016-03,Delhi,IN-DL
14521,98.9,292,16419,32,14502,270,253,273,13483,0,22,2016-03,Goa,IN-GA
928143,101,12384,866367,6174,970150,21779,20109,19826,820916,0,13882,2016-03,Gujarat,IN-GJ
378380,98.8,5562,404181,7156,467546,272,4027,4107,387993,0,3606,2016-03,Haryana,IN-HR
70121,99,1188,83721,797,79116,47954,58087,67778,60427,0,509,2016-03,Himachal Pradesh,IN-HP
139799,99.3,2589,160973,480,159435,1674,1179,1040,136271,0,82,2016-03,Jammu & Kashmir,IN-JK
501614,99.3,7015,548269,1063,564614,29894,75099,147311,302622,0,4176,2016-03,Jharkhand,IN-JH
684654,99.8,7903,808856,5755,829488,5503,4400,4285,658714,0,3480,2016-03,Karnataka,IN-KA
368892,100.9,1580,363237,133,373334,1406,1493,1224,361798,0,2133,2016-03,Kerala,IN-KL
639,100,9,774,5,609,703,727,753,618,0,17,2016-03,Lakshadweep,IN-LD
1066739,98.7,19403,1103488,18580,1074019,13494,15573,20811,904212,0,7196,2016-03,Madhya Pradesh,IN-MP
1280324,99.2,14033,1418953,10776,1510638,1306410,1376122,1391985,1217525,0,4051,2016-03,Maharashtra,IN-MH
29784,100.1,149,33218,63,36471,34640,35012,33937,19368,0,7,2016-03,Manipur,IN-MN
62481,98.3,1391,53219,1763,62529,52549,56103,55074,33394,0,1318,2016-03,Meghalaya,IN-ML
14864,99.1,151,14890,316,15485,11530,13232,14339,5789,0,135,2016-03,Mizoram,IN-MZ
16660,96,263,15585,98,20694,18653,17811,16729,14158,0,0,2016-03,Nagaland,IN-NL
501699,98.4,12103,521345,9589,528096,336664,399377,462138,427758,0,57822,2016-03,Odisha,IN-OR
32409,98.5,509,12077,36,32377,181,174,204,32134,0,3035,2016-03,Puducherry,IN-PY
299122,99.2,4515,341644,1102,331939,10604,19096,36093,256716,0,216,2016-03,Punjab,IN-PB
1060787,99.6,19787,1049559,14617,1155622,10705,12501,15422,775960,0,102,2016-03,Rajasthan,IN-RJ
