District,lgdCode,Date,Count_BirthEvent_LiveBirth,Count_BirthEvent_StillBirth,Count_BirthEvent_LiveBirth_AsFractionOf_Count_ChildDeliveryEvent,Count_Infant_VaccineAdministered_BCG,Count_Infant_VaccineAdministered_OPV,Count_Infant_VaccineAdministered_DPTDose1,Count_Infant_VaccineAdministered_DPTDose2,Count_Infant_VaccineAdministered_DPTDose3,Count_ChildVaccinationEvent_MMR,Count_Infant_VaccineSideEffect_Adverse_Deaths,Count_Infant_VaccineSideEffect_Adverse_Others,Count_Death_Infant
Warangal urban,686,2011-03,63869,313,99.5,63837,63858,61782,60290,58739,61698,,,458
West godavari,523,2011-03,63777,326,99.5,66598,52699,63689,63712,64193,61385,,,214
Anjaw,628,2011-03,127,1,100,402,123,412,238,189,238,,,
Changlang,229,2011-03,1136,25,95.1,2664,844,2756,2247,1904,2141,,,
Dibang valley,230,2011-03,92,6,110.8,150,94,149,143,115,98,,,1
East kameng,231,2011-03,390,5,100.3,360,84,363,249,236,365,,5,
East siang,232,2011-03,1181,28,96.8,1480,845,1501,1366,1270,1173,,,2
Kurung kumey,233,2011-03,188,2,74.9,960,795,989,988,910,775,,,
Lohit,234,2011-03,1178,14,99.2,2748,1033,2477,2491,2160,2245,,,2
Longding,666,2011-03,,,,,,,,,,,,
Lower dibang valley,235,2011-03,680,21,101,1014,682,932,832,694,777,,9,5
Lower subansiri,236,2011-03,414,7,99.8,558,466,522,546,498,445,,10,2
Papum pare,237,2011-03,1951,24,98.1,3207,2998,2679,2323,1860,1573,,,
Tawang,238,2011-03,253,25,100,516,236,498,478,448,401,,,2
Tirap,239,2011-03,652,34,96.2,1755,243,1735,1794,1562,1759,,,5
Upper siang,240,2011-03,335,5,98.5,394,336,484,417,449,344,,,
Upper subansiri,241,2011-03,668,16,108.6,649,269,622,664,539,425,,,
West kameng,242,2011-03,540,20,96.8,1216,611,1251,1061,1037,1281,,,
West siang,243,2011-03,1306,8,100.7,1512,701,1659,1463,1321,1312,,2,
Baksa,616,2011-03,10612,218,98.5,14383,3421,15253,15105,14661,13618,,77,6
Barpeta,280,2011-03,30649,729,98.1,38076,13123,36811,35695,34584,32987,,275,92
Bongaigaon,281,2011-03,12969,312,98,15497,2220,14897,14381,13620,13750,,9,170
Cachar,282,2011-03,36454,1617,95.8,43616,17888,38650,38752,37541,35891,,,463
Chirang,612,2011-03,7556,120,98.2,9351,988,9597,9498,9208,8841,,1,5
Darrang,283,2011-03,15957,437,97.9,22320,8686,19325,18851,18488,17658,,423,2
Dhemaji,284,2011-03,13442,360,98,16661,1644,15197,14868,14908,14926,,107,262
Dhubri,285,2011-03,33781,1138,97.2,46720,5747,47456,45871,44255,42616,,31,67
Dibrugarh,286,2011-03,23341,708,98.5,27963,16148,25895,25132,25094,24910,,,76
Goalpara,287,2011-03,18426,478,99.2,23208,5847,22408,21361,20309,19889,,,26
Golaghat,288,2011-03,17086,402,97.9,19696,7931,18453,18434,18072,16903,,,161
Hailakandi,289,2011-03,13730,575,98.5,16687,1987,16681,16791,16343,15651,,,370
Jorhat,290,2011-03,16496,319,107.6,19452,12129,19193,20798,20862,18372,,,152
Kamrup metro,618,2011-03,26317,1101,96,28108,12917,22946,26822,24112,22193,,1,
Kamrup rural,291,2011-03,13228,213,102.1,18072,3410,18133,17427,17124,17825,,49,11
Karbi anglong,292,2011-03,16897,442,98,21172,6266,20372,21070,20358,19666,,52,27
Karimganj,293,2011-03,22512,837,96.3,28080,8494,26597,25912,24719,24697,,,38
Kokrajhar,294,2011-03,16151,526,98.4,18161,2033,18480,18327,17684,17603,,2,10
Lakhimpur,295,2011-03,18497,542,103.4,32625,17234,19325,19535,19603,19892,,3,43
Marigaon,296,2011-03,17955,534,97.1,22988,5007,22516,22259,21942,20424,,5,48
Nagaon,297,2011-03,44703,983,90.3,54652,2332,55269,54818,53271,53377,,,5
Nalbari,298,2011-03,12919,458,99.4,15835,8998,14524,14248,13512,12744,,26,54
Sivasagar,300,2011-03,16615,262,98.5,23025,6268,21225,21264,21177,21128,,,20
Sonitpur,301,2011-03,29782,878,100.3,39319,8645,38805,37839,37180,35409,,,240
Tinsukia,302,2011-03,21867,461,98,27078,14171,26034,25439,25175,25912,,,3
Udalguri,617,2011-03,14404,352,117.8,14604,2565,15317,15076,14829,14411,,105,109
Araria,188,2011-03,32883,1106,75.7,55431,51701,65298,64079,58205,61164,,5,
Arwal,611,2011-03,10066,204,105.8,16530,15828,15537,14929,13836,17021,,262,26
Banka,190,2011-03,29884,1096,98.5,41431,29122,39745,37629,38293,33112,,24,3
Begusarai,191,2011-03,54830,1169,99.8,62099,65782,65165,62329,57404,56034,,,56
Bhagalpur,192,2011-03,23381,785,84.6,48315,34133,47450,45637,42956,42614,,14,46
Bhojpur,193,2011-03,32851,694,80.7,58668,53994,62380,60930,56678,55013,,,51
Buxar,194,2011-03,19809,444,98.4,31039,14681,30738,28701,24609,23445,,61,14
Darbhanga,195,2011-03,29049,1061,64.6,91825,59800,86788,79028,69638,67259,,,79
Purbi champaran,213,2011-03,38084,805,80,111697,54999,108031,96731,83670,71575,,,59
Gaya,196,2011-03,39146,1884,86.4,78887,41258,81955,76994,68426,130453,,170,296
Gopalganj,197,2011-03,34312,930,82.3,57551,43369,57333,57469,54398,43879,,,34
Jamui,198,2011-03,21626,661,87.2,39581,29260,37966,35514,32885,30414,,,
Jehanabad,199,2011-03,18291,421,97.5,28220,22543,27399,26165,24807,21786,,,
Kaimur (bhabua),200,2011-03,19038,342,85.1,34133,24418,33686,32692,29943,25606,,,114
Katihar,201,2011-03,33319,709,81.4,76863,44043,75282,71074,63629,54474,,,37
Khagaria,202,2011-03,30062,436,103,47721,30132,47325,45331,41402,34531,,6,
Kishanganj,203,2011-03,21851,912,103.5,43271,30952,39536,36301,32957,31994,,,3
Lakhisarai,204,2011-03,13287,495,94.1,20334,14530,18883,17662,15472,14593,,5,6
Madhepura,205,2011-03,35407,1007,95.9,52357,46089,51658,46052,39982,39161,,,23
Madhubani,206,2011-03,54332,688,95.6,112642,80837,108281,100129,90343,89943,,,
Munger,207,2011-03,28714,524,98.3,32068,28105,30638,28716,26793,24362,,,4
Muzaffarpur,208,2011-03,42265,1122,76.6,110384,55899,109694,108402,100406,91088,,11,110
Nalanda,209,2011-03,41350,1063,78,55977,47574,56907,55753,47052,77578,,146,20
Nawada,210,2011-03,16888,178,89.1,33403,22263,38355,36555,32835,32791,,3,7
Patna,212,2011-03,65283,39,99.9,87348,73536,83790,80066,80351,72612,,6,
Purnia,214,2011-03,67938,1804,96.8,97803,85183,97632,95684,88594,81594,,,135
Rohtas,215,2011-03,31184,373,98.9,58748,47988,59568,56915,52302,53372,,10,102
Saharsa,216,2011-03,25854,619,94.4,48286,34413,45137,40699,38416,43367,,,1
Samastipur,217,2011-03,76106,2186,93.1,112857,67596,100439,95425,87133,81242,,,51
Saran,218,2011-03,33260,304,77.6,83139,65739,84391,80964,78134,66252,,,2
Sheikhpura,219,2011-03,14176,232,90.1,18129,15106,15937,15332,13658,12991,,164,10
