District,lgdCode,Date,Count_BirthEvent_LiveBirth,Count_BirthEvent_StillBirth,Count_BirthEvent_LiveBirth_AsFractionOf_Count_ChildDeliveryEvent,Count_Infant_VaccineAdministered_BCG,Count_Infant_VaccineAdministered_OPV,Count_Infant_VaccineAdministered_DPTDose1,Count_Infant_VaccineAdministered_DPTDose2,Count_Infant_VaccineAdministered_DPTDose3,Count_ChildVaccinationEvent_MMR,Count_Infant_VaccineSideEffect_Adverse_Deaths,Count_Infant_VaccineSideEffect_Adverse_Others,Count_Death_Infant
Golaghat,288,2014-03,15370,381,97.9,17468,9327,18193,18103,17792,17223,,4,183
Hailakandi,289,2014-03,13942,522,97.2,16030,5931,16199,16117,15995,15302,,1,294
Jorhat,290,2014-03,16942,285,89.4,18096,14836,19556,19279,19256,19437,,39,35
Kamrup metro,618,2014-03,30505,957,97.7,28948,19406,25142,24710,24597,22372,,0,6
Kamrup rural,291,2014-03,22503,269,99.8,29834,13209,31334,31191,31078,30248,,27,131
Karbi anglong,292,2014-03,18297,422,98.8,20110,7329,20617,20286,19511,18787,,12,78
Karimganj,293,2014-03,26354,811,97.9,24966,10125,28424,28085,27070,25088,,18,243
Kokrajhar,294,2014-03,16482,265,99.7,16590,5291,17551,17110,16824,15729,,0,58
Lakhimpur,295,2014-03,19904,424,95.5,19840,12932,21104,21019,20805,20245,,0,281
Marigaon,296,2014-03,19389,454,97.9,21644,4294,22575,22336,22204,22118,,0,217
Nagaon,297,2014-03,53792,1527,97.2,62470,32964,61523,61678,60533,60479,,55,30
Nalbari,298,2014-03,14265,178,99.4,14977,10769,15461,15154,14539,14144,,52,104
Sivasagar,300,2014-03,16128,366,98.8,17981,8381,18643,18910,18586,18511,,0,107
Sonitpur,301,2014-03,35649,942,101.4,39993,16166,37305,37384,36489,36331,,1,223
Tinsukia,302,2014-03,24344,485,97.2,21448,8756,24345,24133,23387,23518,,0,141
Udalguri,617,2014-03,11247,208,98.7,12634,5278,14351,14367,14206,14294,,156,193
Araria,188,2014-03,66276,1032,99.1,78373,63229,77026,69029,59468,54179,,1,5
Arwal,611,2014-03,11235,216,99,13731,11355,15057,14825,14429,13198,,4,8
Banka,190,2014-03,40484,865,98.2,48184,36484,51309,49060,46957,41767,,0,55
Begusarai,191,2014-03,73591,1192,109,73531,73262,76017,72434,69300,65125,,1,31
Bhagalpur,192,2014-03,61024,1170,103.7,73080,53290,70807,67522,63863,56845,,38,40
Bhojpur,193,2014-03,45875,784,97.5,51016,38845,55851,52846,48677,47578,,20,48
Buxar,194,2014-03,26927,370,98.9,36479,28883,39925,38929,38125,37670,,0,1
Darbhanga,195,2014-03,72257,940,99.5,105485,67426,105633,102288,101721,102693,,0,96
Purbi champaran,213,2014-03,84117,1039,99,123061,66464,119878,111564,103462,94344,,11,72
Gaya,196,2014-03,79762,1605,103.5,93851,54291,99755,97427,93481,83452,,162,24
Gopalganj,197,2014-03,49120,848,98.7,59979,47522,59832,57991,55826,49302,,40,4
Jamui,198,2014-03,37911,613,98.8,36905,30731,43162,39470,36349,32833,,13,69
Jehanabad,199,2014-03,22033,438,98.1,27563,22881,27296,26939,26769,25906,,54,52
Kaimur (bhabua),200,2014-03,27436,442,98.7,38250,24063,38866,39359,38707,36399,,0,7
Katihar,201,2014-03,70853,1339,98.1,81129,60144,82655,76144,70930,69881,,47,15
Khagaria,202,2014-03,44184,560,99.2,48268,34643,48978,47203,44845,41484,,2,1
Kishanganj,203,2014-03,38796,1158,105.8,47413,32802,50636,47668,42806,39097,,88,283
Lakhisarai,204,2014-03,20276,356,99,23123,18515,23222,22483,20574,18229,,0,21
Madhepura,205,2014-03,51899,786,98.9,61800,53011,60305,59062,56464,52448,,0,16
Madhubani,206,2014-03,84803,1451,102.5,103060,68737,106067,104296,99561,91989,,9,32
Munger,207,2014-03,25626,485,98.5,30474,24909,29868,28111,26203,24344,,2,2
Muzaffarpur,208,2014-03,89781,1659,111.7,107502,84424,110838,106100,100404,97754,,199,235
Nalanda,209,2014-03,42844,1065,98.7,57821,42455,60004,58663,58675,61791,,159,9
Nawada,210,2014-03,37001,679,98.7,46428,36622,47623,47185,44161,39122,,101,16
Patna,212,2014-03,62055,1438,108.3,121329,98649,117494,114405,112711,113581,,227,1
Purnia,214,2014-03,94040,1938,98,110886,95091,107759,105383,101350,95635,,0,54
Rohtas,215,2014-03,37754,637,98.9,63322,46864,65356,64729,63207,64498,,60,1
Saharsa,216,2014-03,42818,894,96.6,51927,44041,54611,52072,49253,44462,,7,59
Samastipur,217,2014-03,104134,1250,98.2,115927,93536,111448,108643,104250,96128,,122,27
Saran,218,2014-03,67142,806,99,81137,73693,85125,82354,80226,77201,,8,
Sheikhpura,219,2014-03,15241,299,98.8,16530,13871,15268,14541,13393,12507,,64,3
Sheohar,220,2014-03,19205,189,102.1,19774,16681,19854,18416,17630,16705,,0,9
Sitamarhi,221,2014-03,64598,956,99,88839,50845,93212,89232,84757,83318,,18,6
Siwan,222,2014-03,58982,991,99.3,85464,65246,84114,81607,81210,71806,,10490,92
Supaul,223,2014-03,56789,861,98.9,64852,55944,64008,61279,56821,48551,,72,12
Vaishali,224,2014-03,72334,683,99.4,84751,74147,82241,79454,75596,68846,,162,114
Pashchim champaran,211,2014-03,89356,1205,106.4,97262,88066,89847,85800,80998,76007,,54,18
Chandigarh,044,2014-03,25869,831,98.9,26118,25054,17995,16584,16584,17158,,1,1178
Balod,646,2014-03,10004,198,98.2,11845,8898,12657,13005,12965,12577,,0,125
Baloda bazar,644,2014-03,27212,490,100.1,29520,18307,28800,28184,27521,27126,,664,137
Bastar,374,2014-03,15797,571,98,15796,12524,18084,18028,18240,15437,,333,168
Bemetara,650,2014-03,16691,362,97.2,18675,12910,17902,17732,17456,16700,,5,90
Dantewada,376,2014-03,6436,177,97.8,5684,5355,6286,6178,6142,5979,,0,79
Dhamtari,377,2014-03,14852,225,98.9,15832,15645,14600,14426,14603,13940,,180,201
Durg,378,2014-03,34505,624,98.4,38806,35266,35873,35572,35290,35145,,8,84
Gariyaband,645,2014-03,10783,315,99.1,11464,7822,11709,11917,11927,11377,,11,115
Janjgir-champa,379,2014-03,28362,644,110.5,28804,20549,36059,35800,35596,35199,,9,94
Jashpur,380,2014-03,16951,400,98.7,15843,8564,17376,17267,16887,15786,,6,160
Kanker,381,2014-03,11418,329,98.1,12383,11576,12632,12833,12784,11879,,5,129
Kondagaon,643,2014-03,10909,304,97.4,10898,5659,11505,11422,11477,10752,,0,195
Korba,383,2014-03,21436,288,99,27413,25962,28673,28936,29353,27957,,102,130
Korea,384,2014-03,10982,363,98.8,12478,8302,13598,13514,13402,12499,,299,164
Mahasamund,385,2014-03,17298,463,100.8,20388,17835,18696,18568,18517,17779,,91,223
Mungeli,647,2014-03,15702,286,98.8,15900,9060,16818,17126,16614,15073,,6,137
Narayanpur,637,2014-03,3159,104,97.1,3159,1350,3011,2945,2941,2792,,30,113
Raipur,387,2014-03,45300,623,99.2,45042,30548,42317,43274,42774,42039,,147,99
Rajnandgaon,388,2014-03,27439,788,98,25981,19994,27510,27438,27194,25729,,980,458
Sukma,642,2014-03,4028,128,98.1,3820,3474,4361,4232,3392,3184,,2206,78
Surajpur,648,2014-03,13051,377,104.2,12298,7382,16571,16836,16275,16145,,81,138
Surguja,389,2014-03,16447,249,100.7,18140,13362,17847,17615,17196,16900,,58,170
Dadra and nagar haveli,465,2014-03,7724,95,99.7,7964,6079,7254,7378,7536,7641,,0,136
Daman,463,2014-03,2985,17,100.2,2490,2108,2607,2673,2558,2977,,3,66
Diu,464,2014-03,877,11,99.8,843,846,824,764,769,748,,0,4
Central,077,2014-03,43743,928,99,41950,39262,7948,9803,11670,27388,,1,561
New delhi,079,2014-03,39727,1055,98.4,42188,38035,10291,10389,10255,15025,,0,804
North east,081,2014-03,6759,65,99.9,13509,6742,11507,12031,11542,20515,,0,16
North west,082,2014-03,35436,520,99.7,40876,31924,12119,14383,16338,31439,,8,331
Shahdara,671,2014-03,31679,578,98.8,36427,31840,13720,13972,14080,21817,,3,37
South east,670,2014-03,9364,42,101,15221,7529,11415,12436,13572,21295,,10,50
South west,084,2014-03,11953,146,99.6,15634,11342,11334,12298,12941,21817,,3,26
North goa,551,2014-03,10670,279,98.4,11347,10147,364,421,402,12366,,10,44
South goa,552,2014-03,5246,18,100.4,7176,6812,375,393,418,9471,,0,2
Ahmadabad,438,2014-03,144119,1733,91.8,145055,109244,447,236,180,136973,,665,142
Amreli,439,2014-03,25742,199,100.5,31707,26870,225,217,220,31414,,11,112
Anand,440,2014-03,34074,661,97.2,33951,26071,1194,1161,1811,33862,,17,68
Arvalli,672,2014-03,25536,377,99.7,22797,16473,148,228,659,23254,,4,175
Banas kantha,441,2014-03,73517,1030,98.9,67875,13543,17,20,10,67510,,2396,1711
Bharuch,442,2014-03,28757,329,99.1,30720,21819,0,0,0,30218,,28,179
Bhavnagar,443,2014-03,62665,1307,105.4,55264,26522,9436,9127,9785,51669,,2347,25
Botad,676,2014-03,17204,558,141.3,11250,5527,1149,1244,1400,11292,,19,1
Chhotaudepur,668,2014-03,15367,344,104.9,19787,15862,6843,6803,7156,19672,,85,104
Dohad,445,2014-03,60321,1792,97,61185,48870,14086,12981,12892,55528,,25,526
Devbhumi dwarka,674,2014-03,12553,174,99.2,15502,11685,10,10,10,14402,,8,188
Gandhinagar,446,2014-03,31480,675,98.4,34660,29824,5306,5110,5384,30429,,17,72
Gir somnath,675,2014-03,23150,398,116,23331,20356,202,187,33,22848,,18,88
Jamnagar,447,2014-03,26365,629,98.4,29568,27943,126,115,122,26445,,4,170
Junagadh,448,2014-03,19395,360,106.8,24158,22159,1061,954,888,22170,,60,85
Kachchh,449,2014-03,37395,689,104.2,51376,37031,9993,9594,10406,42781,,136,145
Kheda,450,2014-03,42450,587,99.7,47360,26612,109,90,178,46480,,0,112
Mahesana,451,2014-03,38477,679,98.8,37584,29744,1343,1377,1564,37856,,4,119
Mahisagar,669,2014-03,22047,475,103.2,22752,17956,11903,11598,11985,22089,,627,100
Morbi,673,2014-03,15560,194,99.4,17178,11966,10,70,159,17357,,2,119
Narmada,452,2014-03,8748,228,98.3,8722,7777,0,0,0,9658,,439,46
Navsari,453,2014-03,23129,176,99.9,21855,20096,114,127,132,19983,,0,53
Panch mahals,454,2014-03,33894,736,118.7,33175,23271,18913,18512,19100,32578,,390,62
Patan,455,2014-03,28060,379,101.6,26147,19840,387,376,389,23569,,11,98
Porbandar,456,2014-03,10236,112,99.6,10293,9825,2311,2250,2460,10544,,66,93
Rajkot,457,2014-03,51899,613,100.5,62944,56137,13,7,4,56017,,3315,190
Sabar kantha,458,2014-03,29400,537,98.7,29650,22338,783,843,1525,27287,,71,305
Surat,459,2014-03,83149,1203,99.3,121775,107268,14060,15372,19234,103747,,67,50
Surendranagar,460,2014-03,25723,366,99.1,28354,20460,389,368,562,27056,,61,333
Tapi,641,2014-03,11007,191,99.7,12978,8850,2591,2521,2387,11393,,161,137
Dang,444,2014-03,6659,158,116,6155,2351,1218,1211,1260,5909,,450,31
Vadodara,461,2014-03,53634,836,100.6,71396,60297,14133,13905,15137,61583,,606,147
Valsad,462,2014-03,29098,402,99.3,29000,19807,19788,19706,19550,27652,,1,103
Ambala,058,2014-03,19856,210,99.4,17380,15068,0,300,644,19249,,241,85
Bhiwani,059,2014-03,31996,326,107.5,29264,13256,327,821,1577,26692,,85,128
Faridabad,060,2014-03,33098,429,99.1,39154,24649,0,3378,5037,37232,,472,209
Fatehabad,061,2014-03,15931,216,99.1,17592,11116,135,531,1161,15486,,103,251
Gurugram,062,2014-03,33113,216,96.2,42753,27727,1619,4433,5872,38262,,9,70
Hisar,063,2014-03,32071,592,99,35175,27901,1493,2609,4332,30349,,187,298
Jhajjar,064,2014-03,9570,98,99.3,14602,10416,210,811,1378,15501,,415,128
Jind,065,2014-03,22770,250,99.1,24921,20805,32,438,1503,23175,,69,32
Kaithal,066,2014-03,17970,200,97.4,22534,15395,0,288,673,20784,,142,132
Karnal,067,2014-03,30462,361,99.2,29953,22127,14,467,1284,29811,,446,182
Kurukshetra,068,2014-03,18940,150,99.7,19613,12905,1,114,254,16989,,98,109
Mahendragarh,069,2014-03,16136,215,99.1,19882,10057,14,394,900,14196,,586,17
Nuh,604,2014-03,39189,726,98.3,29261,17283,533,1904,2267,20524,,17,385
Palwal,619,2014-03,22829,250,98.9,22956,12059,267,1269,2154,21321,,94,116
Panchkula,070,2014-03,13420,216,99.1,13512,10361,243,482,797,13329,,30,15
Panipat,071,2014-03,21497,297,99,26568,14490,402,1363,2479,24141,,127,237
Rewari,072,2014-03,15164,110,99.7,18101,18717,155,207,337,15109,,106,31
Rohtak,073,2014-03,26093,584,98.1,28433,36226,0,0,6,22162,,1,32
Sirsa,074,2014-03,22831,476,98.8,23217,17919,170,552,1071,20554,,475,278
Sonipat,075,2014-03,29660,359,99.1,29645,20626,521,1146,2172,27980,,6,59
Yamunanagar,076,2014-03,22400,415,98.9,20837,17482,818,973,1177,21971,,260,114
Chamba,016,2014-03,8275,122,99.2,8365,2672,9058,9247,9044,8538,,10,122
Kangra,018,2014-03,20506,392,98.7,27386,19709,22991,23501,24338,23454,,0,557
Kinnaur,019,2014-03,573,15,97.9,868,150,1284,1294,1333,1379,,1,18
Kullu,020,2014-03,6372,94,99,6917,4235,6818,6770,6873,6698,,0,78
Lahul and spiti,021,2014-03,183,1,99.5,229,181,343,382,407,435,,0,
Mandi,022,2014-03,12037,142,99.5,13749,8240,14934,15014,15290,15144,,2,122
Shimla,023,2014-03,13270,199,99.2,15189,11859,12143,11902,11652,11374,,0,88
Sirmaur,024,2014-03,6988,130,98.7,8975,3994,9724,9636,9774,9210,,0,93
Solan,025,2014-03,8998,73,99.9,11012,5501,10729,10614,10728,10509,,0,65
Una,026,2014-03,6962,81,99.8,9111,4309,8690,8694,8803,8518,,0,34
Anantnag,001,2014-03,16512,579,97.8,17522,16883,9085,8136,7666,14087,,0,31
Budgam,002,2014-03,4447,17,99.8,5750,5238,5712,5927,6009,12204,,0,
Bandipora,623,2014-03,3577,91,99.7,4136,2895,3054,2996,2934,6088,,13,
Baramulla,003,2014-03,10831,168,96.1,12348,10797,9427,9288,8695,16972,,48,9
Doda,004,2014-03,6743,45,99.5,6919,4164,1735,1860,1322,6172,,0,11
Ganderbal,626,2014-03,2372,21,99.6,3076,2832,2675,2662,2553,4825,,75,
Jammu,005,2014-03,28773,930,99,30190,27760,9238,9677,10298,18894,,0,
Kargil,006,2014-03,2425,53,104.5,2311,1858,1234,1257,1244,2271,,0,18
Kathua,007,2014-03,8126,154,98.6,9830,5430,5080,5619,5965,11059,,0,4
Kishtwar,620,2014-03,4601,133,98.6,4722,4233,462,593,1324,3128,,,15
Kulgam,622,2014-03,4250,83,99.5,4953,3851,2410,2216,2048,7937,,0,
Kupwara,008,2014-03,10550,260,96,11292,8347,2558,2870,2993,15553,,0,51
Leh ladakh,009,2014-03,2167,50,107.2,1456,1966,806,745,758,1254,,0,18
Poonch,010,2014-03,9843,277,97.9,9581,5550,1340,1233,1201,8722,,1,51
Pulwama,011,2014-03,5048,74,98.9,5977,5744,5203,5197,4890,8659,,0,17
Rajouri,012,2014-03,12127,147,98.4,15013,8726,3283,3629,4127,12638,,0,
Ramban,621,2014-03,5455,121,98.2,5578,4681,2742,2751,2644,4468,,0,3
Reasi,627,2014-03,4158,91,100.7,4910,3969,3707,3484,3456,4698,,0,
Samba,624,2014-03,2268,3,99.6,3070,3070,1767,1837,2040,5184,,0,
Shopian,625,2014-03,1657,33,98.3,2672,2151,2340,2293,2021,3821,,0,9
Srinagar,013,2014-03,38024,498,98.5,35303,34688,7541,7287,7286,15847,,12,2
Udhampur,014,2014-03,9866,130,91,11425,8092,276,582,1327,9996,,0,5
Bokaro,322,2014-03,33104,232,99.8,39894,23370,45684,44911,44156,44188,,93,35
Chatra,323,2014-03,18419,332,107.3,18667,9259,23647,22396,21144,19629,,28,
Deoghar,324,2014-03,31229,501,99.9,39647,24197,33297,32204,30677,27477,,20,11
Dhanbad,325,2014-03,42819,143,103.3,50948,31329,58423,57186,57203,54832,,169,14
Dumka,326,2014-03,28638,377,99.4,31048,19948,29243,28390,27808,27242,,596,78
Giridih,329,2014-03,51042,603,100.8,50550,21808,58938,56270,54244,51275,,277,15
Godda,330,2014-03,32215,587,98.7,32523,18588,31472,29639,27935,24639,,1554,8
Gumla,331,2014-03,19646,474,98.2,20022,14429,20190,19888,19698,18228,,137,147
Hazaribagh,332,2014-03,39490,444,99.5,36334,24435,38297,36618,36151,33164,,84,24
Jamtara,333,2014-03,15406,391,99.3,17848,10197,16103,15315,14571,14047,,3,26
Khunti,606,2014-03,9796,172,99.6,11564,8427,11832,11602,11494,11688,,52,42
Koderma,334,2014-03,16321,322,98.8,19472,5595,17038,16370,15966,14360,,21,23
Latehar,335,2014-03,17855,214,99.3,17938,8494,18073,17863,17761,16076,,0,20
Lohardaga,336,2014-03,10179,185,99.1,10875,8331,10252,10223,10065,9807,,337,16
Pakur,337,2014-03,21741,314,99.1,23588,12809,23511,22875,22286,20451,,6,1
Palamu,338,2014-03,31147,534,99.6,38597,19948,43394,42845,41854,38744,,0,6
West singhbhum,343,2014-03,32035,571,101.4,31286,17817,36255,35814,35853,32845,,828,131
East singhbum,327,2014-03,38303,475,99.5,42650,34827,42499,41440,42003,39098,,845,192
Ramgarh,607,2014-03,15511,244,100,17359,11629,17838,17140,16332,15924,,195,14
Ranchi,339,2014-03,55829,732,103,59433,35759,61667,60624,61162,55749,,904,47
Sahebganj,340,2014-03,31849,731,98.3,27684,13364,27627,25029,23047,21036,,136,53
Saraikela kharsawan,341,2014-03,19157,215,99.9,21961,12430,22823,22739,22357,21608,,106,142
Simdega,342,2014-03,11331,205,101.8,11024,6134,11724,11953,12143,12013,,8,21
Bagalkote,524,2014-03,42008,453,99.5,50425,32184,13760,15597,18797,41116,,15,139
Bengaluru rural,526,2014-03,9257,43,100.1,13481,8334,1378,2365,3454,13671,,0,78
Bengaluru urban,525,2014-03,92117,210,99.9,121284,108225,30486,32449,36709,111661,,13,23
Belagavi,527,2014-03,59914,834,101,107499,73546,15685,19859,23200,87961,,16,341
Ballari,528,2014-03,42221,802,98.8,59100,30887,9733,12580,16387,56837,,0,218
Bidar,529,2014-03,33679,458,100.2,44000,31411,3837,4576,5622,31686,,77,135
Chamarajanagara,531,2014-03,10933,152,99.4,11557,10390,2354,2644,2793,13794,,140,78
Chikkaballapura,630,2014-03,14429,174,101.8,19066,15984,10799,10801,11128,23199,,2456,25
Chikkamagaluru,532,2014-03,15906,136,99.7,15797,14378,3545,3921,4506,16045,,132,48
Chitradurga,533,2014-03,22826,281,101.2,27486,19927,7848,8311,9171,27047,,246,113
Dakshina kannada,534,2014-03,27914,243,99.7,28683,24102,2283,2666,2951,28662,,8,223
Davangere,535,2014-03,27389,501,101.2,44067,40320,15400,14518,15268,32812,,23,69
Dharwad,536,2014-03,34535,928,99.1,48275,31465,4253,3866,4055,37814,,507,340
Gadag,537,2014-03,17232,294,98.5,20999,13761,1112,2887,4537,19871,,0,37
Kalaburagi,538,2014-03,47778,682,98.7,70233,47013,20304,20911,22604,60294,,60,513
Hassan,539,2014-03,24537,64,102.3,23766,22318,3874,4077,4990,25579,,8,150
Haveri,540,2014-03,24559,406,98.9,29693,23143,3859,5088,6195,29680,,103,119
Kodagu,541,2014-03,7434,66,100.7,8054,6633,1931,2125,2205,7767,,8,51
Kolar,542,2014-03,21991,235,100.7,21843,19723,3048,4229,5513,23699,,15,94
Koppal,543,2014-03,23265,561,98.8,33973,28036,7005,8156,9558,27953,,845,164
Mandya,544,2014-03,20555,225,99.2,22129,19352,1687,2910,4914,26113,,0,289
Mysuru,545,2014-03,35021,809,101.2,42976,33176,10864,10652,10779,41237,,53,620
Raichur,546,2014-03,34576,762,98,49301,39433,13140,14553,15648,43029,,16,236
Ramanagara,631,2014-03,10299,93,103,14289,8264,7165,7292,7890,15619,,0,18
Shivamogga,547,2014-03,28557,77,103.1,27471,24954,4391,5684,6984,27765,,80,61
Tumakuru,548,2014-03,35162,182,100.1,37725,28758,6711,8616,10362,41924,,0,151
Udupi,549,2014-03,16480,121,101.6,16833,15819,5954,5412,5602,15851,,82,39
Uttara kannada,550,2014-03,23868,217,100.1,24242,20781,2750,3664,5101,22146,,42,43
Yadgir,635,2014-03,21158,234,98.7,32490,22784,9933,9839,10477,30394,,681,50
Alappuzha,554,2014-03,20100,23,101,21113,20307,56,84,33,25315,,1178,77
Ernakulam,555,2014-03,41248,97,100.9,40754,40517,57,52,55,43187,,234,30
Idukki,556,2014-03,13196,68,100.3,13383,13536,264,228,193,14755,,34,28
Kozhikode,561,2014-03,56012,541,100.3,55641,52930,187,193,160,49271,,203,675
Kannur,557,2014-03,45923,199,100.1,47025,46311,238,233,276,44031,,72,29
Kasaragod,558,2014-03,21390,48,100.6,22881,22544,1463,1271,1109,24387,,61,23
Kollam,559,2014-03,30032,36,100.5,30269,30090,284,227,179,37229,,211,34
Kottayam,560,2014-03,25779,125,100.7,27096,27069,431,291,216,25119,,25,4
Malappuram,562,2014-03,86504,395,99.8,89987,76821,1035,579,387,78897,,463,41
Palakkad,563,2014-03,39256,120,100.2,41109,37799,279,229,276,46003,,110,65
Pathanamthitta,564,2014-03,15416,44,101.1,15948,15707,4,37,5,15660,,20,8
Thiruvananthapuram,565,2014-03,43666,380,100.4,44806,43968,187,156,141,40478,,411,7
Thrissur,566,2014-03,45556,78,100.7,43282,43138,334,353,308,42397,,73,11
Wayanad,567,2014-03,14191,105,99.8,14267,13483,198,176,162,13954,,176,26
Lakshadweep district,553,2014-03,669,7,100.3,704,677,1073,1062,1009,1246,,16,1
Agar malwa,667,2014-03,6260,107,109.7,6495,5576,7650,8098,7986,7152,,0,4
Alirajpur,639,2014-03,17922,222,99.8,18342,9314,16715,17141,16457,16628,,0,112
Anuppur,390,2014-03,10874,312,98.2,12173,7622,13967,13975,13698,13976,,0,32
Ashoknagar,391,2014-03,17324,409,98.3,17516,14414,19937,19347,18876,18459,,23,93
Balaghat,392,2014-03,30001,681,103,30617,22677,28512,29230,28788,27225,,252,375
Barwani,393,2014-03,39766,591,98.8,35263,24218,39817,39436,39190,38593,,0,135
Betul,394,2014-03,24465,410,99.7,25330,14448,24274,24559,24697,24309,,90,312
Bhind,395,2014-03,31080,289,105,27250,25612,33975,32346,31223,31622,,46,131
Bhopal,396,2014-03,43787,962,97.7,43141,40354,43929,41626,42614,40393,,223,125
Burhanpur,397,2014-03,15669,296,93.5,17809,12457,17908,16952,16465,16825,,238,2
Chhatarpur,398,2014-03,37683,618,98.8,36084,27123,40543,39369,38291,37229,,41,571
Chhindwara,399,2014-03,33780,457,100.7,36523,26750,35364,35984,35697,34316,,0,92
Damoh,400,2014-03,24077,275,99.1,24506,17531,28110,27968,27315,28465,,19,130
Datia,401,2014-03,12211,207,101.9,11338,9398,12420,12112,11685,12151,,66,84
Dewas,402,2014-03,28378,449,98.7,31736,27484,31950,32569,32958,32171,,34,215
Dhar,403,2014-03,41997,727,98.4,46473,33925,51970,51915,52730,49780,,13,146
Dindori,404,2014-03,13893,288,98.4,15858,8394,14775,14878,14898,15466,,,208
Guna,406,2014-03,28883,576,100.3,29121,28007,32527,31471,30840,30801,,387,149
Gwalior,407,2014-03,32608,1122,100.1,41293,29582,40849,39916,39154,37998,,11,67
Hoshangabad,409,2014-03,23762,408,98.8,22170,15633,21772,21725,21882,22109,,8,111
Indore,410,2014-03,53220,229,99.6,51954,36358,57074,56636,56467,61782,,15,216
Jabalpur,411,2014-03,39064,529,99.3,37737,31458,38142,36847,36153,36615,,28,162
Jhabua,412,2014-03,30156,535,98.8,29975,22367,27982,27248,26788,26766,,182,260
Katni,413,2014-03,25030,523,97.5,24618,19535,24308,23627,23086,22396,,5,388
East nimar,405,2014-03,28180,560,111.7,25865,18882,27432,26760,26614,27151,,0,95
Khargone,414,2014-03,35944,667,97.4,35039,26453,39991,39258,39835,39167,,87,168
Mandla,415,2014-03,18211,371,101.5,17634,9906,17588,17675,17742,17733,,137,59
Mandsaur,416,2014-03,24174,588,98.2,23017,22423,24353,23734,23757,22966,,2,84
Morena,417,2014-03,41294,702,99,42630,39342,44547,42878,42371,40373,,8,171
Narsinghpur,418,2014-03,16624,235,102,17062,14961,20246,19944,19974,20257,,0,149
Neemuch,419,2014-03,12560,259,99.3,14060,12750,15789,16121,16487,15940,,6,2
Panna,420,2014-03,19039,313,98.7,19424,15766,25118,24856,24025,24713,,160,217
Raisen,421,2014-03,21970,486,107.7,24703,20771,27515,27154,27549,25067,,21,157
Rajgarh,422,2014-03,26969,544,99.5,26456,24102,32116,31670,31649,31545,,329,361
Ratlam,423,2014-03,28013,427,99,28738,27396,31235,31700,30962,31463,,7,380
Rewa,424,2014-03,43628,573,104.4,45482,39849,56933,55646,53410,54190,,12,32
Sagar,425,2014-03,41243,817,113.4,44197,31280,46392,45613,45240,45337,,3,94
Satna,426,2014-03,38801,757,98.3,44947,36516,48657,47625,46571,45913,,31,410
Sehore,427,2014-03,27199,391,116.1,26845,20742,32728,32976,33910,32658,,5,59
Seoni,428,2014-03,22159,458,94.8,21270,19099,23532,23411,23072,22480,,10,343
Shahdol,429,2014-03,21677,658,97.6,21587,16979,21288,20706,20410,20480,,8,173
Shajapur,430,2014-03,18966,285,113.3,19544,18156,23421,23647,23435,21732,,12,63
Sheopur,431,2014-03,15433,251,98.7,14102,10234,16032,15610,14949,13874,,68,229
Shivpuri,432,2014-03,37164,670,98.3,36858,32750,44392,43445,42482,43856,,53,297
Sidhi,433,2014-03,28581,421,100.3,30945,19870,29728,29060,28074,27131,,0,81
Singrauli,638,2014-03,30983,403,99.5,29921,15642,27941,27374,26034,30067,,226,8
Tikamgarh,434,2014-03,23755,343,113.1,23482,19110,30206,29778,28985,29684,,90,129
Ujjain,435,2014-03,31328,617,98.5,37845,34999,42026,42124,42738,42081,,89,298
Umaria,436,2014-03,12039,237,98.4,13196,10925,14028,13826,13758,13586,,30,95
Vidisha,437,2014-03,28534,344,98.8,29919,27305,32422,31896,31592,33284,,168,112
Ahmednagar,466,2014-03,86098,1031,108.1,87496,57621,86388,83257,83788,83012,,10281,540
Akola,467,2014-03,42834,758,101,44823,38477,30050,29246,29171,28046,,67,677
Amravati,468,2014-03,47351,839,98,51652,46591,47126,45198,44472,44411,,179,782
Bhandara,471,2014-03,19191,453,98.5,19153,14309,18797,18452,18555,18098,,1318,330
Beed,470,2014-03,44540,347,98.9,52449,45044,54357,54167,53378,50014,,0,45
Mumbai,482,2014-03,170841,2608,100,189833,161306,201088,194603,209247,192563,,7,440
Buldhana,472,2014-03,47851,775,102.4,49074,39400,54671,53530,54065,54573,,0,432
Chandrapur,473,2014-03,32188,637,101.1,32522,23470,35102,34854,34933,34888,,537,408
Dhule,474,2014-03,45790,532,99.3,44373,28495,45517,42601,40540,38474,,0,74
Gadchiroli,475,2014-03,18757,583,106.7,18466,12525,17728,17852,18221,17828,,868,66
Gondia,476,2014-03,19528,406,99.5,20190,18308,22367,20949,21148,20797,,548,362
Hingoli,477,2014-03,16233,246,98.7,23370,15411,21328,20584,20025,19825,,42,126
Jalgaon,478,2014-03,66960,1092,93.5,58861,45620,76317,74964,74970,75572,,0,727
Jalna,479,2014-03,35029,471,100.1,44953,35493,45491,43508,43015,42434,,199,143
Kolhapur,480,2014-03,59847,612,97.8,64002,59522,64734,64096,65952,65428,,0,325
Latur,481,2014-03,48248,506,98.1,49021,45705,50885,48161,46692,44837,,119,37
Nagpur,484,2014-03,57437,937,99.8,76022,51324,76928,75223,74038,72837,,490,329
Nanded,485,2014-03,64821,1136,92.7,67936,63422,67354,63498,61818,58249,,13,155
