"Código","Unidade Territorial","Referência","Nº total de famílias beneficiárias do Programa Fomento Rural (Acumulado)"
"26","PERNAMBUCO","01/2012","2"
"29","BAHIA","01/2012","241"
"31","MINAS GERAIS","01/2012","239"
"23","CEARÁ","02/2012","1"
