observationAbout,observationDate,value,variableMeasured,observationPeriod,unit
country/BRA,2012-01,685,dcid:CumulativeCount_Household_BrazilRuralDevelopmentProgram,,
country/BRA,2012-02,1819,dcid:CumulativeCount_Household_BrazilRuralDevelopmentProgram,,
country/BRA,2012-03,2812,dcid:CumulativeCount_Household_BrazilRuralDevelopmentProgram,,
country/BRA,2012-04,4581,dcid:CumulativeCount_Household_BrazilRuralDevelopmentProgram,,
