"Código","Unidade Territorial","UF","Referência","Nº total de famílias GPTEs beneficiárias do Programa Fomento Rural","Nº de famílias indígenas beneficiárias do Programa Fomento Rural","Nº de famílias quilombolas beneficiárias do Programa Fomento Rural","Nº de famílias de agricultores familiares beneficiárias do Programa Fomento Rural","Nº de famílias extrativistas beneficiárias do Programa Fomento Rural","Nº de famílias de pescadores artesanais beneficiárias do Programa Fomento Rural","Nº de famílias ribeirinhas beneficiárias do Programa Fomento Rural","Nº de famílias assentadas da Reforma Agrária beneficiárias do Programa Fomento Rural","Nº de famílias acampadas rurais beneficiárias do Programa Fomento Rural","Nº de famílias atendidas pelo Programa Nacional de Crédito Fundiário beneficiárias do Programa Fomento Rural","Nº de famílias atingidas por empreendimentos de infraestrutura beneficiárias do Programa Fomento Rural","Nº de famílias de presos do sistema carcerário beneficiárias do Programa Fomento Rural","Nº de famílias de catadores de material reciclável beneficiárias do Programa Fomento Rural","Nº de famílias ciganas beneficiárias do Programa Fomento Rural","Nº de famílias pertencentes a comunidades de terreiro beneficiárias do Programa Fomento Rural"
"120001","ACRELÂNDIA","AC","08/2014","","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"120001","ACRELÂNDIA","AC","06/2014","","0","0","5","0","0","0","0","0","0","0","0","0","0","0"
"120005","ASSIS BRASIL","AC","03/2014","","0","0","5","0","0","0","0","0","0","0","0","0","0","0"
"120005","ASSIS BRASIL","AC","06/2014","","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
