observationAbout,observationDate,value,variableMeasured,observationPeriod,unit
country/BRA,2012,24860200,dcid:Annual_Amount_Household_BrazilRuralDevelopmentProgram_FinancialBenefit,P1Y,BRL
country/BRA,2013,60183000,dcid:Annual_Amount_Household_BrazilRuralDevelopmentProgram_FinancialBenefit,P1Y,BRL
country/BRA,2014,209954600,dcid:Annual_Amount_Household_BrazilRuralDevelopmentProgram_FinancialBenefit,P1Y,BRL
country/BRA,2015,151503300,dcid:Annual_Amount_Household_BrazilRuralDevelopmentProgram_FinancialBenefit,P1Y,BRL
