observationAbout,observationDate,value,variableMeasured,observationPeriod,unit
dcid:wikidataId/Q40942,2012-01,2,dcid:CumulativeCount_Household_BrazilRuralDevelopmentProgram,,
dcid:wikidataId/Q40430,2012-01,241,dcid:CumulativeCount_Household_BrazilRuralDevelopmentProgram,,
dcid:wikidataId/Q39109,2012-01,239,dcid:CumulativeCount_Household_BrazilRuralDevelopmentProgram,,
dcid:wikidataId/Q40123,2012-02,1,dcid:CumulativeCount_Household_BrazilRuralDevelopmentProgram,,
