observationAbout,observationDate,value,variableMeasured,observationPeriod,unit
dcid:wikidataId/Q953086,2014-08,1,dcid:Count_Person_BrazilRuralDevelopmentProgram,,
dcid:wikidataId/Q953086,2014-08,1,dcid:Count_Person_BrazilRuralDevelopmentProgram_Female,,
dcid:wikidataId/Q953086,2014-06,5,dcid:Count_Person_BrazilRuralDevelopmentProgram,,
dcid:wikidataId/Q953086,2014-06,1,dcid:Count_Person_BrazilRuralDevelopmentProgram_Female,,
dcid:wikidataId/Q953086,2014-06,1,dcid:Count_Person_BrazilRuralDevelopmentProgram_Male,,
dcid:wikidataId/Q953086,2014-06,3,dcid:Count_Person_BrazilRuralDevelopmentProgram_GenderUnknownOrNotStated,,
dcid:wikidataId/Q1754403,2014-03,5,dcid:Count_Person_BrazilRuralDevelopmentProgram,,
dcid:wikidataId/Q1754403,2014-03,3,dcid:Count_Person_BrazilRuralDevelopmentProgram_Female,,
dcid:wikidataId/Q1754403,2014-03,2,dcid:Count_Person_BrazilRuralDevelopmentProgram_Male,,
dcid:wikidataId/Q1754403,2014-02,12,dcid:Count_Person_BrazilRuralDevelopmentProgram,,
dcid:wikidataId/Q1754403,2014-02,5,dcid:Count_Person_BrazilRuralDevelopmentProgram_Female,,
dcid:wikidataId/Q1754403,2014-02,5,dcid:Count_Person_BrazilRuralDevelopmentProgram_Male,,
dcid:wikidataId/Q1754403,2014-02,2,dcid:Count_Person_BrazilRuralDevelopmentProgram_GenderUnknownOrNotStated,,
