observationAbout,observationDate,value,variableMeasured,observationPeriod,unit
dcid:wikidataId/Q40942,2012-01,2,dcid:Count_Person_BrazilRuralDevelopmentProgram_AgrarianReformFamily,,
dcid:wikidataId/Q40430,2012-01,43,dcid:Count_Person_BrazilRuralDevelopmentProgram_QuilombolaFamily,,
dcid:wikidataId/Q40430,2012-01,190,dcid:Count_Person_BrazilRuralDevelopmentProgram_FarmingFamily,,
dcid:wikidataId/Q40430,2012-01,8,dcid:Count_Person_BrazilRuralDevelopmentProgram_FishingFamily,,
dcid:wikidataId/Q39109,2012-01,23,dcid:Count_Person_BrazilRuralDevelopmentProgram_QuilombolaFamily,,
dcid:wikidataId/Q39109,2012-01,213,dcid:Count_Person_BrazilRuralDevelopmentProgram_FarmingFamily,,
dcid:wikidataId/Q39109,2012-01,3,dcid:Count_Person_BrazilRuralDevelopmentProgram_AgrarianReformFamily,,
dcid:wikidataId/Q40123,2012-02,1,dcid:Count_Person_BrazilRuralDevelopmentProgram_FarmingFamily,,
