observationAbout,observationDate,value,variableMeasured,observationPeriod,unit
country/BRA,2023-01,761600,dcid:Monthly_Amount_Household_BrazilRuralDevelopmentProgram_FinancialBenefit,P1M,BRL
country/BRA,2023-02,129000,dcid:Monthly_Amount_Household_BrazilRuralDevelopmentProgram_FinancialBenefit,P1M,BRL
country/BRA,2023-03,69000,dcid:Monthly_Amount_Household_BrazilRuralDevelopmentProgram_FinancialBenefit,P1M,BRL
country/BRA,2023-04,240600,dcid:Monthly_Amount_Household_BrazilRuralDevelopmentProgram_FinancialBenefit,P1M,BRL
country/BRA,2023-05,234000,dcid:Monthly_Amount_Household_BrazilRuralDevelopmentProgram_FinancialBenefit,P1M,BRL
