COU,Measure,Land cover class,Year,Value
AUS,Square kilometers (000's),Tree cover,1992,911.8906866
AUS,Square kilometers (000's),Tree cover,2004,890.5596071
AUS,Square kilometers (000's),Tree cover,2015,896.5240771
AUS,Square kilometers (000's),Tree cover,2018,904.7065978
AUS,Square kilometers (000's),Tree cover,2019,916.9778286
AUS,Square kilometers (000's),Grassland,1992,1205.405426
AUS,Square kilometers (000's),Grassland,2004,1221.284738
AUS,Square kilometers (000's),Grassland,2015,1223.584942
AUS,Square kilometers (000's),Grassland,2018,1297.844432
AUS,Square kilometers (000's),Grassland,2019,1309.643458
AUS,Square kilometers (000's),Sparse vegetation,1992,2795.746536
AUS,Square kilometers (000's),Sparse vegetation,2004,2809.424799
AUS,Square kilometers (000's),Sparse vegetation,2015,2831.480416
AUS,Square kilometers (000's),Sparse vegetation,2018,2756.868897
AUS,Square kilometers (000's),Sparse vegetation,2019,2741.921167
AUS,Square kilometers (000's),Cropland,1992,597.9565095
AUS,Square kilometers (000's),Cropland,2004,630.1993943
AUS,Square kilometers (000's),Cropland,2015,630.7411551
AUS,Square kilometers (000's),Cropland,2018,631.3132113
AUS,Square kilometers (000's),Cropland,2019,631.3353918
AUS,Percent of total country area,Artificial surfaces,1992,0.1000152376
AUS,Percent of total country area,Artificial surfaces,2004,0.1364822549
AUS,Percent of total country area,Artificial surfaces,2015,0.1549295098
AUS,Percent of total country area,Artificial surfaces,2018,0.1593185669
AUS,Percent of total country area,Artificial surfaces,2019,0.1617053169
AUS,Percent of total country area,Inland water,1992,0.1713053781
AUS,Percent of total country area,Inland water,2004,0.1658160533
AUS,Percent of total country area,Inland water,2015,0.1640750473
AUS,Percent of total country area,Inland water,2018,0.1643723899
AUS,Percent of total country area,Inland water,2019,0.1636926066
AUT,Square kilometers (000's),Tree cover,1992,47.32841246
AUT,Square kilometers (000's),Tree cover,2004,45.84394139
AUT,Square kilometers (000's),Tree cover,2015,45.13493798
AUT,Square kilometers (000's),Tree cover,2018,45.04072878
AUT,Square kilometers (000's),Tree cover,2019,44.99598134
AUT,Square kilometers (000's),Grassland,1992,11.3418907
AUT,Square kilometers (000's),Grassland,2004,12.26976241
AUT,Square kilometers (000's),Grassland,2015,12.75750173
AUT,Square kilometers (000's),Grassland,2018,12.85742994
AUT,Square kilometers (000's),Grassland,2019,12.91585665
AUT,Square kilometers (000's),Shrubland,1992,0
AUT,Square kilometers (000's),Shrubland,2004,0
AUT,Square kilometers (000's),Shrubland,2015,0
AUT,Square kilometers (000's),Shrubland,2018,0
AUT,Square kilometers (000's),Shrubland,2019,0
BEL,Square kilometers (000's),Tree cover,1992,7.385027188
BEL,Square kilometers (000's),Tree cover,2004,6.86320562
BEL,Square kilometers (000's),Tree cover,2015,6.822399668
BEL,Square kilometers (000's),Tree cover,2018,6.878507852
BEL,Square kilometers (000's),Tree cover,2019,6.920163928
BEL,Square kilometers (000's),Shrubland,1992,0
BEL,Square kilometers (000's),Shrubland,2004,0
BEL,Square kilometers (000's),Shrubland,2015,0
BEL,Square kilometers (000's),Shrubland,2018,0
BEL,Square kilometers (000's),Shrubland,2019,0
BEL,Percent of total country area,Bare area,1992,0.0133744493
BEL,Percent of total country area,Bare area,2004,0.0131221012
BEL,Percent of total country area,Bare area,2015,0.017916715
BEL,Percent of total country area,Bare area,2018,0.0166549745
BEL,Percent of total country area,Bare area,2019,0.0166549745
CAN,Square kilometers (000's),Tree cover,1992,4592.490334
CAN,Square kilometers (000's),Tree cover,2004,4658.165581
CAN,Square kilometers (000's),Tree cover,2015,4651.141393
CAN,Square kilometers (000's),Tree cover,2018,4637.862456
CAN,Square kilometers (000's),Tree cover,2019,4626.398302
CAN,Square kilometers (000's),Grassland,1992,252.9351525
CAN,Square kilometers (000's),Grassland,2004,247.3971356
CAN,Square kilometers (000's),Grassland,2015,242.3408299
CAN,Square kilometers (000's),Grassland,2018,243.2152984
CAN,Square kilometers (000's),Grassland,2019,244.3603381
CAN,Square kilometers (000's),Shrubland,1992,383.0709751
CAN,Square kilometers (000's),Shrubland,2004,379.8222649
CAN,Square kilometers (000's),Shrubland,2015,391.2953066
CAN,Square kilometers (000's),Shrubland,2018,398.8567731
CAN,Square kilometers (000's),Shrubland,2019,404.8397913
CAN,Square kilometers (000's),Artificial surfaces,1992,7.329846412
CAN,Square kilometers (000's),Artificial surfaces,2004,10.5845075
CAN,Square kilometers (000's),Artificial surfaces,2015,11.64113435
CAN,Square kilometers (000's),Artificial surfaces,2018,12.38012396
CAN,Square kilometers (000's),Artificial surfaces,2019,12.63191523
CAN,Percent of total country area,Tree cover,1992,46.62061759
CAN,Percent of total country area,Tree cover,2004,47.28731918
CAN,Percent of total country area,Tree cover,2015,47.2160132
CAN,Percent of total country area,Tree cover,2018,47.08121221
CAN,Percent of total country area,Tree cover,2019,46.96483397
CAN,Percent of total country area,Shrubland,1992,3.888740997
CAN,Percent of total country area,Shrubland,2004,3.855761749
CAN,Percent of total country area,Shrubland,2015,3.972230212
CAN,Percent of total country area,Shrubland,2018,4.04899036
CAN,Percent of total country area,Shrubland,2019,4.109726907
