Name,TypeOf,ChemicalName,Symbol,Type,AtomicNumber
Hydrogen,dcs:ChemicalElement,Hydrogen,H,dcs:Nonmetal,1.0
Helium,dcs:ChemicalElement,Helium,He,dcs:NobleGas,2.0
Lithium,dcs:ChemicalElement,Lithium,Li,dcs:AlkaliMetal,3.0
Beryllium,dcs:ChemicalElement,Beryllium,Be,dcs:AlkalineEarthMetal,4.0
Boron,dcs:ChemicalElement,Boron,B,dcs:Metalloid,5.0
Carbon,dcs:ChemicalElement,Carbon,C,dcs:Nonmetal,6.0
Nitrogen,dcs:ChemicalElement,Nitrogen,N,dcs:Nonmetal,7.0
Oxygen,dcs:ChemicalElement,Oxygen,O,dcs:Nonmetal,8.0
Fluorine,dcs:ChemicalElement,Fluorine,F,dcs:Halogen,9.0
Neon,dcs:ChemicalElement,Neon,Ne,dcs:NobleGas,10.0
Sodium,dcs:ChemicalElement,Sodium,Na,dcs:AlkaliMetal,11.0
Magnesium,dcs:ChemicalElement,Magnesium,Mg,dcs:AlkalineEarthMetal,12.0
Aluminum,dcs:ChemicalElement,Aluminum,Al,dcs:Metal,13.0
Silicon,dcs:ChemicalElement,Silicon,Si,dcs:Metalloid,14.0
Phosphorus,dcs:ChemicalElement,Phosphorus,P,dcs:Nonmetal,15.0
Sulfur,dcs:ChemicalElement,Sulfur,S,dcs:Nonmetal,16.0
Chlorine,dcs:ChemicalElement,Chlorine,Cl,dcs:Halogen,17.0
Argon,dcs:ChemicalElement,Argon,Ar,dcs:NobleGas,18.0
Potassium,dcs:ChemicalElement,Potassium,K,dcs:AlkaliMetal,19.0
Calcium,dcs:ChemicalElement,Calcium,Ca,dcs:AlkalineEarthMetal,20.0
Scandium,dcs:ChemicalElement,Scandium,Sc,dcs:TransitionMetal,21.0
Titanium,dcs:ChemicalElement,Titanium,Ti,dcs:TransitionMetal,22.0
Vanadium,dcs:ChemicalElement,Vanadium,V,dcs:TransitionMetal,23.0
Chromium,dcs:ChemicalElement,Chromium,Cr,dcs:TransitionMetal,24.0
Manganese,dcs:ChemicalElement,Manganese,Mn,dcs:TransitionMetal,25.0
Iron,dcs:ChemicalElement,Iron,Fe,dcs:TransitionMetal,26.0
Cobalt,dcs:ChemicalElement,Cobalt,Co,dcs:TransitionMetal,27.0
Nickel,dcs:ChemicalElement,Nickel,Ni,dcs:TransitionMetal,28.0
Copper,dcs:ChemicalElement,Copper,Cu,dcs:TransitionMetal,29.0
Zinc,dcs:ChemicalElement,Zinc,Zn,dcs:TransitionMetal,30.0
Gallium,dcs:ChemicalElement,Gallium,Ga,dcs:Metal,31.0
Germanium,dcs:ChemicalElement,Germanium,Ge,dcs:Metalloid,32.0
Arsenic,dcs:ChemicalElement,Arsenic,As,dcs:Metalloid,33.0
Selenium,dcs:ChemicalElement,Selenium,Se,dcs:Nonmetal,34.0
Bromine,dcs:ChemicalElement,Bromine,Br,dcs:Halogen,35.0
Krypton,dcs:ChemicalElement,Krypton,Kr,dcs:NobleGas,36.0
Rubidium,dcs:ChemicalElement,Rubidium,Rb,dcs:AlkaliMetal,37.0
