InChIKey|dcid|IUPACName|Name|CommonName|TypeOf|Symbol|InChI|Type|AtomicNumber|CID|SameAs|Input
WJFKNYWRSNBZNX-UHFFFAOYSA-N|inChIKey/WJFKNYWRSNBZNX-UHFFFAOYSA-N|10H-phenothiazine|"10H-phenothiazine|HPHENOTHIAZINE"|10H-PHENOTHIAZINE|dcs:ChemicalCompound|C12H9NS|InChI=1S/C12H9NS/c1-3-7-11-9(5-1)13-10-6-2-4-8-12(10)14-11/h1-8,13H|||7108||10H-PHENOTHIAZINE
QVLAWKAXOMEXPM-UHFFFAOYSA-N|inChIKey/QVLAWKAXOMEXPM-UHFFFAOYSA-N|1,1,1,2-tetrachloroethane|TETRACHLOROETHANE|1,1,1,2-TETRACHLOROETHANE|dcs:ChemicalCompound|C2H2Cl4|InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2|||12418||1,1,1,2-TETRACHLOROETHANE
UOCLXMDMGBRAIB-UHFFFAOYSA-N|inChIKey/UOCLXMDMGBRAIB-UHFFFAOYSA-N|1,1,1-trichloroethane|TRICHLOROETHANE|1,1,1-TRICHLOROETHANE|dcs:ChemicalCompound|C2H3Cl3|InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3|||6278||1,1,1-TRICHLOROETHANE
QXSZNDIIPUOQMB-UHFFFAOYSA-N|inChIKey/QXSZNDIIPUOQMB-UHFFFAOYSA-N|1,1,2,2-tetrabromoethane|TETRABROMOETHANE|1,1,2,2-TETRABROMOETHANE|dcs:ChemicalCompound|C2H2Br4|InChI=1S/C2H2Br4/c3-1(4)2(5)6/h1-2H|||6588|dcid:bio/CHEMBL1438332|1,1,2,2-TETRABROMOETHANE
UGCSPKPEHQEOSR-UHFFFAOYSA-N|inChIKey/UGCSPKPEHQEOSR-UHFFFAOYSA-N|1,1,2,2-tetrachloro-1,2-difluoroethane|"1,1,2,2-tetrachloro-1,2-difluoroethane|TETRACHLORODIFLUOROETHANE"|1,1,2,2-TETRACHLORO-1,2-DIFLUOROETHANE|dcs:ChemicalCompound|C2Cl4F2|InChI=1S/C2Cl4F2/c3-1(4,7)2(5,6)8|||6427|dcid:bio/CHEMBL3186694|1,1,2,2-TETRACHLORO-1,2-DIFLUOROETHANE
QPFMBZIOSGYJDE-UHFFFAOYSA-N|inChIKey/QPFMBZIOSGYJDE-UHFFFAOYSA-N|1,1,2,2-tetrachloroethane|TETRACHLOROETHANE|1,1,2,2-TETRACHLOROETHANE|dcs:ChemicalCompound|C2H2Cl4|InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H|||6591||1,1,2,2-TETRACHLOROETHANE
AJDIZQLSFPQPEY-UHFFFAOYSA-N|inChIKey/AJDIZQLSFPQPEY-UHFFFAOYSA-N|1,1,2-trichloro-1,2,2-trifluoroethane|"1,1,2-trichloro-1,2,2-trifluoroethane|TRICHLOROTRIFLUOROETHANE"|1,1,2-TRICHLORO-1,2,2-TRIFLUOROETHANE|dcs:ChemicalCompound|C2Cl3F3|InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8|||6428||1,1,2-TRICHLORO-1,2,2-TRIFLUOROETHANE
UBOXGVDOUJQMTN-UHFFFAOYSA-N|inChIKey/UBOXGVDOUJQMTN-UHFFFAOYSA-N|1,1,2-trichloroethane|TRICHLOROETHANE|1,1,2-TRICHLOROETHANE|dcs:ChemicalCompound|C2H3Cl3|InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2|||6574||1,1,2-TRICHLOROETHANE
ZUOUZKKEUPVFJK-UHFFFAOYSA-N|inChIKey/ZUOUZKKEUPVFJK-UHFFFAOYSA-N|1,1'-biphenyl|BIPHENYL|1,1'-BIPHENYL|dcs:ChemicalCompound|C12H10|InChI=1S/C12H10/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h1-10H|||7095||1,1'-BIPHENYL
SCYULBFZEHDVBN-UHFFFAOYSA-N|inChIKey/SCYULBFZEHDVBN-UHFFFAOYSA-N|1,1-dichloroethane|DICHLOROETHANE|1,1-DICHLOROETHANE|dcs:ChemicalCompound|C2H4Cl2|InChI=1S/C2H4Cl2/c1-2(3)4/h2H,1H3|||6365||1,1-DICHLOROETHANE
LGXVIGDEPROXKC-UHFFFAOYSA-N|inChIKey/LGXVIGDEPROXKC-UHFFFAOYSA-N|1,1-dichloroethene|DICHLOROETHENE|1,1-DICHLOROETHENE|dcs:ChemicalCompound|C2H2Cl2|InChI=1S/C2H2Cl2/c1-2(3)4/h1H2|||6366||1,1-DICHLOROETHENE
RHIROFAGUQOFLU-UHFFFAOYSA-N|inChIKey/RHIROFAGUQOFLU-UHFFFAOYSA-N|1,2,3,4,6,7,8,9-octachlorodibenzofuran|OCTACHLORODIBENZOFURAN|1,2,3,4,6,7,8,9-OCTACHLORODIBENZOFURAN|dcs:ChemicalCompound|C12Cl8O|InChI=1S/C12Cl8O/c13-3-1-2-4(14)6(16)8(18)10(20)12(2)21-11(1)9(19)7(17)5(3)15|||38200||1,2,3,4,6,7,8,9-OCTACHLORODIBENZOFURAN
GBDZXPJXOMHESU-UHFFFAOYSA-N|inChIKey/GBDZXPJXOMHESU-UHFFFAOYSA-N|1,2,3,4-tetrachlorobenzene|TETRACHLOROBENZENE|1,2,3,4-TETRACHLOROBENZENE|dcs:ChemicalCompound|C6H2Cl4|InChI=1S/C6H2Cl4/c7-3-1-2-4(8)6(10)5(3)9/h1-2H|||12463||1,2,3,4-TETRACHLOROBENZENE
SBMIVUVRFPGOEB-UHFFFAOYSA-N|inChIKey/SBMIVUVRFPGOEB-UHFFFAOYSA-N|1,2,3,7,8-pentachlorodibenzofuran|PENTACHLORODIBENZOFURAN|1,2,3,7,8-PENTACHLORODIBENZOFURAN|dcs:ChemicalCompound|C12H3Cl5O|InChI=1S/C12H3Cl5O/c13-5-1-4-8(2-6(5)14)18-9-3-7(15)11(16)12(17)10(4)9/h1-3H|||42138||1,2,3,7,8-PENTACHLORODIBENZOFURAN
RELMFMZEBKVZJC-UHFFFAOYSA-N|inChIKey/RELMFMZEBKVZJC-UHFFFAOYSA-N|1,2,3-trichlorobenzene|TRICHLOROBENZENE|1,2,3-TRICHLOROBENZENE|dcs:ChemicalCompound|C6H3Cl3|InChI=1S/C6H3Cl3/c7-4-2-1-3-5(8)6(4)9/h1-3H|||6895||1,2,3-TRICHLOROBENZENE
CFXQEHVMCRXUSD-UHFFFAOYSA-N|inChIKey/CFXQEHVMCRXUSD-UHFFFAOYSA-N|1,2,3-trichloropropane|TRICHLOROPROPANE|1,2,3-TRICHLOROPROPANE|dcs:ChemicalCompound|C3H5Cl3|InChI=1S/C3H5Cl3/c4-1-3(6)2-5/h3H,1-2H2|||7285||1,2,3-TRICHLOROPROPANE
FYGHSUNMUKGBRK-UHFFFAOYSA-N|inChIKey/FYGHSUNMUKGBRK-UHFFFAOYSA-N|1,2,3-trimethylbenzene|TRIMETHYLBENZENE|1,2,3-TRIMETHYLBENZENE|dcs:ChemicalCompound|C9H12|InChI=1S/C9H12/c1-7-5-4-6-8(2)9(7)3/h4-6H,1-3H3|||10686||1,2,3-TRIMETHYLBENZENE
JHBKHLUZVFWLAG-UHFFFAOYSA-N|inChIKey/JHBKHLUZVFWLAG-UHFFFAOYSA-N|1,2,4,5-tetrachlorobenzene|TETRACHLOROBENZENE|1,2,4,5-TETRACHLOROBENZENE|dcs:ChemicalCompound|C6H2Cl4|InChI=1S/C6H2Cl4/c7-3-1-4(8)6(10)2-5(3)9/h1-2H|||7270||1,2,4,5-TETRACHLOROBENZENE
PBKONEOXTCPAFI-UHFFFAOYSA-N|inChIKey/PBKONEOXTCPAFI-UHFFFAOYSA-N|1,2,4-trichlorobenzene|TRICHLOROBENZENE|1,2,4-TRICHLOROBENZENE|dcs:ChemicalCompound|C6H3Cl3|InChI=1S/C6H3Cl3/c7-4-1-2-5(8)6(9)3-4/h1-3H|||13|dcid:bio/CHEMBL296348|1,2,4-TRICHLOROBENZENE
GWHJZXXIDMPWGX-UHFFFAOYSA-N|inChIKey/GWHJZXXIDMPWGX-UHFFFAOYSA-N|1,2,4-trimethylbenzene|TRIMETHYLBENZENE|1,2,4-TRIMETHYLBENZENE|dcs:ChemicalCompound|C9H12|InChI=1S/C9H12/c1-7-4-5-8(2)9(3)6-7/h4-6H,1-3H3|||7247||1,2,4-TRIMETHYLBENZENE
WBEJYOJJBDISQU-UHFFFAOYSA-N|inChIKey/WBEJYOJJBDISQU-UHFFFAOYSA-N|1,2-dibromo-3-chloropropane|"1,2-dibromo-3-chloropropane|DIBROMOCHLOROPROPANE"|1,2-DIBROMO-3-CHLOROPROPANE|dcs:ChemicalCompound|C3H5Br2Cl|InChI=1S/C3H5Br2Cl/c4-1-3(5)2-6/h3H,1-2H2|||7280|dcid:bio/CHEMBL1331743|1,2-DIBROMO-3-CHLOROPROPANE
PAAZPARNPHGIKF-UHFFFAOYSA-N|inChIKey/PAAZPARNPHGIKF-UHFFFAOYSA-N|1,2-dibromoethane|DIBROMOETHANE|1,2-DIBROMOETHANE|dcs:ChemicalCompound|C2H4Br2|InChI=1S/C2H4Br2/c3-1-2-4/h1-2H2|||7839||1,2-DIBROMOETHANE
DDMOUSALMHHKOS-UHFFFAOYSA-N|inChIKey/DDMOUSALMHHKOS-UHFFFAOYSA-N|1,2-dichloro-1,1,2,2-tetrafluoroethane|"1,2-dichloro-1,1,2,2-tetrafluoroethane|DICHLOROTETRAFLUOROETHANE"|1,2-DICHLORO-1,1,2,2-TETRAFLUOROETHANE|dcs:ChemicalCompound|C2Cl2F4|InChI=1S/C2Cl2F4/c3-1(5,6)2(4,7)8|||6429||1,2-DICHLORO-1,1,2,2-TETRAFLUOROETHANE
