InChIKey|dcid|IUPACName|Name|CommonName|TypeOf|Symbol|InChI|Type|AtomicNumber|CID|SameAs|Input
YZCKVEUIGOORGS-UHFFFAOYSA-N|Hydrogen|Hydrogen|"Hydrogen|hydron"|"HYDROGEN|HYDRON"|dcs:ChemicalElement|H|InChI=1S/H|dcs:NonMetal|1|1038||1
SWQJXJOGLNCZEY-UHFFFAOYSA-N|Helium|Helium|Helium|HELIUM|dcs:ChemicalElement|He|InChI=1S/He|dcs:NobleGas|2|23987||2
WHXSMMKQMYFTQS-UHFFFAOYSA-N|Lithium|Lithium|Lithium|LITHIUM|dcs:ChemicalElement|Li|InChI=1S/Li|dcs:AlkaliMetal|3|3028194||3
ATBAMAFKBVZNFJ-UHFFFAOYSA-N|Beryllium|Beryllium|Beryllium|BERYLLIUM|dcs:ChemicalElement|Be|InChI=1S/Be|dcs:AlkalineEarthMetal|4|5460467||4
ZOXJGFHDIHLPTG-UHFFFAOYSA-N|Boron|Boron|Boron|BORON|dcs:ChemicalElement|B|InChI=1S/B|dcs:SemiMetal|5|5462311||5
OKTJSMMVPCPJKN-UHFFFAOYSA-N|Carbon|Carbon|Carbon|CARBON|dcs:ChemicalElement|C|InChI=1S/C|dcs:NonMetal|6|5462310||6
QJGQUHMNIGDVPM-UHFFFAOYSA-N|Nitrogen|Nitrogen|"Nitrogen|nitrogen(1-)"|"NITROGEN|NITROGEN(1-)"|dcs:ChemicalElement|N|InChI=1S/N|dcs:Pnictogen|7|59197653||7
QVGXLLKOCUKJST-UHFFFAOYSA-N|Oxygen|Oxygen|Oxygen|OXYGEN|dcs:ChemicalElement|O|InChI=1S/O|dcs:Chalcogen|8|159832||8
YCKRFDGAMUMZLT-UHFFFAOYSA-N|Fluorine|Fluorine|"Fluorine|fluoride"|"FLUORINE|FLUORIDE"|dcs:ChemicalElement|F|InChI=1S/F|dcs:Halogen|9|28179||9
GKAOGPIIYCISHV-UHFFFAOYSA-N|Neon|Neon|Neon|NEON|dcs:ChemicalElement|Ne|InChI=1S/Ne|dcs:NobleGas|10|23935||10
KEAYESYHFKHZAL-UHFFFAOYSA-N|Sodium|Sodium|Sodium|SODIUM|dcs:ChemicalElement|Na|InChI=1S/Na|dcs:AlkaliMetal|11|5360545||11
FYYHWMGAXLPEAU-UHFFFAOYSA-N|Magnesium|Magnesium|Magnesium|MAGNESIUM|dcs:ChemicalElement|Mg|InChI=1S/Mg|dcs:AlkalineEarthMetal|12|5462224||12
XAGFODPZIPBFFR-UHFFFAOYSA-N|Aluminum|Aluminum|"Aluminum|Aluminium"|"ALUMINUM|ALUMINIUM"|dcs:ChemicalElement|Al|InChI=1S/Al|dcs:Metal|13|5359268|dcid:bio/PA164760864|13
XUIMIQQOPSSXEZ-UHFFFAOYSA-N|Silicon|Silicon|Silicon|SILICON|dcs:ChemicalElement|Si|InChI=1S/Si|dcs:SemiMetal|14|5461123||14
OAICVXFJPJFONN-UHFFFAOYSA-N|Phosphorus|Phosphorus|Phosphorus|PHOSPHORUS|dcs:ChemicalElement|P|InChI=1S/P|dcs:Pnictogen|15|5462309||15
NINIDFKCEFEMDL-UHFFFAOYSA-N|Sulfur|Sulfur|Sulfur|SULFUR|dcs:ChemicalElement|S|InChI=1S/S|dcs:Chalcogen|16|5362487||16
ZAMOUSCENKQFHK-UHFFFAOYSA-N|Chlorine|Chlorine|"Chlorine|chloride"|"CHLORINE|CHLORIDE"|dcs:ChemicalElement|Cl|InChI=1S/Cl|dcs:Halogen|17|312||17
