key,prop,val,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,,
Referência,observationDate,{Data},populationType,FoodBasket,householdType,QuilombolaFamily,,,,,,,,
Unidade Territorial,observationAbout,{Data},,,,,,,,,,,,
Qtde de famílias quilombola,value,{Number},populationType,Household,foodBasketStatus,ReceivedFoodBasket,,,name,"""Number of quilombola families that received food baskets""",alternateName,"""Qtde de famílias quilombola receberam cestas de alimento@pt""",,
Qtde de cestas de alimentos destinadas a famílias quilombola,value,{Number},foodBasketStatus,DestinedFoodBasket,,,,,name,"""Number of food baskets destined for quilombola families""",alternateName,"""Qtde de cestas de alimentos destinadas a famílias quilombola@pt""",,
Qtde de cestas de alimentos entregues a famílias quilombola,value,{Number},foodBasketStatus,DeliveredFoodBasket,,,,,name,"""Number of food baskets delivered to quilombola families""",alternateName,"""Qtde de cestas de alimentos entregues a famílias quilombola@pt""",,
Quilos de alimentos entregues a famílias quilombolas,value,{Number},populationType,Food,unit,Kilogram,measuredProperty,amount,name,"""Kilos of food delivered to quilombola families""",alternateName,"""Quilos de alimentos entregues a famílias quilombolas@pt""",,
Percentual de Cestas Básicas entregues a famílias quilombolas,value,{Number},foodBasketStatus,DeliveredFoodBasket,,,measurementDenominator,"-foodBasketStatus,+foodBasketStatus=DestinedFoodBasket",name,"""Percentage of Basic Food Baskets delivered to quilombola families""",alternateName,"""Percentual de Cestas Básicas entregues a famílias quilombolas@pt""",unit,Percent
