,,,,,,,,,,,,,,
NCESID,observationAbout,nces/{Data},populationType,Student,measuredProperty,count,statType,measuredValue,,,,,,
observationDate,observationDate,{Number},,,,,,,,,,,,
JJ:Yes,educationalInstitutionType,JuvenileJusticeFacility,,,,,,,,,,,,
JJ:No,educationalInstitutionType,NotJuvenileJusticeFacility,,,,,,,,,,,,
M_AME_7_RET_G1,value,{Number},gender,Male,race,AmericanIndianOrAlaskaNative,schoolGradeLevel,SchoolGrade1,studentStatus,Retained,,,,
M_ASI_7_RET_G1,value,{Number},gender,Male,race,Asian,schoolGradeLevel,SchoolGrade1,studentStatus,Retained,,,,
M_HIS_7_RET_G1,value,{Number},gender,Male,race,HispanicOrLatino,schoolGradeLevel,SchoolGrade1,studentStatus,Retained,,,,
M_BLA_7_RET_G1,value,{Number},gender,Male,race,Black,schoolGradeLevel,SchoolGrade1,studentStatus,Retained,,,,
M_WHI_7_RET_G1,value,{Number},gender,Male,race,White,schoolGradeLevel,SchoolGrade1,studentStatus,Retained,,,,
M_HI_PAC_7_RET_G1,value,{Number},gender,Male,race,NativeHawaiianOrOtherPacificIslanderAlone,schoolGradeLevel,SchoolGrade1,studentStatus,Retained,,,,
M_2_OR_MORE_7_RET_G1,value,{Number},gender,Male,race,TwoOrMoreRaces,schoolGradeLevel,SchoolGrade1,studentStatus,Retained,,,,
M_DIS_IDEA_7_RET_G1,value,{Number},gender,Male,disabilityStatus,WithDisability,educationProgram,IDEA,schoolGradeLevel,SchoolGrade1,studentStatus,Retained,,
M_DIS_504_7_RET_G1,value,{Number},gender,Male,disabilityStatus,WithDisability,educationProgram,Section504Plan,schoolGradeLevel,SchoolGrade1,studentStatus,Retained,,
M_LEP_7_RET_G1,value,{Number},gender,Male,englishProficiency,LimitedEnglishProficiency,schoolGradeLevel,SchoolGrade1,studentStatus,Retained,,,,
F_AME_7_RET_G1,value,{Number},gender,Female,race,AmericanIndianOrAlaskaNative,schoolGradeLevel,SchoolGrade1,studentStatus,Retained,,,,
F_ASI_7_RET_G1,value,{Number},gender,Female,race,Asian,schoolGradeLevel,SchoolGrade1,studentStatus,Retained,,,,
F_HIS_7_RET_G1,value,{Number},gender,Female,race,HispanicOrLatino,schoolGradeLevel,SchoolGrade1,studentStatus,Retained,,,,
F_BLA_7_RET_G1,value,{Number},gender,Female,race,Black,schoolGradeLevel,SchoolGrade1,studentStatus,Retained,,,,
F_WHI_7_RET_G1,value,{Number},gender,Female,race,White,schoolGradeLevel,SchoolGrade1,studentStatus,Retained,,,,
F_HI_PAC_7_RET_G1,value,{Number},gender,Female,race,NativeHawaiianOrOtherPacificIslanderAlone,schoolGradeLevel,SchoolGrade1,studentStatus,Retained,,,,
F_2_OR_MORE_7_RET_G1,value,{Number},gender,Female,race,TwoOrMoreRaces,schoolGradeLevel,SchoolGrade1,studentStatus,Retained,,,,
F_DIS_IDEA_7_RET_G1,value,{Number},gender,Female,disabilityStatus,WithDisability,educationProgram,IDEA,schoolGradeLevel,SchoolGrade1,studentStatus,Retained,,
F_DIS_504_7_RET_G1,value,{Number},gender,Female,disabilityStatus,WithDisability,educationProgram,Section504Plan,schoolGradeLevel,SchoolGrade1,studentStatus,Retained,,
F_LEP_7_RET_G1,value,{Number},gender,Female,englishProficiency,LimitedEnglishProficiency,schoolGradeLevel,SchoolGrade1,studentStatus,Retained,,,,
,,,,,,,,,,,,,,
M_AME_7_RET_G2,value,{Number},gender,Male,race,AmericanIndianOrAlaskaNative,schoolGradeLevel,SchoolGrade2,studentStatus,Retained,,,,
M_ASI_7_RET_G2,value,{Number},gender,Male,race,Asian,schoolGradeLevel,SchoolGrade2,studentStatus,Retained,,,,
M_HIS_7_RET_G2,value,{Number},gender,Male,race,HispanicOrLatino,schoolGradeLevel,SchoolGrade2,studentStatus,Retained,,,,
M_BLA_7_RET_G2,value,{Number},gender,Male,race,Black,schoolGradeLevel,SchoolGrade2,studentStatus,Retained,,,,
M_WHI_7_RET_G2,value,{Number},gender,Male,race,White,schoolGradeLevel,SchoolGrade2,studentStatus,Retained,,,,
M_HI_PAC_7_RET_G2,value,{Number},gender,Male,race,NativeHawaiianOrOtherPacificIslanderAlone,schoolGradeLevel,SchoolGrade2,studentStatus,Retained,,,,
M_2_OR_MORE_7_RET_G2,value,{Number},gender,Male,race,TwoOrMoreRaces,schoolGradeLevel,SchoolGrade2,studentStatus,Retained,,,,
M_DIS_IDEA_7_RET_G2,value,{Number},gender,Male,disabilityStatus,WithDisability,educationProgram,IDEA,schoolGradeLevel,SchoolGrade2,studentStatus,Retained,,
M_DIS_504_7_RET_G2,value,{Number},gender,Male,disabilityStatus,WithDisability,educationProgram,Section504Plan,schoolGradeLevel,SchoolGrade2,studentStatus,Retained,,
M_LEP_7_RET_G2,value,{Number},gender,Male,englishProficiency,LimitedEnglishProficiency,schoolGradeLevel,SchoolGrade2,studentStatus,Retained,,,,
F_AME_7_RET_G2,value,{Number},gender,Female,race,AmericanIndianOrAlaskaNative,schoolGradeLevel,SchoolGrade2,studentStatus,Retained,,,,
F_ASI_7_RET_G2,value,{Number},gender,Female,race,Asian,schoolGradeLevel,SchoolGrade2,studentStatus,Retained,,,,
F_HIS_7_RET_G2,value,{Number},gender,Female,race,HispanicOrLatino,schoolGradeLevel,SchoolGrade2,studentStatus,Retained,,,,
F_BLA_7_RET_G2,value,{Number},gender,Female,race,Black,schoolGradeLevel,SchoolGrade2,studentStatus,Retained,,,,
F_WHI_7_RET_G2,value,{Number},gender,Female,race,White,schoolGradeLevel,SchoolGrade2,studentStatus,Retained,,,,
F_HI_PAC_7_RET_G2,value,{Number},gender,Female,race,NativeHawaiianOrOtherPacificIslanderAlone,schoolGradeLevel,SchoolGrade2,studentStatus,Retained,,,,
F_2_OR_MORE_7_RET_G2,value,{Number},gender,Female,race,TwoOrMoreRaces,schoolGradeLevel,SchoolGrade2,studentStatus,Retained,,,,
F_DIS_IDEA_7_RET_G2,value,{Number},gender,Female,disabilityStatus,WithDisability,educationProgram,IDEA,schoolGradeLevel,SchoolGrade2,studentStatus,Retained,,
F_DIS_504_7_RET_G2,value,{Number},gender,Female,disabilityStatus,WithDisability,educationProgram,Section504Plan,schoolGradeLevel,SchoolGrade2,studentStatus,Retained,,
F_LEP_7_RET_G2,value,{Number},gender,Female,englishProficiency,LimitedEnglishProficiency,schoolGradeLevel,SchoolGrade2,studentStatus,Retained,,,,
,,,,,,,,,,,,,,
M_AME_7_RET_G3,value,{Number},gender,Male,race,AmericanIndianOrAlaskaNative,schoolGradeLevel,SchoolGrade3,studentStatus,Retained,,,,
M_ASI_7_RET_G3,value,{Number},gender,Male,race,Asian,schoolGradeLevel,SchoolGrade3,studentStatus,Retained,,,,
M_HIS_7_RET_G3,value,{Number},gender,Male,race,HispanicOrLatino,schoolGradeLevel,SchoolGrade3,studentStatus,Retained,,,,
M_BLA_7_RET_G3,value,{Number},gender,Male,race,Black,schoolGradeLevel,SchoolGrade3,studentStatus,Retained,,,,
M_WHI_7_RET_G3,value,{Number},gender,Male,race,White,schoolGradeLevel,SchoolGrade3,studentStatus,Retained,,,,
M_HI_PAC_7_RET_G3,value,{Number},gender,Male,race,NativeHawaiianOrOtherPacificIslanderAlone,schoolGradeLevel,SchoolGrade3,studentStatus,Retained,,,,
M_2_OR_MORE_7_RET_G3,value,{Number},gender,Male,race,TwoOrMoreRaces,schoolGradeLevel,SchoolGrade3,studentStatus,Retained,,,,
M_DIS_IDEA_7_RET_G3,value,{Number},gender,Male,disabilityStatus,WithDisability,educationProgram,IDEA,schoolGradeLevel,SchoolGrade3,studentStatus,Retained,,
M_DIS_504_7_RET_G3,value,{Number},gender,Male,disabilityStatus,WithDisability,educationProgram,Section504Plan,schoolGradeLevel,SchoolGrade3,studentStatus,Retained,,
M_LEP_7_RET_G3,value,{Number},gender,Male,englishProficiency,LimitedEnglishProficiency,schoolGradeLevel,SchoolGrade3,studentStatus,Retained,,,,
