fips,l80_1,l80_2,l80_3,l80_4,l80_5,l80_6,l80_7,l80_8,l150_1,l150_2,l150_3,l150_4,l150_5,l150_6,l150_7,l150_8,year
dcs:geoId/01067,26650.0,30500.0,34300.0,38100.0,41150.0,44200.0,47250.0,50300.0,49968.75,57187.5,64312.5,71437.5,77156.25,82875.0,88593.75,94312.5,2006
dcs:geoId/01069,27500.0,31450.0,35350.0,39300.0,42450.0,45600.0,48750.0,51900.0,51562.5,58968.75,66281.25,73687.5,79593.75,85500.0,91406.25,97312.5,2006
dcs:geoId/01071,25950.0,29700.0,33400.0,37100.0,40050.0,43050.0,46000.0,48950.0,48656.25,55687.5,62625.0,69562.5,75093.75,80718.75,86250.0,91781.25,2006
dcs:geoId/01073,32150.0,36700.0,41300.0,45900.0,49550.0,53250.0,56900.0,60600.0,60281.25,68812.5,77437.5,86062.5,92906.25,99843.75,106687.5,113625.0,2006
dcs:geoId/01075,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
dcs:geoId/01077,28000.0,32000.0,36000.0,40000.0,43200.0,46400.0,49600.0,52800.0,52500.0,60000.0,67500.0,75000.0,81000.0,87000.0,93000.0,99000.0,2006
dcs:geoId/01079,30050.0,34350.0,38650.0,42950.0,46400.0,49800.0,53250.0,56700.0,56343.75,64406.25,72468.75,80531.25,87000.0,93375.0,99843.75,106312.5,2006
dcs:geoId/01081,32250.0,36900.0,41500.0,46100.0,49800.0,53500.0,57150.0,60850.0,60468.75,69187.5,77812.5,86437.5,93375.0,100312.5,107156.25,114093.75,2006
dcs:geoId/01083,36300.0,41500.0,46650.0,51850.0,56000.0,60150.0,64300.0,68450.0,68062.5,77812.5,87468.75,97218.75,105000.0,112781.25,120562.5,128343.75,2006
dcs:geoId/01085,31300.0,35750.0,40250.0,44700.0,48300.0,51850.0,55450.0,59000.0,58687.5,67031.25,75468.75,83812.5,90562.5,97218.75,103968.75,110625.0,2006
dcs:geoId/01087,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
dcs:geoId/01089,36300.0,41500.0,46650.0,51850.0,56000.0,60150.0,64300.0,68450.0,68062.5,77812.5,87468.75,97218.75,105000.0,112781.25,120562.5,128343.75,2006
dcs:geoId/01091,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
dcs:geoId/01093,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
dcs:geoId/01095,26600.0,30400.0,34200.0,38000.0,41050.0,44100.0,47100.0,50150.0,49875.0,57000.0,64125.0,71250.0,76968.75,82687.5,88312.5,94031.25,2006
dcs:geoId/01097,27700.0,31700.0,35650.0,39600.0,42750.0,45950.0,49100.0,52250.0,51937.5,59437.5,66843.75,74250.0,80156.25,86156.25,92062.5,97968.75,2006
dcs:geoId/01099,26000.0,29700.0,33400.0,37100.0,40100.0,43050.0,46050.0,49000.0,48750.0,55687.5,62625.0,69562.5,75187.5,80718.75,86343.75,91875.0,2006
dcs:geoId/01101,31300.0,35750.0,40250.0,44700.0,48300.0,51850.0,55450.0,59000.0,58687.5,67031.25,75468.75,83812.5,90562.5,97218.75,103968.75,110625.0,2006
dcs:geoId/01103,30050.0,34350.0,38650.0,42950.0,46400.0,49800.0,53250.0,56700.0,56343.75,64406.25,72468.75,80531.25,87000.0,93375.0,99843.75,106312.5,2006
dcs:geoId/01105,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
dcs:geoId/01107,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
dcs:geoId/01109,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
dcs:geoId/01111,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
