name,dcid
new york,geoId/3651000
sf,geoId/0667000
london,wikidataId/Q84
berlin,nuts/DE3
delhi,wikidataId/Q1353
tokyo,wikidataId/Q7473516
madrid,wikidataId/Q2807
cairo,wikidataId/Q85
johannesburg,wikidataId/Q34647
rio de janiro,wikidataId/Q8678
sydney,wikidataId/Q3130
moscow,wikidataId/Q649
chicago,geoId/1714000
paris,nuts/FR101
beijing,wikidataId/Q956
