"Table (43) : Average wage earnings (Rs. 0.00) per day from casual labour work other than public works in CWS for each State/ UT
",,,,,,,,,
"Jan-Mar,2021",,,,,,,,,
State \ UT,rural,urban,rural+urban,,,,,,
,male,female,person,male,female,person,male,female,person
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
Andhra Pradesh,394.89,224.6,323.98,470.65,285.06,432.04,406.01,228.2,336
Arunachal Pradesh,342.63,0,342.63,367.82,331.14,366.65,351.21,331.14,350
Assam,347.94,277.52,342.71,381.12,309.53,374.86,349.81,279.65,344
Bihar,330.1,266.02,326.75,375.23,278.16,371.08,332.68,266.58,329
Chhattisgarh,237.4,158.41,209.76,275.78,183.52,262.52,243.75,159.87,216
Delhi,500,0,500,469.18,400,465.7,474.67,400,471
Goa,545.18,0,545.18,572.19,418.9,537.23,557.03,418.9,541
Gujarat,240.2,202.11,226.46,341.63,203.66,318.53,251.21,202.18,234
Haryana,425.14,306.62,407.94,437.09,386.08,428.52,427.11,321.72,411
Himachal Pradesh,418.04,377.32,417.3,458.86,373.28,449.64,420.18,376.26,419
Jharkhand,298.51,246.64,292.57,304.06,291.47,302.5,299.16,252.33,293
Karnataka,355.68,194.84,285.87,415.1,253.43,383.14,371,200.73,305
Kerala,732.61,338.72,684.96,786.34,466.81,752.16,752.09,381.14,709
Madhya Pradesh,241.64,204.56,228.4,288.85,216.59,278.51,247.33,205.04,233
Maharashtra,288.62,193.74,246.86,335.98,225.23,317.03,299.94,196.14,259
Manipur,397.94,353.91,392.28,433.84,376.68,429.99,403.74,355.87,398
Meghalaya,328.68,279.94,322,369.29,245.08,347.16,333.16,274.9,324
Mizoram,350,350,350,354.35,350,353.96,351.92,350,351
Nagaland,475.6,0,475.6,437.79,400,435.66,462.68,400,461
Odisha,301.16,217.61,284.8,306.75,201.08,279.87,301.65,215.64,284
Punjab,342.78,281.79,339.27,367.27,276.23,357.6,347.09,280.16,342
Rajasthan,352.24,268.73,335.01,370.59,256.2,357.38,354.84,267.77,337
Sikkim,491.13,0,491.13,593.34,500,584.86,537.28,500,535
Tamil Nadu,494.37,244.36,410.23,523.33,276.57,471.02,503.42,250.62,427
Telangana,473.8,304.96,384.37,478.22,355.51,448.07,474.95,309.64,395
Tripura,343.47,274.06,333.46,345.05,269.74,339.58,343.65,273.82,334
Uttarakhand,363.01,238.4,355.04,390.33,508.78,394.31,366.54,257.39,359
Uttar Pradesh,310.37,241.73,303.43,336.03,303.26,334.16,313.59,246.15,307
West Bengal,285.44,220.85,276.48,321.3,193.42,309.97,291.14,218.04,281
Andaman & N. Island,444.23,365.57,429.78,535.4,444.37,513.09,472.3,396.38,456
Chandigarh,381.94,0,381.94,407.53,400,406.95,405.89,400,405
Dadra & Nagar Haveli & Daman & Diu,284.45,0,284.45,590.1,0,590.1,383.95,0,383
Jammu & Kashmir,455.01,400,454.96,521.33,494.39,519.68,461.54,482.81,461
Ladakh,0,0,0,800,0,800,800,0,800
Lakshadweep,0,0,0,897.88,0,897.88,897.88,0,897
Puducherry,500.59,123.81,467.65,509.58,451.91,504.85,503.29,217.84,478
all India,339.11,224.48,309.95,415.94,272.79,394.22,351.57,228.94,322
"estimated  no. of days worked as casual
labour (00)*",3096864,1056451,4153316,599725,107257,706982,3696589,1163708,"4,860,"
"sample  no. of days worked as casual
labour*",21161,6672,27833,31368,4732,36100,52529,11404,"63,"
