State,isoCode,Date,Count_InPatient,Count_OutPatient,Count_OutPatient,Count_SurgicalProcedure_Major,Count_SurgicalProcedure_Minor,Count_InPatient_Deceased_AsFractionOf_Count_InPatient,Count_OutPatient_Ayush
Assam,IN-AS,2019-03,1549703,,33591800,78997,46114,0.5,2356463
Bihar,IN-BR,2019-03,4016739,,65139485,272443,1117317,0.5,11378638
Chandigarh,IN-CH,2019-03,238277,,7124024,78294,285122,4.9,227302
Chhattisgarh,IN-CT,2019-03,1482676,,20313266,36943,96409,0.7,1125463
Dadra & Nagar Haveli,IN-DN,2019-03,74725,,1817345,6908,9193,1.3,59590
Daman & Diu,IN-DD,2019-03,20696,,814012,2590,1888,1.5,73435
Delhi,IN-DL,2019-03,2135192,,72816974,405626,848273,2.5,3997978
Goa,IN-GA,2019-03,87546,,2037806,8290,26957,0.6,128323
Gujarat,IN-GJ,2019-03,4325679,,48971575,140823,427729,0.5,2749472
Haryana,IN-HR,2019-03,1159423,,31271416,66335,62198,0.6,2471589
Himachal Pradesh,IN-HP,2019-03,617204,,14008932,39948,134613,0.6,666
Jammu & Kashmir,IN-JK,2019-03,1187612,,25962931,130340,581030,0.1,1559036
Jharkhand,IN-JH,2019-03,757347,,14479898,61451,122315,0.8,564534
Karnataka,IN-KA,2019-03,6358847,,99775378,450654,678486,0.7,4606919
Kerala,IN-KL,2019-03,4670506,,166498177,322097,770699,0.7,169551
Lakshadweep,IN-LD,2019-03,7813,,440270,428,7959,1.8,81935
Madhya Pradesh,IN-MP,2019-03,4488492,,54479563,131783,399867,0.7,3002704
Maharashtra,IN-MH,2019-03,5539942,,93114366,348435,526346,0.9,5785920
Manipur,IN-MN,2019-03,89913,,1275430,13999,46594,0.8,104714
Meghalaya,IN-ML,2019-03,297475,,3924963,14244,25697,1.0,286421
Mizoram,IN-MZ,2019-03,85819,,1478186,13004,29093,2.0,42436
Nagaland,IN-NL,2019-03,104027,,1181352,10461,30391,1.4,30972
Odisha,IN-OR,2019-03,3398899,,56427427,118928,929041,0.7,6304713
Puducherry,IN-PY,2019-03,214555,,8471124,26801,124195,1.1,859229
Punjab,IN-PB,2019-03,943105,,21885814,96077,295056,0.5,3753887
Rajasthan,IN-RJ,2019-03,5642345,,122004774,245274,632988,0.6,4350064
Sikkim,IN-SK,2019-03,34243,,1022912,1023,17155,1.6,15897
Tamil Nadu,IN-TN,2019-03,8889820,,244339187,668660,2276588,0.3,31311545
Telangana,IN-TG,2019-03,1993671,,43148586,99122,339759,1.5,1981164
Tripura,IN-TR,2019-03,445590,,4462123,19424,66642,1.5,304100
Uttar Pradesh,IN-UP,2019-03,6810031,,124391629,248816,386889,0.5,17649244
Uttarakhand,IN-UT,2019-03,347618,,7248310,20820,27555,0.3,857295
West Bengal,IN-WB,2019-03,6723911,,133797270,361371,562796,1.9,3112701
All India,IN,2014-03,48889003,1049650171,,3605255,7120320,1.0,53230099
A & N Islands,IN-AN,2014-03,49817,1594806,,2741,2976,2.2,71753
Andhra Pradesh Old,IN-AP,2014-03,2337043,63730997,,237024,437087,1.9,2935433
Arunachal Pradesh,IN-AR,2014-03,61368,1325519,,4620,12633,1.4,76552
Assam,IN-AS,2014-03,1171388,29677957,,30765,28851,0.9,641321
Bihar,IN-BR,2014-03,4299557,76746413,,441642,1505656,0.6,14646665
Chandigarh,IN-CH,2014-03,187562,5037613,,60693,212637,4.5,194647
Chhattisgarh,IN-CT,2014-03,847527,11521567,,36862,86842,1.1,534175
Dadra & Nagar Haveli,IN-DN,2014-03,61139,913931,,3358,6028,1.3,22874
Daman & Diu,IN-DD,2014-03,13846,647424,,1424,1321,2.3,52501
Delhi,IN-DL,2014-03,1199016,40573505,,217167,269699,2.2,887051
Goa,IN-GA,2014-03,81705,932619,,7653,7174,1.0,25255
Gujarat,IN-GJ,2014-03,2040193,28287917,,105770,133265,0.4,552527
Haryana,IN-HR,2014-03,777751,20303855,,39882,34356,0.6,1706858
Himachal Pradesh,IN-HP,2014-03,450737,10878913,,28912,55037,0.9,27400
Jammu & Kashmir,IN-JK,2014-03,907262,20872861,,108743,395593,0.3,1499238
Jharkhand,IN-JH,2014-03,564841,11624460,,20555,53332,0.8,57595
Karnataka,IN-KA,2014-03,3577651,58000760,,342500,342668,1.0,1570685
Kerala,IN-KL,2014-03,3208645,83315846,,272311,329561,0.9,259
Lakshadweep,IN-LD,2014-03,6831,427280,,307,6545,3.1,66323
Madhya Pradesh,IN-MP,2014-03,3142757,30994397,,127124,210961,0.8,757670
Maharashtra,IN-MH,2014-03,4339183,67782596,,293345,256680,1.5,3231336
Manipur,IN-MN,2014-03,67913,1093393,,10457,18718,0.7,100061
Meghalaya,IN-ML,2014-03,219210,3294129,,13583,16784,1.5,258868
Mizoram,IN-MZ,2014-03,103885,1220318,,14849,29859,2.3,30171
Nagaland,IN-NL,2014-03,76222,901391,,8420,32226,1.4,27621
Odisha,IN-OR,2014-03,2414481,32151586,,110703,238986,1.0,5244324
Puducherry,IN-PY,2014-03,123152,5557041,,13020,47153,0.6,532975
Punjab,IN-PB,2014-03,824038,16331061,,110086,274519,0.6,1274516
Rajasthan,IN-RJ,2014-03,3343354,81417688,,107733,198255,0.7,2561102
Sikkim,IN-SK,2014-03,39972,946204,,2786,8658,2.1,25073
Tamil Nadu,IN-TN,2014-03,3586330,163984606,,251370,1210890,0.3,4024170
Tripura,IN-TR,2014-03,393095,3367203,,17108,23779,1.5,375938
Uttar Pradesh,IN-UP,2014-03,3903851,72405010,,308542,301947,0.8,6308790
Uttarakhand,IN-UT,2014-03,366491,7327061,,21821,28871,0.9,600619
West Bengal,IN-WB,2014-03,4101190,94462244,,231379,300773,1.7,2307753
All India,IN,2020-03,83449677,,1666777926,4851788,14030946,0.8,115474440
A & N Islands,IN-AN,2020-03,50171,,2348015,3577,1314,2.0,128862
Andhra Pradesh,IN-AP,2020-03,3612332,,76695602,160271,1283642,1.2,2570537
Arunachal Pradesh,IN-AR,2020-03,73511,,1533301,9330,13802,0.8,159473
Assam,IN-AS,2020-03,1654100,,34287489,63625,66969,0.7,2948644
Bihar,IN-BR,2020-03,3976101,,66300825,259008,1089483,0.4,10408473
Chandigarh,IN-CH,2020-03,234686,,6908048,74285,303592,4.3,227198
Chhattisgarh,IN-CT,2020-03,1616522,,24574718,34579,106077,0.9,1260420
Dadra & Nagar Haveli,IN-DN,2020-03,83063,,1881515,6653,10528,1.3,118264
Daman & Diu,IN-DD,2020-03,21431,,834038,2343,1511,1.2,102842
Delhi,IN-DL,2020-03,2074350,,74485274,379781,845985,1.7,3772344
Goa,IN-GA,2020-03,110370,,2386682,8184,24786,0.5,147126
Gujarat,IN-GJ,2020-03,4938986,,59814451,167873,518304,0.4,2865252
Haryana,IN-HR,2020-03,1154118,,33028470,61394,103523,0.2,2246757
Himachal Pradesh,IN-HP,2020-03,712295,,15474290,38018,126909,0.5,0
Jammu & Kashmir,IN-JK,2020-03,1245707,,27667213,127200,563417,0.1,1635097
Jharkhand,IN-JH,2020-03,762025,,15779651,85361,143816,0.9,529028
Karnataka,IN-KA,2020-03,8179786,,108868991,498233,666254,0.6,5259767
Kerala,IN-KL,2020-03,3570169,,137123326,335181,820184,0.8,217143
Lakshadweep,IN-LD,2020-03,7653,,450288,587,9327,1.5,92787
Madhya Pradesh,IN-MP,2020-03,5235720,,62179866,132969,457890,0.6,3731253
Maharashtra,IN-MH,2020-03,6003820,,104951740,324213,501377,0.8,5769766
Manipur,IN-MN,2020-03,139604,,1884603,19932,38749,0.7,112695
Meghalaya,IN-ML,2020-03,290077,,4072477,14425,27497,1.2,305781
Mizoram,IN-MZ,2020-03,90582,,1582275,14187,26345,2.1,42307
Nagaland,IN-NL,2020-03,103165,,1234928,11019,29203,1.5,31254
Odisha,IN-OR,2020-03,3855549,,66023054,151275,1295416,0.9,6629751
Puducherry,IN-PY,2020-03,179346,,7446398,17068,112896,0.9,793155
Punjab,IN-PB,2020-03,901948,,21727864,90233,265531,0.4,2324002
Rajasthan,IN-RJ,2020-03,6073472,,137586029,273528,860088,0.6,3962980
Sikkim,IN-SK,2020-03,27444,,908777,639,17284,1.0,17450
Tamil Nadu,IN-TN,2020-03,9782077,,242469193,720399,2327574,0.6,31018833
Telangana,IN-TG,2020-03,2225738,,49145935,90401,280818,0.9,1962839
Tripura,IN-TR,2020-03,434109,,4406298,27386,60015,1.5,298909
Uttar Pradesh,IN-UP,2020-03,6892511,,131357817,267809,430400,0.4,19991557
Uttarakhand,IN-UT,2020-03,354176,,7659969,21785,25142,0.3,873704
West Bengal,IN-WB,2020-03,6782963,,131698516,359037,575298,1.8,2918190
