key,prop,val,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6
Referência,observationDate,{Data},observationAbout,country/BRA,populationType,Household,benefitProgram,Brazil_BolsaFamilyProgram,measuredProperty,count,benefitsStatus,Benefited,observationPeriod,P1M
Quantidade de famílias quilombolas beneficiárias do Programa Bolsa Família,householdType,QuilombolasFamily,value,{Number},name,"""Number of quilombolas families benefiting from the Bolsa Família Program""",alternateName,"""Quantidade de famílias quilombolas beneficiárias do Programa Bolsa Família@pt""",,,,,,
Quantidade de famílias indígenas beneficiárias do Programa Bolsa Família,householdType,IndigenousFamily,value,{Number},name,"""Number of indigenous families benefiting from the Bolsa Família Program""",alternateName,"""Quantidade de famílias indígenas beneficiárias do Programa Bolsa Família@pt""",,,,,,
Quantidade de famílias com integrante resgatado do trabalho escravo beneficiárias do Programa Bolsa Família,householdType,SlaveLaborFamily,value,{Number},name,"""Number of families with a member rescued from slave labor who benefit from the Bolsa Família Program""",alternateName,"""Quantidade de famílias com integrante resgatado do trabalho escravo beneficiárias do Programa Bolsa Família@pt""",,,,,,
Quantidade de famílias ciganas beneficiárias do Programa Bolsa Família,householdType,GypsyFamily,value,{Number},name,"""Number of gypsy families benefiting from the Bolsa Família Program""",alternateName,"""Quantidade de famílias ciganas beneficiárias do Programa Bolsa Família@pt""",,,,,,
Quantidade de famílias extrativistas beneficiárias do Programa Bolsa Família,householdType,ExtractiveFamily,value,{Number},name,"""Number of extractive families benefiting from the Bolsa Família Program""",alternateName,"""Quantidade de famílias extrativistas beneficiárias do Programa Bolsa Família@pt""",,,,,,
Quantidade de famílias de pescadores artesanais beneficiárias do Programa Bolsa Família,householdType,ArtisanalFisherFamily,value,{Number},name,"""Number of artisanal fishing families benefiting from the Bolsa Família Program""",alternateName,"""Quantidade de famílias de pescadores artesanais beneficiárias do Programa Bolsa Família@pt""",,,,,,
Quantidade de famílias pertencentes a comunidades de terreiro beneficiárias do Programa Bolsa Família,householdType,TerreiroCommunityFamily,value,{Number},name,"""Number of families belonging to terreiro communities benefiting from the Bolsa Família Program""",alternateName,"""Quantidade de famílias pertencentes a comunidades de terreiro beneficiárias do Programa Bolsa Família@pt""",,,,,,
Quantidade de famílias ribeirinhas beneficiárias do Programa Bolsa Família,householdType,RiversideFamily,value,{Number},name,"""Number of riverside families benefiting from the Bolsa Família Program""",alternateName,"""Quantidade de famílias ribeirinhas beneficiárias do Programa Bolsa Família@pt""",,,,,,
Quantidade de famílias de agricultores familiares beneficiárias do Programa Bolsa Família,householdType,FarmingFamily,value,{Number},name,"""Number of family farming families benefiting from the Bolsa Família Program""",alternateName,"""Quantidade de famílias de agricultores familiares beneficiárias do Programa Bolsa Família@pt""",,,,,,
Quantidade de famílias assentadas da Reforma Agrária beneficiárias do Programa Bolsa Família,householdType,AgrarianReformFamily,value,{Number},name,"""Number of families settled under Agrarian Reform who benefit from the Bolsa Família Program""",alternateName,"""Quantidade de famílias assentadas da Reforma Agrária beneficiárias do Programa Bolsa Família@pt""",,,,,,
Quantidade de famílias do Programa Nacional de Crédito Fundiário beneficiárias do Programa Bolsa Família,householdType,NationalLandCreditFamily,value,{Number},name,"""Number of families from the National Land Credit Program benefiting from the Bolsa Família Program""",alternateName,"""Quantidade de famílias do Programa Nacional de Crédito Fundiário beneficiárias do Programa Bolsa Família@pt""",,,,,,
Quantidade de famílias acampadas beneficiárias do Programa Bolsa Família,householdType,CampingFamily,value,{Number},name,"""Number of camping families benefiting from the Bolsa Família Program""",alternateName,"""Quantidade de famílias acampadas beneficiárias do Programa Bolsa Família@pt""",,,,,,
Quantidade de famílias atingidas por empreendimento de infraestrutura beneficiárias do Programa Bolsa Família,householdType,InfrastructureProjectAffectedFamily,value,{Number},name,"""Number of families affected by infrastructure projects benefiting from the Bolsa Família Program""",alternateName,"""Quantidade de famílias atingidas por empreendimento de infraestrutura beneficiárias do Programa Bolsa Família@pt""",,,,,,
Quantidade de famílias de preso do sistema carcerário beneficiárias do Programa Bolsa Família,householdType,PrisonerFamily,value,{Number},name,"""Number of prisoner families benefiting from the Bolsa Família Program""",alternateName,"""Quantidade de famílias de preso do sistema carcerário beneficiárias do Programa Bolsa Família@pt""",,,,,,
Quantidade de famílias de catadores de material reciclável beneficiárias do Programa Bolsa Família,householdType,RecyclableMaterialCollectorsFamily,value,{Number},name,"""Number of families of recyclable material collectors benefiting from the Bolsa Família Program""",alternateName,"""Quantidade de famílias de catadores de material reciclável beneficiárias do Programa Bolsa Família@pt""",,,,,,
Quantidade de famílias em situação de rua beneficiárias do Programa Bolsa Família,householdType,HomelessFamily,value,{Number},name,"""Number of homeless families benefiting from the Bolsa Família Program""",alternateName,"""Quantidade de famílias em situação de rua beneficiárias do Programa Bolsa Família@pt""",,,,,,
Quantidade total de famílias de GPTE que recebem o programa Bolsa Família,householdType,GPTEFamily,value,{Number},name,"""Total number of GPTE families receiving the Bolsa Família program""",alternateName,"""Quantidade total de famílias de GPTE que recebem o programa Bolsa Família@pt""",,,,,,
