period,territory,wage_rural_male,wage_rural_female,wage_rural_person,wage_urban_male,wage_urban_female,wage_urban_person,wage_total_male,wage_total_female,wage_total_person
2019-01,IN-AP,14354.94,6123.09,12815.77,21696.97,15891.34,20155.45,18406.26,12563.47,17049.1
2019-01,IN-AR,29720.26,10533.33,28046.56,29710.48,23121.02,28707.95,29717.54,15812.24,28240.24
2019-01,IN-AS,16588.45,7607.06,13968.14,20517.45,18006.14,19957.18,17161.94,8714.17,14775.49
2019-01,IN-BR,14468.33,5747.66,13488.98,19400.63,18456.37,19234.7,15737.77,10433.23,15050.62
2019-01,IN-CT,10815.78,7186.6,10315.33,20356.83,12907.6,18421.71,15249.92,10938.22,14391.14
2019-01,IN-DL,13133.27,0.0,13133.27,21564.51,17164.6,20772.97,21417.7,17164.6,20663.53
2019-01,IN-GA,19290.35,16424.05,18871.03,22578.45,18165.9,21299.41,21453.13,17853.63,20565.87
2019-01,IN-GJ,10905.05,10742.81,10873.65,16708.47,13805.26,16248.86,14627.2,12530.04,14267.96
2019-01,IN-HR,17104.02,15340.67,16880.64,19821.11,15363.24,18885.66,18379.93,15354.63,17872.26
2019-01,IN-HP,21406.14,11947.46,18943.31,22889.68,15779.82,21525.65,21806.39,12711.84,19595.85
2019-01,IN-JK,23688.47,14134.02,22625.47,23432.52,20854.36,22918.27,23620.2,16956.39,22709.7
2019-01,IN-JH,12399.31,14554.17,12751.92,22463.91,12924.88,20853.37,17647.75,13689.3,16989.23
2019-01,IN-KA,11873.09,6330.25,10618.02,21572.02,16957.89,20416.68,18881.99,14283.17,17760.36
2019-01,IN-KL,15647.53,11976.0,13867.36,21883.68,18680.07,20611.42,19381.29,15400.67,17646.96
2019-01,IN-MP,16629.51,9130.05,15453.8,15944.75,10685.38,14838.22,16264.67,10094.98,15115.78
2019-01,IN-MH,12724.05,7773.1,11293.63,20614.0,14806.18,19153.26,18717.56,12859.99,17189.56
2019-01,IN-MN,20635.59,16789.82,19394.45,21242.51,17899.87,20281.52,20808.01,17069.02,19637.42
2019-01,IN-ML,15609.32,13035.69,14530.47,23711.02,18841.57,21702.65,18918.32,15368.11,17439.82
2019-01,IN-MZ,24369.91,24879.01,24496.36,23330.98,22372.31,23047.15,23576.23,22861.98,23372.41
2019-01,IN-NL,15586.46,18059.9,16078.36,24486.74,20063.08,23558.19,18800.5,18814.94,18803.43
2019-01,IN-OR,11851.57,7434.12,10957.82,21320.87,14453.08,19662.72,15417.22,10460.28,14339.01
2019-01,IN-PB,13635.45,6728.98,12046.07,16330.34,11780.24,15268.19,15145.16,9581.85,13854.56
2019-01,IN-RJ,13570.48,4999.31,12884.18,17993.48,13845.63,17448.82,15819.57,10682.52,15270.62
2019-01,IN-SK,20629.98,15864.25,19183.78,18253.34,16429.54,17694.49,19650.02,16099.25,18568.15
2019-01,IN-TN,10921.95,10295.5,10793.99,19049.08,13276.3,17276.44,16235.0,12576.48,15230.3
2019-01,IN-TG,13716.88,9525.74,12310.14,20780.78,14858.8,19491.69,18930.34,12768.78,17374.85
2019-01,IN-TR,16443.31,16515.14,16462.78,23548.67,19542.24,22540.35,18603.41,17372.39,18276.86
2019-01,IN-UT,10257.58,5039.54,9355.72,20638.19,16484.19,19966.82,13715.2,8649.62,12858.44
2019-01,IN-UP,11836.56,7498.66,11240.88,17070.88,18046.41,17201.76,15000.69,13806.61,14839.0
2019-01,IN-WB,9909.24,6351.32,9056.89,14768.67,7657.28,12767.57,12619.62,7148.66,11178.15
2019-01,IN-AN,21727.04,30117.69,24144.23,33667.66,25099.83,32164.09,27981.99,28278.42,28051.12
2019-01,IN-CH,13126.86,0.0,13126.86,22948.53,21906.43,22684.96,22445.43,21906.43,22314.39
2019-01,IN-DN,13023.69,7316.23,12373.39,11973.37,9061.52,11731.64,12321.16,8340.98,11949.04
2019-01,IN-DD,13387.34,6258.62,12379.57,11454.37,6674.49,10649.05,11630.48,6643.16,10802.17
2019-01,IN-LD,18254.88,19247.08,18400.48,37366.59,39605.25,37762.87,33837.62,36483.91,34291.69
2019-01,IN-PY,17941.75,8962.55,15249.0,18720.25,16464.33,18014.1,18408.72,13572.91,16920.13
2019-01,IN,13523.73,8803.89,12531.75,19149.22,14426.26,18057.04,16842.19,12285.27,15827.17
