period,territory,wage_rural_male,wage_rural_female,wage_rural_person,wage_urban_male,wage_urban_female,wage_urban_person,wage_total_male,wage_total_female,wage_total_person
2018-10,IN-AP,15915.68,13886.18,15399.19,21978.99,13891.7,19456.16,19093.6,13889.46,17606.5
2018-10,IN-AR,30468.09,13838.45,28937.72,30132.83,24044.12,29231.15,30387.13,17442.97,29012.06
2018-10,IN-AS,13484.87,5777.75,11463.67,20135.83,14966.56,19096.94,14916.74,7271.55,13006.47
2018-10,IN-BR,13471.16,8474.27,13070.26,18957.86,16870.94,18550.69,14763.9,12348.24,14497.81
2018-10,IN-CT,14508.45,6827.62,13564.27,19460.5,12100.08,17403.12,16615.14,10371.11,15384.07
2018-10,IN-DL,10754.28,6000.0,9451.98,20998.79,14837.74,19663.56,19866.32,13557.11,18456.31
2018-10,IN-GA,19124.44,18246.84,19011.39,20996.0,15240.89,19138.37,20161.69,15841.2,19089.52
2018-10,IN-GJ,11809.23,3145.17,10973.91,16259.59,13278.76,15823.49,14623.89,10586.41,14104.59
2018-10,IN-HR,17143.41,15806.85,16970.15,21128.19,17109.29,20408.37,18970.83,16528.07,18596.98
2018-10,IN-HP,18622.14,22772.23,19772.04,24655.55,18721.8,23606.66,19793.14,22290.72,20441.43
2018-10,IN-JK,19943.69,13067.52,18968.93,24004.97,22408.17,23665.75,21025.21,16543.59,20300.12
2018-10,IN-JH,11349.35,6177.5,10414.26,22053.44,12705.45,20474.59,17050.23,9519.76,15736.12
2018-10,IN-KA,11124.76,6959.67,10165.46,21402.08,17042.42,20301.52,17944.97,13917.21,16957.6
2018-10,IN-KL,16221.57,16741.3,16434.99,21356.72,18966.48,20353.65,18894.56,17920.15,18489.82
2018-10,IN-MP,12469.64,10289.59,12156.57,16138.67,11518.3,15084.98,14720.28,11194.58,14024.09
2018-10,IN-MH,12197.97,6841.37,10992.24,21317.46,15520.07,19861.94,18890.0,13444.58,17559.56
2018-10,IN-MN,21261.15,17328.7,20636.2,22837.0,18197.75,21482.87,21746.16,17756.6,20928.81
2018-10,IN-ML,16906.53,9641.8,13871.05,24354.5,18968.9,22039.25,19461.62,12946.16,16711.89
2018-10,IN-MZ,22761.16,11500.0,22229.44,24294.52,21821.57,23461.0,23838.96,21413.14,23181.11
2018-10,IN-NL,14571.06,8990.57,13859.65,23498.53,20133.96,22849.48,17838.04,14402.25,17313.68
2018-10,IN-OR,11733.94,6413.29,10504.58,22503.12,15909.22,21074.34,15904.59,9906.22,14551.65
2018-10,IN-PB,13732.85,8265.43,12433.94,17845.33,12975.83,16691.8,15973.64,10827.59,14752.99
2018-10,IN-RJ,18086.35,15016.71,17407.64,18011.61,14841.65,17550.86,18046.75,14946.14,17480.21
2018-10,IN-SK,23034.78,21161.2,22403.56,18590.27,15446.61,17588.03,21165.07,18870.77,20409.29
2018-10,IN-TN,12858.96,6927.32,11173.92,18143.52,13633.66,16799.41,16225.46,11303.48,14783.15
2018-10,IN-TG,14732.12,5419.16,13067.16,20501.61,14759.49,19326.21,19464.37,13298.71,18230.25
2018-10,IN-TR,18562.97,13068.65,17372.06,22948.14,19060.75,22021.49,19872.63,15016.4,18788.05
2018-10,IN-UT,14501.77,8915.16,13245.55,20336.46,18716.79,20096.51,17479.36,12684.3,16580.17
2018-10,IN-UP,12236.81,10969.46,12063.28,16931.72,17336.15,16995.28,14924.1,14862.11,14914.89
2018-10,IN-WB,9671.77,4119.72,8276.53,15005.5,8479.03,13237.51,12623.14,6640.68,11054.11
2018-10,IN-AN,31257.89,29873.95,30967.42,32510.01,28574.32,31702.97,31962.05,29152.49,31379.96
2018-10,IN-CH,9944.86,6500.0,9786.14,21600.62,19362.38,21011.76,20651.15,19209.89,20292.02
2018-10,IN-DN,9628.94,7549.83,8745.78,13670.94,8382.01,13072.72,12486.55,7794.59,11385.7
2018-10,IN-DD,12853.65,6000.0,12769.87,11405.8,7331.02,10902.45,11570.59,7316.18,11093.5
2018-10,IN-LD,10993.53,53500.0,15055.26,32856.86,21502.17,26671.83,22506.34,23855.68,23052.52
2018-10,IN-PY,15861.62,6294.87,12772.35,18767.7,15849.9,17912.22,17548.42,11513.17,15701.77
2018-10,IN,13631.8,9438.86,12748.85,19186.38,14598.49,18105.63,16874.3,12629.24,15917.63
