period,territory,wage_rural_male,wage_rural_female,wage_rural_person,wage_urban_male,wage_urban_female,wage_urban_person,wage_total_male,wage_total_female,wage_total_person
2019-04,IN-AP,13102.22,6585.66,11996.94,21082.76,15252.94,19464.36,17621.76,12745.66,16478.67
2019-04,IN-AR,28937.24,16359.71,26692.07,29732.83,23300.07,28533.2,29230.93,19008.79,27375.91
2019-04,IN-AS,11934.17,8781.28,11300.08,22002.89,19057.15,21374.55,13277.06,10242.38,12661.75
2019-04,IN-BR,14216.52,10968.18,13949.99,19339.02,19932.53,19429.77,15572.61,14741.9,15487.93
2019-04,IN-CT,12050.95,3263.09,10700.45,21415.24,12619.81,19012.9,16586.78,9441.58,15042.83
2019-04,IN-DL,21092.08,30000.0,21190.17,22403.01,18597.97,21645.23,22373.49,18609.72,21636.9
2019-04,IN-GA,16070.98,17810.7,16653.95,21610.52,17848.29,20516.57,19574.42,17832.62,19038.41
2019-04,IN-GJ,11504.91,13166.43,11827.64,17529.61,13870.51,16963.8,16463.53,13715.07,16018.5
2019-04,IN-HR,14903.75,9453.78,14257.79,21271.63,17779.94,20503.19,18344.86,15378.65,17821.42
2019-04,IN-HP,18309.5,14414.32,17508.17,23050.23,14653.36,21299.97,19402.79,14470.15,18384.93
2019-04,IN-JK,21034.63,21536.64,21111.63,23586.0,21548.71,23184.42,21838.14,21541.27,21788.37
2019-04,IN-JH,13164.59,5408.91,10565.99,22869.23,15557.06,21692.55,17222.36,7588.33,14603.11
2019-04,IN-KA,14494.07,9899.27,12996.11,22922.72,18044.91,21774.15,20596.94,14995.0,19124.77
2019-04,IN-KL,19742.44,11926.39,17159.03,22316.42,17427.36,20340.8,21091.19,15237.44,18918.28
2019-04,IN-MP,10529.85,7658.91,10056.77,18323.08,13646.66,17426.58,14684.28,11122.82,14045.51
2019-04,IN-MH,14390.75,6214.98,12642.63,20598.15,19867.14,20421.22,18769.55,16285.31,18188.4
2019-04,IN-MN,21332.16,15259.63,20162.19,21757.61,19262.77,20972.12,21457.94,17048.87,20430.2
2019-04,IN-ML,17984.72,12705.53,16025.48,22202.09,17933.14,20636.27,19351.63,14378.63,17512.97
2019-04,IN-MZ,22281.31,10852.39,20483.56,24803.01,21756.99,23901.3,23959.98,19769.25,22891.22
2019-04,IN-NL,18257.18,15575.21,17991.95,23030.34,20079.85,22500.26,20116.71,18098.6,19849.96
2019-04,IN-OR,11609.05,6665.35,10320.73,22919.0,16243.27,21565.64,16439.62,10015.24,14917.41
2019-04,IN-PB,14596.5,6169.55,12611.16,15895.14,11915.94,15031.63,15344.63,9329.85,13991.34
2019-04,IN-RJ,14483.58,11246.07,13806.92,18982.0,14921.18,18270.42,16798.32,12937.12,16057.05
2019-04,IN-SK,18970.16,14557.68,17574.81,19835.98,17604.9,19251.9,19301.7,15540.14,18186.92
2019-04,IN-TN,12071.42,8309.77,11076.69,19135.11,13133.28,17290.67,16188.79,11362.89,14789.02
2019-04,IN-TG,15917.12,8502.93,14115.68,20462.58,15167.53,19292.26,19045.88,12910.14,17646.94
2019-04,IN-TR,18775.26,9163.71,16385.15,24911.42,22551.67,24252.83,20618.98,13640.73,18818.04
2019-04,IN-UT,16458.2,7955.66,15651.3,21290.0,18603.98,20856.9,18351.01,13721.2,17785.7
2019-04,IN-UP,12902.62,10569.03,12556.63,16825.23,15772.44,16674.55,14951.2,13232.86,14701.03
2019-04,IN-WB,12737.81,4202.95,10168.5,14742.14,8590.89,13097.0,13999.09,6791.74,11979.09
2019-04,IN-AN,19678.28,31651.89,23665.17,32399.77,25721.66,31111.61,26252.07,29643.91,27158.56
2019-04,IN-CH,11688.23,6737.54,9164.26,24194.42,26319.46,24771.48,23859.25,24922.25,24157.86
2019-04,IN-DN,10107.43,6737.04,9926.38,12096.21,8535.53,11736.21,11126.81,7952.27,10877.25
2019-04,IN-DD,9541.29,5125.0,9010.59,13995.8,6407.29,13097.49,13866.92,6369.57,12979.01
2019-04,IN-LD,0.0,0.0,0.0,37366.59,39605.25,37762.87,37366.59,39605.25,37762.87
2019-04,IN-PY,20477.04,4700.94,15799.8,18713.91,18368.4,18596.46,19212.31,15035.59,17841.54
2019-04,IN,13794.46,8578.05,12666.55,19546.91,15661.36,18656.72,17160.97,12850.52,16196.24
