period,territory,wage_rural_male,wage_rural_female,wage_rural_person,wage_urban_male,wage_urban_female,wage_urban_person,wage_total_male,wage_total_female,wage_total_person
2018-01,IN-AP,13427.65,6425.63,12102.22,20001.53,12209.04,17296.67,18891.63,11735.36,16566.39
2018-01,IN-AR,29859.63,3853.33,27969.52,28165.49,23263.81,27430.77,28796.41,19212.49,27620.59
2018-01,IN-AS,13789.87,4729.45,11055.2,22207.41,16731.9,20848.71,18221.88,10240.44,16030.55
2018-01,IN-BR,13897.62,9316.38,13038.21,18297.65,16299.21,17986.65,16369.4,12847.75,15770.94
2018-01,IN-CT,11212.2,5018.95,9631.47,15804.99,12594.9,15142.16,14926.15,10794.85,14032.55
2018-01,IN-DL,9920.24,5061.1,9298.91,21191.4,24917.25,21724.62,21073.91,24735.33,21597.34
2018-01,IN-GA,20500.33,30957.57,22684.53,26806.84,23088.95,25517.18,25264.03,24180.08,24919.59
2018-01,IN-GJ,14080.07,17886.01,14494.89,15883.21,12149.49,15237.42,15626.38,12657.43,15138.24
2018-01,IN-HR,15743.16,9718.76,15333.93,20024.97,24864.78,20598.1,19049.77,22775.52,19449.94
2018-01,IN-HP,16975.91,5584.42,15001.69,19027.33,22318.66,19631.31,18008.82,14301.23,17347.12
2018-01,IN-JK,20566.12,11601.34,19387.3,21017.5,21555.23,21127.76,20850.6,19005.41,20519.68
2018-01,IN-JH,14029.93,4644.16,12723.64,24200.16,13072.06,21776.47,21863.21,11827.67,19845.75
2018-01,IN-KA,14935.86,10188.11,13655.98,20749.16,14038.75,18826.95,20121.71,13653.3,18280.36
2018-01,IN-KL,16940.08,12578.94,15470.45,18823.42,19265.57,19002.11,18424.22,18143.89,18314.59
2018-01,IN-MP,12141.51,4754.74,10659.51,16788.67,15340.85,16471.23,15827.2,13339.42,15291.15
2018-01,IN-MH,18402.79,14169.8,17871.56,19778.46,15882.72,18907.35,19651.99,15800.46,18821.93
2018-01,IN-MN,23719.37,10113.37,20708.09,22730.15,19366.75,21640.62,22981.65,17810.2,21427.64
2018-01,IN-ML,21300.9,9556.51,16352.15,25383.61,19981.11,23196.05,24220.09,16863.99,21206.29
2018-01,IN-MZ,18782.85,5212.41,14162.25,24703.85,24158.96,24513.28,24199.72,22605.26,23643.29
2018-01,IN-NL,18840.64,19040.17,18869.09,21023.81,16432.81,20242.95,20317.78,17161.49,19808.39
2018-01,IN-OR,13060.09,6083.13,11376.35,19630.46,13630.82,18415.58,17926.8,11329.84,16522.05
2018-01,IN-PB,16536.01,8358.74,15249.51,15751.28,16353.13,15875.13,15877.8,15380.54,15779.17
2018-01,IN-RJ,18131.3,14240.83,17732.19,16435.34,16264.13,16406.41,16823.16,15975.09,16691.98
2018-01,IN-SK,18054.86,12325.64,16269.01,14856.97,13554.24,14514.94,15511.35,13251.31,14893.97
2018-01,IN-TN,12379.37,8403.74,11370.6,16780.84,11699.14,15292.26,16186.15,11324.64,14786.63
2018-01,IN-TG,11663.52,6440.71,10965.94,20051.67,12214.99,18413.65,19205.99,11860.5,17722.1
2018-01,IN-TR,19731.3,9905.25,17493.02,19431.64,14915.91,18312.77,19515.16,13627.74,18088.6
2018-01,IN-UT,17583.34,5733.79,16127.35,18430.51,14594.7,17704.21,18247.77,13340.01,17384.61
2018-01,IN-UP,12474.01,5101.66,11832.11,16451.14,19238.11,16886.46,15763.74,17864.13,16068.31
2018-01,IN-WB,9941.89,5156.01,8652.56,15028.77,9361.87,13673.85,14268.02,8642.41,12896.57
2018-01,IN-AN,17159.73,32301.97,22414.01,34702.03,26324.67,32595.54,31690.55,27800.45,30641.04
2018-01,IN-CH,23699.32,41143.88,25897.15,19151.99,14349.69,18058.48,19178.53,14426.37,18098.92
2018-01,IN-DN,8402.28,7717.46,8298.51,14839.2,18076.83,15105.87,14043.59,15806.9,14204.97
2018-01,IN-DD,14058.83,5530.8,11990.94,13074.99,6421.38,12446.59,13105.2,6342.47,12429.97
2018-01,IN-LD,12892.29,13296.98,13132.23,33262.08,27790.87,32598.77,32850.54,25199.93,31769.24
2018-01,IN-PY,14756.18,7928.94,13796.89,16911.96,15764.37,16514.28,16742.54,15563.63,16348.8
2018-01,IN,14444.76,8548.97,13350.62,18276.66,14778.9,17482.96,17663.49,13976.27,16850.14
