period,territory,wage_rural_male,wage_rural_female,wage_rural_person,wage_urban_male,wage_urban_female,wage_urban_person,wage_total_male,wage_total_female,wage_total_person
2018-04,IN-AP,15339.13,10110.17,13885.16,20177.1,13643.85,18055.53,19435.01,13196.06,17451.21
2018-04,IN-AR,27793.43,4454.54,26644.42,29845.45,24025.02,28981.01,29032.84,20836.47,28116.59
2018-04,IN-AS,13619.11,10230.17,12777.48,21896.23,16446.69,20645.94,17375.53,12891.97,16300.02
2018-04,IN-BR,17047.39,8153.01,15933.51,17879.03,18307.81,17954.92,17471.84,14350.4,16995.98
2018-04,IN-CT,11619.81,5088.59,10217.6,17151.14,11890.33,15997.49,15994.1,10497.77,14794.06
2018-04,IN-DL,13182.25,6500.0,12545.66,19761.15,13829.79,18768.41,19752.63,13824.81,18760.99
2018-04,IN-GA,18466.43,15171.72,17465.06,27052.87,21573.86,25168.03,25929.58,20860.9,24211.13
2018-04,IN-GJ,11885.27,3429.55,10632.0,15640.06,11588.11,14926.3,15281.33,10942.3,14528.24
2018-04,IN-HR,15190.12,14894.75,15147.69,19628.34,20534.43,19743.18,18817.39,19376.21,18889.97
2018-04,IN-HP,17842.32,5150.28,15295.75,20073.23,20977.71,20237.04,19193.67,14253.07,18260.29
2018-04,IN-JK,20996.71,19678.65,20764.52,21336.21,21799.64,21428.61,21215.51,21117.93,21196.85
2018-04,IN-JH,13897.76,3135.19,11967.26,24833.93,13248.28,22617.56,22592.93,11303.15,20460.44
2018-04,IN-KA,11969.18,7051.32,11274.34,19778.33,13633.23,18113.78,18805.98,13243.21,17376.84
2018-04,IN-KL,19606.65,14098.48,17135.79,19724.29,20544.96,20056.42,19700.68,19055.06,19433.35
2018-04,IN-MP,13901.9,8793.59,13500.09,16458.75,15797.72,16318.31,16077.57,15429.77,15951.23
2018-04,IN-MH,14434.56,10262.85,13895.89,20014.5,16086.79,19125.86,19551.11,15831.08,18736.36
2018-04,IN-MN,21750.45,8323.91,19734.8,23357.22,18624.17,21946.63,22899.84,17161.07,21399.49
2018-04,IN-ML,17939.18,6683.52,14209.3,25260.6,20174.64,22977.1,22863.76,17093.01,20467.09
2018-04,IN-MZ,23714.72,19693.46,23011.27,24192.4,23360.16,23903.79,24154.98,23239.75,23847.51
2018-04,IN-NL,18331.6,14471.48,17920.8,22000.01,17206.15,21060.19,20975.99,16771.21,20249.03
2018-04,IN-OR,11502.76,4025.8,10498.98,19623.14,12860.01,18284.71,16879.05,10714.4,15785.03
2018-04,IN-PB,13163.07,6410.02,11028.93,16368.02,17675.16,16641.84,15939.1,15284.46,15791.39
2018-04,IN-RJ,16123.43,7417.19,15354.23,17402.38,16376.21,17247.54,17158.69,15356.99,16907.09
2018-04,IN-SK,21496.01,19782.39,20885.72,15375.59,13785.45,14886.84,16847.98,15483.08,16411.54
2018-04,IN-TN,12928.77,9899.83,12074.51,17376.26,12318.24,15862.99,16871.27,12063.25,15441.96
2018-04,IN-TG,16972.02,6432.57,15421.66,20598.61,12320.86,18955.99,20238.27,11900.59,18623.97
2018-04,IN-TR,14846.08,12742.85,14654.59,19325.2,13859.56,17970.44,17958.66,13728.09,17086.84
2018-04,IN-UT,16655.59,11052.89,15580.41,17797.58,14533.0,17227.6,17520.12,13611.21,16820.93
2018-04,IN-UP,13584.46,25455.39,15214.17,17025.25,19485.36,17399.61,16386.04,20489.84,16999.33
2018-04,IN-WB,7513.87,3604.8,6408.71,14656.49,8575.45,13119.24,13483.44,7649.49,11978.99
2018-04,IN-AN,26996.11,37919.05,31239.9,32602.5,27315.56,31213.34,31915.87,29428.21,31217.17
2018-04,IN-CH,22023.55,4000.0,19232.9,17450.22,14352.31,16677.7,17514.8,14271.17,16709.8
2018-04,IN-DN,12759.82,6500.0,11441.88,17006.67,17124.79,17017.97,15809.92,11839.22,15288.81
2018-04,IN-DD,11371.51,6789.77,9150.25,11772.18,6615.65,11108.97,11764.25,6635.51,11044.28
2018-04,IN-LD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04,IN-PY,23279.18,8000.0,21837.27,19086.19,15995.62,18089.42,19486.04,15815.29,18363.36
2018-04,IN,14023.92,9895.12,13206.63,18353.12,14487.06,17473.1,17697.78,13890.27,16847.65
