,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Indicator,Units,2011,2012,2013,2014,2015,2016,2017,2018,2019
Real GDP,million naira,57511041.77,59929893.04,63218721.73,67152785.84,69144885.84,71758121.29,75369068.74,79596971.23,84064363.5
Nominal GDP,million naira,62980397.22,71713935.06,80092563.38,89043615.26,94268428.58,104203951.1,114054967.7,124332323.6,134950445.9
