Region Code,NUTS2,Region name
01,nuts/ITC1,Piemonte
02,nuts/ITC2,Valle d'Aosta/Vallée d'Aoste
03,nuts/ITC4,Lombardia
04,nuts/ITH1,Provincia Autonoma di Bolzano/Bozen
04,nuts/ITH2,Provincia Autonoma di Trento
05,nuts/ITH3,Veneto
06,nuts/ITH4,Friuli-Venezia Giulia
07,nuts/ITC3,Liguria
08,nuts/ITH5,Emilia-Romagna
09,nuts/ITI1,Toscana
10,nuts/ITI2,Umbria
11,nuts/ITI3,Marche
12,nuts/ITI4,Lazio
13,nuts/ITF1,Abruzzo
14,nuts/ITF2,Molise
15,nuts/ITF3,Campania
16,nuts/ITF4,Puglia
17,nuts/ITF5,Basilicata
18,nuts/ITF6,Calabria
19,nuts/ITG1,Sicilia
20,nuts/ITG2,Sardegna
