table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Wisconsin: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.Douglas County,"43,288","43,365","43,529","43,593","43,790","43,833","43,872","43,815","43,710","43,830","43,998","44,159","44,184"
.Dunn County,"39,853","39,952","40,599","40,947","41,222","41,690","41,988","42,828","43,148","43,382","43,570","43,857","43,898"
.Eau Claire County,"93,128","93,310","93,835","94,493","94,632","94,618","95,007","95,896","96,632","97,176","98,274","98,736","98,928"
.Florence County,"5,079","5,076","5,036","5,068","4,960","4,890","4,825","4,794","4,682","4,564","4,494","4,423","4,397"
.Fond du Lac County,"97,284","97,390","97,856","98,097","98,470","98,929","99,297","99,920","100,520","101,122","101,370","101,633","101,665"
.Forest County,"10,027","10,034","9,916","9,879","9,876","9,924","9,820","9,737","9,639","9,620","9,396","9,304","9,277"
.Grant County,"49,590","49,559","49,739","49,667","49,925","50,143","50,244","50,051","50,544","50,834","50,916","51,208","51,233"
.Green County,"33,678","33,770","33,929","34,177","34,301","34,801","35,174","35,869","36,234","36,598","36,672","36,842","36,869"
.Green Lake County,"19,115","19,082","19,213","19,267","19,253","19,220","19,187","19,195","19,144","19,102","19,056","19,051","19,037"
.Iowa County,"22,790","22,806","22,932","23,017","23,154","23,187","23,405","23,589","23,636","23,701","23,595","23,687","23,710"
.Iron County,"6,863","6,843","6,776","6,711","6,598","6,508","6,411","6,236","6,170","6,101","5,966","5,916","5,900"
.Jackson County,"19,091","19,133","19,337","19,374","19,641","19,633","19,885","20,016","20,227","20,348","20,372","20,449","20,455"
.Jefferson County,"75,855","76,053","76,736","77,376","78,148","79,408","80,392","81,300","82,276","83,140","83,480","83,686","83,693"
.Juneau County,"24,323","24,351","24,546","25,050","25,186","25,445","26,589","26,695","26,755","26,825","26,728","26,664","26,663"
.Kenosha County,"149,584","150,060","151,962","153,905","155,946","157,968","160,088","161,607","163,223","164,636","165,502","166,426","166,671"
.Kewaunee County,"20,199","20,212","20,302","20,434","20,402","20,562","20,650","20,755","20,694","20,636","20,555","20,574","20,572"
.La Crosse County,"107,156","107,291","107,761","108,477","109,065","109,410","109,976","110,641","111,798","112,761","114,021","114,638","114,874"
.Lafayette County,"16,149","16,225","16,303","16,436","16,516","16,615","16,703","16,785","16,670","16,768","16,851","16,836","16,801"
.Langlade County,"20,743","20,735","20,820","20,722","20,668","20,686","20,477","20,440","20,379","20,248","20,086","19,977","19,937"
.Lincoln County,"29,625","29,670","29,548","29,641","29,621","29,666","29,602","29,457","29,272","29,094","28,833","28,743","28,720"
.Manitowoc County,"82,907","82,936","82,788","82,338","82,010","81,846","81,827","81,869","81,872","81,698","81,600","81,442","81,349"
.Marathon County,"125,908","125,995","126,459","126,880","127,311","127,855","128,958","130,516","131,773","133,036","133,793","134,063","134,104"
.Marinette County,"43,392","43,418","43,157","43,122","42,946","42,680","42,850","42,389","42,190","42,019","41,792","41,749","41,703"
.Marquette County,"14,539","14,602","14,624","14,798","14,931","15,157","15,390","15,437","15,395","15,485","15,405","15,404","15,383"
.Menominee County,"4,554","4,565","4,521","4,539","4,478","4,406","4,353","4,312","4,293","4,214","4,191","4,232","4,252"
.Milwaukee County,"940,127","939,769","939,305","939,854","939,513","936,914","932,540","930,263","931,453","934,752","942,668","947,735","948,944"
.Monroe County,"40,885","40,984","41,298","41,611","41,712","42,229","42,604","43,208","43,729","44,157","44,437","44,673","44,736"
.Oconto County,"35,657","35,804","36,149","36,458","36,889","37,354","37,563","37,756","37,805","37,816","37,655","37,660","37,652"
.Oneida County,"36,736","36,766","36,912","36,875","37,223","37,035","36,896","36,746","36,553","36,500","36,175","35,998","35,919"
.Outagamie County,"161,090","161,720","163,726","165,336","166,690","168,136","169,740","171,632","173,180","174,388","176,175","176,695","176,912"
.Ozaukee County,"82,322","82,515","83,001","83,605","84,303","85,069","85,178","85,362","85,597","85,994","86,409","86,395","86,365"
.Pepin County,"7,314","7,301","7,355","7,436","7,454","7,536","7,566","7,540","7,557","7,545","7,480","7,469","7,461"
.Pierce County,"36,726","36,844","37,204","37,547","38,090","38,789","39,318","39,915","40,238","40,758","40,613","41,019","41,125"
.Polk County,"41,322","41,454","42,212","42,576","43,032","43,584","44,014","44,367","44,318","44,331","44,376","44,205","44,156"
.Portage County,"67,181","67,250","67,422","67,644","67,728","67,789","68,045","68,481","69,133","69,641","69,876","70,019","70,053"
.Price County,"15,819","15,806","15,566","15,411","15,361","15,189","15,046","14,882","14,561","14,411","14,297","14,159","14,111"
.Racine County,"188,849","188,904","189,047","189,833","190,845","191,808","193,251","193,915","194,395","194,730","195,130","195,408","195,510"
.Richland County,"17,926","17,979","18,061","17,976","18,106","18,322","18,256","18,299","18,428","18,205","18,112","18,021","17,981"
.Rock County,"152,315","152,464","153,174","153,628","154,268","155,685","156,761","158,538","159,912","160,647","160,411","160,331","160,310"
.Rusk County,"15,350","15,356","15,245","15,257","15,169","15,189","15,091","14,945","14,890","14,884","14,841","14,755","14,715"
.St. Croix County,"63,155","63,639","65,711","68,268","71,076","73,988","77,061","79,784","81,708","83,192","84,055","84,345","84,442"
.Sauk County,"55,187","55,348","55,660","56,316","57,096","58,020","58,856","59,580","60,389","61,231","61,562","61,976","62,025"
.Sawyer County,"16,221","16,249","16,249","16,391","16,510","16,552","16,652","16,624","16,674","16,650","16,559","16,557","16,568"
.Shawano County,"40,676","40,801","40,878","40,976","41,083","41,273","41,437","41,639","41,829","41,894","41,889","41,949","41,958"
.Sheboygan County,"112,663","112,739","113,023","113,251","113,433","113,832","114,454","114,775","115,178","115,652","115,562","115,507","115,472"
.Taylor County,"19,682","19,752","19,813","19,933","19,933","20,186","20,330","20,394","20,473","20,577","20,697","20,689","20,643"
.Trempealeau County,"27,002","27,080","27,118","27,249","27,413","27,676","28,065","28,286","28,396","28,452","28,627","28,816","28,854"
.Vernon County,"28,058","28,050","28,157","28,288","28,395","28,652","28,959","29,123","29,313","29,431","29,659","29,773","29,775"
.Vilas County,"21,055","21,162","21,464","21,766","21,997","22,069","22,116","22,064","21,997","21,767","21,524","21,430","21,396"
.Walworth County,"91,895","92,328","93,462","95,370","97,087","98,128","99,848","101,026","101,449","101,916","102,077","102,228","102,205"
.Washburn County,"16,007","16,034","16,070","16,174","16,138","16,126","16,097","16,098","16,038","16,003","15,947","15,911","15,916"
.Washington County,"117,529","117,967","119,387","120,741","122,143","124,076","125,788","127,483","129,203","130,795","131,579","131,887","131,971"
.Waukesha County,"360,810","362,169","365,564","370,051","373,787","376,243","378,885","380,799","384,239","386,691","388,957","389,891","389,964"
.Waupaca County,"51,844","51,976","52,092","52,380","52,579","52,605","52,508","52,634","52,677","52,593","52,392","52,410","52,369"
.Waushara County,"23,047","23,074","23,343","24,257","24,464","24,534","24,564","24,690","24,686","24,760","24,554","24,496","24,467"
.Winnebago County,"156,752","157,103","158,163","159,134","159,440","160,130","161,451","162,727","164,037","164,910","166,429","166,994","167,059"
.Wood County,"75,500","75,486","75,376","75,223","75,179","75,164","74,981","74,603","74,465","74,519","74,627","74,749","74,793"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Wisconsin: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-55)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
