table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Arkansas: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.Jackson County,"18,420","18,403","18,029","18,054","17,914","18,159","18,269","18,092","18,098","17,966","17,945","17,997","17,974"
.Jefferson County,"84,295","84,171","83,322","82,760","82,193","81,455","80,562","79,977","78,788","78,354","77,759","77,435","77,358"
.Johnson County,"22,779","22,813","22,977","23,293","23,587","23,850","24,173","24,596","25,109","25,236","25,374","25,540","25,585"
.Lafayette County,"8,550","8,539","8,374","8,240","8,244","8,153","8,042","7,879","7,845","7,806","7,654","7,645","7,637"
.Lawrence County,"17,762","17,672","17,749","17,688","17,605","17,541","17,343","17,193","17,286","17,460","17,336","17,415","17,424"
.Lee County,"12,578","12,527","12,358","12,151","11,732","11,512","11,370","11,067","10,823","10,786","10,458","10,424","10,412"
.Lincoln County,"14,482","14,477","14,505","14,571","14,578","14,466","14,496","14,315","14,237","14,176","14,185","14,134","14,104"
.Little River County,"13,628","13,613","13,334","13,413","13,361","13,176","13,114","13,147","13,107","13,099","13,228","13,171","13,143"
.Logan County,"22,480","22,500","22,385","22,454","22,707","22,682","22,661","22,689","22,758","22,699","22,429","22,353","22,325"
.Lonoke County,"52,849","53,153","54,043","55,184","56,452","58,449","60,225","62,648","64,379","66,086","67,481","68,356","68,634"
.Madison County,"14,228","14,272","14,253","14,137","14,186","14,437","14,714","15,156","15,353","15,619","15,673","15,717","15,735"
.Marion County,"16,147","16,162","16,232","16,149","16,133","16,293","16,464","16,759","16,795","16,996","16,721","16,653","16,624"
.Miller County,"40,455","40,436","40,606","40,923","41,382","41,765","42,181","42,669","42,710","43,047","43,284","43,462","43,529"
.Mississippi County,"51,999","51,849","51,017","49,957","48,554","47,777","47,399","46,983","46,850","47,037","46,857","46,480","46,349"
.Monroe County,"10,255","10,182","9,947","9,700","9,579","9,287","9,176","8,949","8,670","8,456","8,286","8,149","8,099"
.Montgomery County,"9,222","9,263","9,221","9,150","9,239","9,334","9,358","9,437","9,478","9,573","9,490","9,487","9,472"
.Nevada County,"9,940","9,895","9,774","9,652","9,590","9,535","9,479","9,383","9,267","9,062","9,058","8,997","8,976"
.Newton County,"8,603","8,642","8,534","8,534","8,613","8,503","8,467","8,474","8,428","8,423","8,311","8,330","8,334"
.Ouachita County,"28,776","28,677","28,088","27,701","27,488","27,107","26,934","26,656","26,448","26,202","26,024","26,120","26,134"
.Perry County,"10,199","10,223","10,306","10,363","10,346","10,352","10,356","10,352","10,496","10,441","10,443","10,445","10,441"
.Phillips County,"26,438","26,290","25,821","25,067","24,520","24,174","23,946","23,244","22,775","22,411","21,976","21,757","21,655"
.Pike County,"11,301","11,332","11,306","11,321","11,243","11,246","11,216","11,262","11,342","11,283","11,260","11,291","11,285"
.Poinsett County,"25,617","25,617","25,498","25,213","25,177","25,039","25,058","24,904","24,813","24,599","24,632","24,583","24,568"
.Polk County,"20,234","20,268","20,189","20,243","20,199","20,057","20,203","20,422","20,377","20,388","20,583","20,662","20,680"
.Pope County,"54,492","54,541","54,986","55,405","55,622","56,606","57,535","58,809","59,793","60,528","61,302","61,754","61,867"
.Prairie County,"9,523","9,491","9,505","9,406","9,303","9,111","9,046","8,989","8,951","8,806","8,754","8,715","8,696"
.Pulaski County,"361,370","361,876","362,866","364,327","365,258","366,608","368,274","371,647","373,403","376,567","380,053","382,748","383,632"
.Randolph County,"18,191","18,155","18,177","18,115","18,005","18,207","18,086","18,185","18,054","18,072","17,964","17,969","17,969"
.St. Francis County,"29,330","29,325","29,072","29,023","29,170","28,905","28,639","28,496","28,394","28,110","28,336","28,258","28,174"
.Saline County,"83,559","84,084","85,473","87,031","88,627","90,961","93,493","96,661","100,043","102,599","105,362","107,118","107,532"
.Scott County,"10,986","10,980","10,950","10,930","10,936","10,872","10,976","11,239","11,287","11,227","11,097","11,233","11,278"
.Searcy County,"8,240","8,246","8,220","8,150","7,996","8,046","8,110","8,210","8,275","8,274","8,190","8,195","8,187"
.Sebastian County,"115,101","115,578","116,488","117,200","117,725","118,168","119,426","121,492","122,946","123,762","125,116","125,744","125,920"
.Sevier County,"15,750","15,747","15,586","15,702","15,824","16,041","16,298","16,273","16,347","16,606","16,812","17,058","17,142"
.Sharp County,"17,120","17,138","17,244","17,276","17,381","17,353","17,391","17,629","17,506","17,416","17,373","17,264","17,236"
.Stone County,"11,496","11,519","11,484","11,607","11,704","11,768","11,909","12,262","12,230","12,370","12,340","12,394","12,403"
.Union County,"45,633","45,532","44,894","44,769","44,281","43,747","43,134","42,914","42,267","42,222","41,944","41,639","41,554"
.Van Buren County,"16,182","16,221","16,332","16,322","16,506","16,664","16,869","17,027","17,226","17,373","17,293","17,295","17,265"
.Washington County,"157,805","158,851","163,151","166,859","171,424","176,837","183,799","190,314","194,526","197,223","199,774","203,065","204,123"
.White County,"67,164","67,382","68,273","68,796","69,389","70,403","71,355","72,728","73,573","74,848","76,284","77,076","77,350"
.Woodruff County,"8,738","8,686","8,675","8,446","8,284","8,102","8,023","7,877","7,648","7,458","7,294","7,260","7,249"
.Yell County,"21,127","21,147","21,145","21,147","21,197","21,074","21,141","21,556","21,633","21,935","22,145","22,185","22,206"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Arkansas: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-05)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
