table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Idaho: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
Idaho,"1,293,957","1,299,430","1,319,962","1,340,372","1,363,380","1,391,802","1,428,241","1,468,669","1,505,105","1,534,320","1,554,439","1,567,582","1,571,450"
.Ada County,"300,953","303,328","313,896","321,616","327,393","334,926","348,755","363,498","375,368","382,618","388,577","392,365","393,531"
.Adams County,"3,483","3,477","3,495","3,559","3,624","3,693","3,817","3,788","3,949","4,021","4,000","3,976","3,953"
.Bannock County,"75,562","75,728","76,296","76,487","76,312","76,834","77,419","78,491","79,338","80,609","81,994","82,839","83,071"
.Bear Lake County,"6,418","6,424","6,394","6,219","6,219","6,170","6,077","6,071","6,049","6,027","6,014","5,986","5,971"
.Benewah County,"9,169","9,186","8,968","8,917","8,901","8,907","9,053","9,260","9,296","9,385","9,286","9,285","9,285"
.Bingham County,"41,737","41,753","42,073","42,101","42,555","42,702","43,173","43,396","43,816","44,414","45,087","45,607","45,769"
.Blaine County,"18,994","19,115","19,755","20,189","20,557","20,811","20,897","21,082","21,169","21,477","21,590","21,376","21,326"
.Boise County,"6,644","6,702","6,733","6,854","6,977","7,004","6,981","7,151","7,229","7,148","7,051","7,028","7,032"
.Bonner County,"36,809","36,950","36,980","37,634","38,382","38,836","39,576","40,127","40,738","40,966","40,809","40,877","40,915"
.Bonneville County,"82,545","82,968","83,907","85,060","86,846","89,514","91,709","94,756","97,890","100,811","103,016","104,234","104,592"
.Boundary County,"9,880","9,913","9,816","9,834","9,960","10,163","10,303","10,530","10,754","10,831","10,819","10,972","11,026"
.Butte County,"2,897","2,894","2,853","2,906","2,842","2,812","2,825","2,786","2,838","2,846","2,835","2,891","2,907"
.Camas County,981,968,"1,000","1,025","1,029","1,022","1,069","1,073","1,103","1,120","1,133","1,117","1,109"
.Canyon County,"131,452","133,082","139,179","145,160","151,395","157,130","163,947","172,188","179,645","184,996","187,357","188,923","189,428"
.Caribou County,"7,296","7,281","7,326","7,161","7,105","7,106","6,963","6,886","6,873","6,840","6,922","6,963","6,977"
.Cassia County,"21,399","21,393","21,557","21,504","21,466","21,323","21,372","21,281","21,568","22,134","22,476","22,952","23,088"
.Clark County,"1,022","1,024",965,948,892,923,925,947,948,981,961,982,988
.Clearwater County,"8,928","8,930","8,689","8,579","8,596","8,610","8,659","8,776","8,788","8,764","8,761","8,761","8,740"
.Custer County,"4,340","4,336","4,223","4,143","4,116","4,129","4,084","4,155","4,200","4,300","4,363","4,368","4,366"
.Elmore County,"29,116","28,610","27,613","27,047","25,972","26,355","25,919","25,927","26,595","26,930","26,769","27,038","27,123"
.Franklin County,"11,333","11,350","11,463","11,687","11,718","11,959","12,079","12,085","12,277","12,570","12,757","12,786","12,794"
.Fremont County,"11,813","11,769","11,891","12,029","12,370","12,640","12,610","12,770","13,005","13,112","13,173","13,242","13,251"
.Gem County,"15,179","15,215","15,393","15,488","15,693","15,925","16,304","16,632","16,833","16,941","16,809","16,719","16,675"
.Gooding County,"14,150","14,196","14,215","14,342","14,483","14,562","14,614","14,749","14,963","15,216","15,270","15,464","15,503"
.Idaho County,"15,506","15,470","15,447","15,495","15,410","15,555","15,522","15,638","15,770","15,896","16,138","16,267","16,291"
.Jefferson County,"19,117","19,193","19,322","19,802","20,249","20,842","21,674","22,439","23,475","24,696","25,770","26,140","26,236"
.Jerome County,"18,401","18,493","18,579","18,730","18,971","19,331","19,654","20,111","20,572","21,217","22,039","22,374","22,469"
.Kootenai County,"108,682","109,487","111,542","113,667","116,512","121,002","125,972","129,510","132,811","135,627","137,407","138,494","138,901"
.Latah County,"34,925","34,878","35,285","35,183","35,473","35,864","35,958","36,251","36,179","36,524","36,939","37,244","37,334"
.Lemhi County,"7,798","7,724","7,593","7,590","7,600","7,660","7,708","7,795","7,780","7,902","7,870","7,936","7,957"
.Lewis County,"3,744","3,740","3,599","3,673","3,671","3,669","3,665","3,712","3,707","3,739","3,832","3,821","3,816"
.Lincoln County,"4,050","4,051","4,159","4,242","4,372","4,441","4,694","4,762","4,938","5,041","5,151","5,208","5,211"
.Madison County,"27,491","27,519","27,699","28,478","29,997","31,990","33,807","34,984","35,771","36,564","37,121","37,536","37,623"
.Minidoka County,"20,155","20,103","19,603","19,542","19,389","19,167","19,013","19,046","19,184","19,393","19,884","20,069","20,112"
.Nez Perce County,"37,418","37,398","36,999","37,111","37,696","37,798","38,071","38,513","38,720","38,810","39,049","39,265","39,339"
.Oneida County,"4,125","4,135","4,176","4,125","4,089","4,086","4,137","4,146","4,167","4,201","4,248","4,286","4,298"
.Owyhee County,"10,644","10,690","10,877","10,876","11,033","10,990","10,993","11,114","11,255","11,515","11,547","11,526","11,512"
.Payette County,"20,584","20,624","20,796","20,966","21,133","21,139","21,484","21,916","22,437","22,618","22,665","22,623","22,621"
.Power County,"7,542","7,484","7,422","7,371","7,293","7,432","7,426","7,564","7,532","7,564","7,628","7,817","7,879"
.Shoshone County,"13,763","13,762","13,464","13,044","12,897","12,781","12,912","13,014","12,949","13,031","12,862","12,765","12,729"
.Teton County,"6,006","6,098","6,455","6,849","7,193","7,460","7,814","8,270","8,932","9,627","10,041","10,170","10,193"
.Twin Falls County,"64,286","64,360","64,556","65,473","67,092","68,309","69,833","71,974","73,738","75,143","76,271","77,230","77,517"
.Valley County,"7,637","7,659","7,773","7,762","8,003","8,283","8,779","9,480","9,929","10,060","9,975","9,862","9,787"
.Washington County,"9,983","9,970","9,936","9,904","9,904","9,947","9,995","10,025","10,027","10,095","10,173","10,198","10,205"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Idaho: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-16)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
