table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Kentucky: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
Kentucky,"4,042,193","4,049,021","4,068,132","4,089,875","4,117,170","4,146,101","4,182,742","4,219,239","4,256,672","4,289,878","4,317,074","4,339,367","4,346,266"
.Adair County,"17,275","17,327","17,584","17,762","17,924","17,994","18,128","18,335","18,493","18,541","18,729","18,656","18,614"
.Allen County,"17,792","17,820","17,947","18,219","18,434","18,699","18,910","19,272","19,540","19,838","19,811","19,956","19,980"
.Anderson County,"19,093","19,151","19,382","19,315","19,504","19,714","19,987","20,519","20,999","21,088","21,328","21,421","21,465"
.Ballard County,"8,293","8,304","8,225","8,164","8,254","8,242","8,269","8,204","8,190","8,265","8,204","8,249","8,263"
.Barren County,"38,045","38,128","38,517","38,704","39,164","39,601","40,320","40,857","41,435","41,797","42,171","42,173","42,164"
.Bath County,"11,099","11,128","11,280","11,403","11,428","11,447","11,538","11,558","11,470","11,647","11,544","11,591","11,607"
.Bell County,"30,049","30,015","29,561","29,691","29,478","29,275","29,130","28,960","28,794","28,836","28,667","28,691","28,706"
.Boone County,"86,051","87,108","90,277","93,323","96,680","100,822","105,456","109,295","112,308","115,262","117,461","118,811","119,290"
.Bourbon County,"19,360","19,366","19,443","19,452","19,563","19,733","19,908","19,809","19,891","20,046","20,027","19,985","19,964"
.Boyd County,"49,721","49,627","49,595","49,578","49,754","49,542","49,403","49,312","49,154","49,244","49,362","49,542","49,580"
.Boyle County,"27,676","27,673","27,472","27,455","27,451","27,832","27,922","28,031","28,112","28,288","28,297","28,432","28,497"
.Bracken County,"8,276","8,267","8,334","8,408","8,387","8,592","8,533","8,484","8,468","8,471","8,473","8,488","8,499"
.Breathitt County,"16,089","15,999","15,664","15,346","15,098","14,975","14,792","14,549","14,327","14,249","14,009","13,878","13,875"
.Breckinridge County,"18,633","18,682","18,837","19,030","19,209","19,326","19,579","19,590","19,819","20,018","19,979","20,059","20,060"
.Bullitt County,"61,178","61,590","62,596","63,775","65,074","66,937","68,620","70,042","71,577","72,738","73,743","74,319","74,473"
.Butler County,"12,981","12,991","13,015","12,952","12,957","13,044","12,900","12,925","12,759","12,745","12,670","12,690","12,714"
.Caldwell County,"13,057","13,026","12,843","12,798","12,802","12,774","12,816","12,828","12,882","12,985","12,996","12,984","12,978"
.Calloway County,"34,182","34,160","34,439","34,499","34,896","35,327","35,788","36,375","36,585","36,686","36,886","37,191","37,281"
.Campbell County,"88,627","88,687","88,843","88,596","88,259","87,982","88,047","88,036","88,302","88,548","89,664","90,336","90,532"
.Carlisle County,"5,349","5,336","5,305","5,299","5,255","5,261","5,215","5,212","5,109","5,093","5,113","5,104","5,102"
.Carroll County,"10,170","10,181","10,193","10,312","10,372","10,379","10,511","10,528","10,595","10,744","10,852","10,811","10,794"
.Carter County,"26,879","26,874","26,991","27,262","27,504","27,528","27,767","27,921","27,971","27,752","27,785","27,720","27,675"
.Casey County,"15,450","15,466","15,563","15,679","15,690","15,784","15,845","15,900","15,908","15,970","15,946","15,955","15,972"
.Christian County,"72,402","72,730","73,397","73,098","71,547","71,700","72,892","70,592","73,128","72,034","73,457","73,955","74,179"
.Clark County,"33,180","33,234","33,390","33,407","33,672","34,025","34,377","34,823","35,207","35,256","35,607","35,613","35,634"
.Clay County,"24,586","24,458","24,203","23,995","23,635","23,278","22,946","22,718","22,332","22,289","21,950","21,730","21,698"
.Clinton County,"9,622","9,637","9,696","9,762","9,825","9,886","9,932","9,942","10,120","10,253","10,227","10,272","10,262"
.Crittenden County,"9,384","9,408","9,310","9,217","9,234","9,126","9,138","9,264","9,278","9,408","9,301","9,315","9,313"
.Cumberland County,"7,150","7,167","7,157","7,164","7,151","7,189","7,066","7,073","6,959","6,917","6,855","6,856","6,850"
.Daviess County,"91,542","91,657","91,707","91,821","92,457","92,769","93,150","93,908","94,647","95,411","96,261","96,656","96,762"
.Edmonson County,"11,632","11,639","11,728","11,763","11,809","11,804","11,987","11,957","12,055","12,127","12,122","12,161","12,171"
