table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of New Jersey: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
New Jersey,"8,414,764","8,430,621","8,492,671","8,552,643","8,601,402","8,634,561","8,651,974","8,661,679","8,677,885","8,711,090","8,755,602","8,791,894","8,801,624"
.Atlantic County,"253,210","253,674","255,737","259,263","263,285","267,723","270,332","271,759","272,303","273,014","274,049","274,549","274,685"
.Bergen County,"884,179","885,180","888,782","890,647","892,214","893,378","891,446","889,406","890,817","895,328","900,319","905,116","906,541"
.Burlington County,"423,329","424,453","429,727","436,445","442,434","446,548","447,245","448,373","447,560","446,831","447,391","448,734","449,149"
.Camden County,"507,075","506,707","506,326","507,899","508,563","510,137","511,982","513,195","513,546","513,853","513,668","513,657","513,607"
.Cape May County,"102,323","102,314","102,023","101,694","101,710","100,482","99,269","98,695","97,686","97,550","97,238","97,265","97,253"
.Cumberland County,"146,454","146,263","146,451","147,294","148,437","149,837","152,022","153,371","154,489","155,738","156,531","156,898","157,149"
.Essex County,"792,235","792,253","794,312","795,625","795,167","791,305","786,341","781,027","778,996","778,165","781,943","783,969","784,228"
.Gloucester County,"255,946","256,524","258,783","262,909","267,445","271,714","275,122","280,015","284,086","286,072","287,362","288,288","288,581"
.Hudson County,"609,041","610,135","616,629","615,554","614,813","614,607","614,664","613,577","613,637","619,533","628,572","634,266","635,294"
.Hunterdon County,"122,110","122,579","124,500","125,892","126,935","127,583","128,072","128,535","128,568","128,449","128,364","128,349","128,373"
.Mercer County,"350,773","351,465","353,816","355,935","358,724","361,248","362,015","362,840","363,088","364,119","365,388","366,513","366,789"
.Middlesex County,"750,275","752,880","761,770","769,280","775,973","781,582","787,329","786,890","792,137","799,191","805,204","809,858","810,986"
.Monmouth County,"615,253","616,849","620,563","624,532","627,413","628,605","627,838","626,934","626,644","627,348","628,669","630,380","630,966"
.Morris County,"470,277","471,326","473,515","477,234","481,000","483,997","485,472","487,486","488,355","489,743","490,779","492,276","492,694"
.Ocean County,"510,950","513,608","523,357","536,069","545,093","551,262","556,012","561,302","565,356","569,485","573,123","576,567","577,603"
.Passaic County,"490,285","490,733","493,252","494,571","494,915","493,981","493,600","492,730","492,886","494,904","498,641","501,226","501,860"
.Salem County,"64,272","64,177","64,069","64,434","64,345","64,835","65,388","65,831","65,864","65,974","66,183","66,083","66,058"
.Somerset County,"297,544","298,761","301,671","305,255","307,902","310,424","312,617","314,993","317,128","318,856","321,564","323,444","324,194"
.Sussex County,"144,343","144,714","146,004","147,712","149,260","149,906","150,192","150,508","150,600","150,145","149,487","149,265","149,239"
.Union County,"522,507","523,124","526,183","527,625","527,611","526,916","526,161","525,153","524,960","527,528","532,434","536,499","537,661"
.Warren County,"102,383","102,902","105,201","106,774","108,163","108,491","108,855","109,059","109,179","109,264","108,693","108,692","108,714"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of New Jersey: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-34)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
