table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Montana: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
Montana,"902,200","903,773","906,961","911,667","919,630","930,009","940,102","952,692","964,706","976,415","983,982","989,415","990,898"
.Beaverhead County,"9,192","9,204","9,058","9,018","8,924","8,908","8,904","9,012","9,028","9,166","9,200","9,246","9,253"
.Big Horn County,"12,676","12,669","12,783","12,713","12,652","12,731","12,634","12,540","12,549","12,564","12,747","12,865","12,914"
.Blaine County,"7,009","6,968","6,748","6,769","6,699","6,571","6,592","6,536","6,472","6,401","6,445","6,491","6,507"
.Broadwater County,"4,380","4,378","4,438","4,478","4,562","4,711","4,775","4,958","5,089","5,261","5,496","5,612","5,629"
.Carbon County,"9,545","9,561","9,665","9,714","9,747","9,796","9,921","9,916","9,973","9,965","10,033","10,078","10,085"
.Carter County,"1,358","1,335","1,337","1,319","1,290","1,284","1,258","1,227","1,216","1,172","1,180","1,160","1,154"
.Cascade County,"80,356","80,318","80,055","79,848","79,633","80,198","80,041","79,984","80,099","80,529","80,680","81,327","81,519"
.Chouteau County,"5,962","6,062","5,899","5,811","5,775","5,729","5,708","5,709","5,746","5,774","5,793","5,813","5,803"
.Custer County,"11,694","11,678","11,484","11,510","11,438","11,510","11,423","11,395","11,480","11,515","11,646","11,699","11,703"
.Daniels County,"2,017","2,005","1,999","1,912","1,881","1,804","1,782","1,748","1,702","1,704","1,732","1,751","1,758"
.Dawson County,"9,059","9,050","8,963","8,801","8,812","8,764","8,800","8,853","8,944","8,925","9,008","8,966","8,936"
.Deer Lodge County,"9,416","9,409","9,303","9,238","9,189","9,274","9,274","9,180","9,264","9,351","9,260","9,298","9,294"
.Fallon County,"2,835","2,816","2,741","2,725","2,769","2,773","2,712","2,722","2,768","2,807","2,882","2,890","2,887"
.Fergus County,"11,905","11,902","11,736","11,666","11,565","11,546","11,444","11,501","11,463","11,448","11,571","11,586","11,582"
.Flathead County,"74,507","74,774","76,171","77,583","79,643","81,247","83,320","85,759","88,245","90,260","90,910","90,928","90,901"
.Gallatin County,"67,837","68,375","70,120","71,824","74,504","77,124","80,310","83,984","86,620","88,932","89,187","89,513","89,658"
.Garfield County,"1,279","1,268","1,269","1,258","1,254","1,236","1,202","1,233","1,234","1,205","1,240","1,206","1,192"
.Glacier County,"13,240","13,183","13,098","13,101","13,168","13,388","13,264","13,250","13,179","13,109","13,266","13,399","13,451"
.Golden Valley County,"1,040","1,019",992,"1,012",981,"1,001","1,014",973,964,890,897,884,884
.Granite County,"2,841","2,849","2,905","2,919","2,931","2,943","3,009","3,013","3,039","3,031","3,057","3,079","3,082"
.Hill County,"16,671","16,605","16,378","16,139","15,988","15,947","15,870","15,981","16,031","15,889","15,981","16,096","16,152"
.Jefferson County,"10,034","10,052","10,087","10,181","10,262","10,511","10,709","10,801","11,040","11,203","11,364","11,406","11,424"
.Judith Basin County,"2,326","2,330","2,266","2,246","2,201","2,196","2,161","2,146","2,083","2,071","2,076","2,072","2,068"
.Lake County,"26,482","26,588","26,810","26,814","27,117","27,634","28,023","28,283","28,235","28,515","28,668","28,746","28,766"
.Lewis and Clark County,"55,716","55,886","56,262","56,271","57,110","58,041","58,529","59,529","60,646","61,747","62,671","63,395","63,620"
.Liberty County,"2,158","2,168","2,163","2,144","2,212","2,263","2,266","2,216","2,236","2,225","2,283","2,339","2,344"
.Lincoln County,"18,820","18,818","18,646","18,669","18,861","18,991","19,180","19,228","19,440","19,541","19,657","19,687","19,670"
