table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Kansas: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
.Kingman County,"8,675","8,685","8,597","8,472","8,544","8,439","8,249","8,119","8,011","7,892","7,885","7,858","7,840"
.Kiowa County,"3,278","3,264","3,160","3,150","3,175","3,130","3,088","3,039","2,837","2,418","2,490","2,553","2,570"
.Labette County,"22,821","22,733","22,436","22,214","22,100","21,911","21,913","21,929","21,928","21,786","21,759","21,607","21,555"
.Lane County,"2,155","2,145","2,104","1,981","1,956","1,916","1,848","1,780","1,763","1,756","1,779","1,750","1,740"
.Leavenworth County,"68,684","68,957","69,906","70,793","70,939","71,373","71,788","72,741","73,791","74,560","75,461","76,227","76,504"
.Lincoln County,"3,578","3,576","3,560","3,513","3,536","3,414","3,443","3,360","3,365","3,333","3,249","3,241","3,235"
.Linn County,"9,541","9,580","9,734","9,724","9,775","9,830","10,032","10,013","9,858","9,731","9,669","9,656","9,640"
.Logan County,"3,051","3,059","2,992","2,984","2,925","2,905","2,881","2,808","2,798","2,779","2,729","2,756","2,758"
.Lyon County,"35,934","35,967","36,049","35,826","35,868","36,034","35,936","35,832","36,018","35,591","33,777","33,690","33,654"
.McPherson County,"29,560","29,572","29,489","29,237","29,239","29,276","29,375","29,174","29,250","29,095","29,222","29,180","29,151"
.Marion County,"13,358","13,394","13,377","13,289","13,240","13,066","13,012","12,804","12,707","12,639","12,654","12,660","12,642"
.Marshall County,"10,967","10,933","10,791","10,585","10,451","10,312","10,270","10,171","10,150","10,174","10,121","10,117","10,117"
.Meade County,"4,628","4,621","4,669","4,663","4,595","4,570","4,586","4,531","4,490","4,497","4,502","4,575","4,596"
.Miami County,"28,340","28,536","28,770","29,072","29,437","30,158","30,758","31,180","31,962","32,131","32,445","32,787","32,860"
.Mitchell County,"6,929","6,911","6,772","6,706","6,688","6,539","6,443","6,382","6,389","6,370","6,420","6,373","6,354"
.Montgomery County,"36,267","36,242","35,935","35,490","35,152","35,150","35,034","35,246","35,504","35,538","35,589","35,471","35,390"
.Morris County,"6,113","6,120","6,061","5,981","5,922","5,904","5,947","5,929","5,931","5,999","5,958","5,923","5,913"
.Morton County,"3,494","3,482","3,393","3,387","3,403","3,326","3,300","3,285","3,256","3,227","3,226","3,233","3,228"
.Nemaha County,"10,716","10,694","10,494","10,501","10,490","10,397","10,367","10,345","10,325","10,259","10,165","10,178","10,173"
.Neosho County,"16,996","16,934","16,884","16,719","16,615","16,664","16,591","16,479","16,578","16,587","16,568","16,512","16,480"
.Ness County,"3,452","3,448","3,391","3,352","3,274","3,219","3,177","3,135","3,150","3,127","3,085","3,107","3,104"
.Norton County,"5,950","5,962","5,863","5,845","5,852","5,789","5,765","5,748","5,698","5,702","5,640","5,671","5,674"
.Osage County,"16,713","16,756","16,657","16,689","16,722","16,843","16,869","16,633","16,468","16,439","16,297","16,295","16,291"
.Osborne County,"4,452","4,436","4,342","4,283","4,149","4,094","4,035","3,998","3,916","3,867","3,913","3,858","3,838"
.Ottawa County,"6,164","6,192","6,142","6,188","6,153","6,112","6,097","6,108","6,101","6,137","6,114","6,091","6,077"
.Pawnee County,"7,235","7,225","7,068","6,996","6,964","6,975","7,027","6,889","6,930","6,859","6,927","6,973","6,962"
.Phillips County,"5,995","5,995","5,903","5,833","5,748","5,749","5,642","5,573","5,588","5,586","5,620","5,642","5,638"
.Pottawatomie County,"18,208","18,302","18,412","18,580","18,925","19,193","19,444","19,720","20,395","20,884","21,206","21,604","21,701"
.Pratt County,"9,649","9,649","9,579","9,669","9,575","9,492","9,618","9,658","9,698","9,684","9,669","9,656","9,641"
.Rawlins County,"2,966","2,988","2,917","2,903","2,836","2,776","2,697","2,663","2,655","2,592","2,558","2,519","2,504"
.Reno County,"64,793","64,731","64,584","64,163","63,990","63,779","63,778","63,822","63,683","63,974","64,196","64,511","64,597"
.Republic County,"5,831","5,804","5,685","5,485","5,395","5,285","5,238","5,159","5,124","5,067","5,045","4,980","4,952"
.Rice County,"10,760","10,728","10,609","10,526","10,465","10,498","10,396","10,224","10,103","10,175","10,047","10,083","10,089"
.Riley County,"62,954","63,237","62,962","62,625","62,922","64,218","64,751","66,928","67,329","69,444","69,995","71,115","71,481"
.Rooks County,"5,685","5,665","5,560","5,482","5,430","5,400","5,352","5,322","5,275","5,254","5,179","5,181","5,174"
.Rush County,"3,549","3,536","3,511","3,454","3,439","3,442","3,384","3,294","3,273","3,310","3,253","3,307","3,322"
.Russell County,"7,374","7,349","7,179","7,066","7,032","7,085","6,930","6,894","6,943","6,869","6,880","6,970","6,990"
.Saline County,"53,599","53,659","53,952","54,157","54,018","54,178","54,361","54,478","54,723","54,811","55,164","55,606","55,733"
.Scott County,"5,120","5,100","5,110","4,960","4,865","4,713","4,771","4,738","4,707","4,729","4,823","4,936","4,967"
.Sedgwick County,"452,901","453,705","456,887","461,020","462,442","464,021","467,113","471,659","478,479","486,077","495,006","498,365","499,393"
.Seward County,"22,517","22,616","22,544","22,687","22,647","22,538","22,334","22,246","22,409","22,522","22,729","22,952","23,036"
.Shawnee County,"169,879","170,027","170,320","170,349","170,854","171,378","171,893","172,986","174,162","175,449","176,786","177,934","178,301"
.Sheridan County,"2,814","2,795","2,728","2,675","2,659","2,594","2,618","2,585","2,578","2,605","2,575","2,556","2,545"
.Sherman County,"6,757","6,746","6,606","6,396","6,293","6,186","6,155","5,979","6,004","6,017","6,004","6,010","6,006"
.Smith County,"4,538","4,519","4,416","4,311","4,246","4,190","4,128","4,052","4,008","3,909","3,849","3,853","3,851"
.Stafford County,"4,789","4,752","4,723","4,646","4,559","4,468","4,473","4,440","4,460","4,404","4,422","4,437","4,440"
.Stanton County,"2,406","2,394","2,410","2,421","2,366","2,354","2,252","2,212","2,176","2,169","2,174","2,235","2,253"
.Stevens County,"5,465","5,460","5,428","5,442","5,473","5,626","5,592","5,481","5,397","5,440","5,592","5,724","5,755"
.Sumner County,"25,944","25,946","25,704","25,500","25,248","25,146","24,795","24,493","24,290","24,238","24,160","24,132","24,104"
.Thomas County,"8,174","8,179","8,164","8,119","8,040","7,919","7,768","7,726","7,681","7,685","7,753","7,900","7,938"
.Trego County,"3,311","3,280","3,225","3,137","3,097","3,120","3,025","2,991","2,971","2,943","2,985","3,001","3,003"
.Wabaunsee County,"6,876","6,868","6,801","6,750","6,759","6,823","6,925","6,845","6,998","7,077","7,059","7,053","7,043"
.Wallace County,"1,749","1,733","1,695","1,671","1,623","1,562","1,531","1,527","1,481","1,447","1,469","1,485","1,490"
.Washington County,"6,458","6,413","6,281","6,201","6,156","6,072","6,022","5,950","5,880","5,848","5,779","5,799","5,799"
.Wichita County,"2,531","2,512","2,511","2,453","2,431","2,347","2,361","2,287","2,264","2,222","2,211","2,234","2,237"
.Wilson County,"10,341","10,303","10,216","10,104","10,063","9,784","9,772","9,747","9,783","9,592","9,485","9,409","9,383"
.Woodson County,"3,788","3,754","3,742","3,602","3,572","3,485","3,523","3,440","3,363","3,347","3,309","3,309","3,303"
.Wyandotte County,"157,924","157,883","158,372","157,498","156,276","154,874","154,356","153,689","154,267","155,092","156,416","157,505","157,845"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Kansas: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-20)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
