table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of North Dakota: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
North Dakota,"642,237","642,023","639,062","638,168","638,817","644,705","646,089","649,422","652,822","657,569","664,968","672,591","674,499"
.Adams County,"2,593","2,578","2,542","2,509","2,469","2,436","2,405","2,366","2,362","2,343","2,325","2,343","2,346"
.Barnes County,"11,772","11,692","11,446","11,281","11,199","11,202","11,171","11,106","11,057","11,027","11,028","11,066","11,062"
.Benson County,"6,961","6,943","6,898","6,727","6,744","6,788","6,745","6,709","6,683","6,622","6,609","6,660","6,685"
.Billings County,888,876,877,854,820,792,773,741,762,768,796,783,779
.Bottineau County,"7,156","7,126","6,995","6,835","6,789","6,690","6,650","6,526","6,428","6,370","6,390","6,429","6,435"
.Bowman County,"3,243","3,233","3,118","3,087","3,089","3,132","3,046","3,020","3,050","3,158","3,137","3,151","3,150"
.Burke County,"2,243","2,236","2,183","2,137","2,108","2,081","2,042","1,975","1,933","1,902","1,962","1,968","1,968"
.Burleigh County,"69,408","69,534","70,121","71,090","71,987","72,837","74,375","75,940","77,473","78,678","80,122","81,308","81,666"
.Cass County,"123,171","123,662","125,520","127,119","129,356","133,197","135,181","138,340","141,316","144,290","147,872","149,778","150,230"
.Cavalier County,"4,832","4,811","4,696","4,620","4,543","4,456","4,384","4,202","4,056","4,008","3,975","3,993","3,991"
.Dickey County,"5,768","5,761","5,683","5,611","5,510","5,561","5,496","5,419","5,412","5,305","5,269","5,289","5,293"
.Divide County,"2,283","2,263","2,176","2,192","2,191","2,178","2,116","2,083","2,041","2,022","2,020","2,071","2,084"
.Dunn County,"3,606","3,605","3,582","3,548","3,526","3,443","3,422","3,432","3,429","3,470","3,513","3,536","3,540"
.Eddy County,"2,756","2,742","2,683","2,654","2,656","2,641","2,610","2,529","2,503","2,470","2,393","2,385","2,378"
.Emmons County,"4,327","4,302","4,208","4,107","4,025","3,955","3,825","3,748","3,640","3,588","3,568","3,550","3,540"
