table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of South Dakota: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
South Dakota,"754,858","755,844","757,972","760,020","763,729","770,396","775,493","783,033","791,623","799,124","807,067","814,180","816,463"
.Aurora County,"3,051","3,045","2,946","2,869","2,862","2,860","2,789","2,775","2,745","2,750","2,712","2,710","2,713"
.Beadle County,"17,027","17,030","16,952","16,767","16,504","16,370","16,304","16,149","16,489","16,810","17,288","17,398","17,408"
.Bennett County,"3,572","3,572","3,518","3,519","3,513","3,519","3,547","3,475","3,466","3,429","3,397","3,431","3,439"
.Bon Homme County,"7,262","7,243","7,169","7,091","7,074","7,014","6,985","7,174","7,060","7,040","7,049","7,070","7,077"
.Brookings County,"28,233","28,342","28,565","28,913","29,171","29,393","29,485","30,323","30,831","31,363","31,729","31,965","32,003"
.Brown County,"35,468","35,472","35,303","35,187","35,223","35,329","35,441","35,561","35,821","35,865","36,181","36,531","36,627"
.Brule County,"5,362","5,334","5,179","5,067","5,058","5,030","5,010","4,991","5,079","5,112","5,184","5,255","5,275"
.Buffalo County,"2,032","1,991","2,004","1,977","1,978","1,977","1,959","1,973","1,937","1,956","1,858","1,912","1,935"
.Butte County,"9,093","9,093","9,120","9,046","9,199","9,284","9,422","9,517","9,817","9,977","9,989","10,110","10,138"
.Campbell County,"1,782","1,781","1,766","1,738","1,691","1,647","1,591","1,533","1,474","1,456","1,454","1,466","1,466"
.Charles Mix County,"9,350","9,340","9,207","9,164","9,075","9,055","9,134","9,110","9,034","9,009","9,079","9,129","9,144"
.Clark County,"4,143","4,129","4,144","4,003","3,958","3,897","3,827","3,713","3,711","3,714","3,688","3,691","3,686"
.Clay County,"13,538","13,510","13,627","13,505","13,536","13,449","13,517","13,627","13,785","13,959","13,846","13,864","13,861"
.Codington County,"25,909","25,950","26,033","26,100","26,184","26,254","26,364","26,754","27,036","27,043","27,137","27,227","27,231"
.Corson County,"4,177","4,194","4,162","4,208","4,236","4,256","4,213","4,041","4,118","4,051","3,983","4,050","4,074"
.Custer County,"7,268","7,345","7,368","7,499","7,588","7,795","7,810","7,992","8,028","8,060","8,095","8,216","8,250"
.Davison County,"18,743","18,763","18,868","18,862","18,907","19,104","19,126","19,404","19,351","19,318","19,377","19,504","19,533"
.Day County,"6,246","6,226","6,090","6,040","5,929","5,879","5,872","5,805","5,752","5,638","5,653","5,710","5,724"
.Deuel County,"4,498","4,495","4,482","4,473","4,402","4,345","4,389","4,394","4,344","4,394","4,379","4,364","4,352"
.Dewey County,"5,972","5,948","5,907","5,825","5,839","5,722","5,667","5,537","5,402","5,245","5,252","5,301","5,336"
.Douglas County,"3,456","3,439","3,419","3,351","3,295","3,280","3,242","3,131","3,080","3,006","3,017","3,002","2,994"
.Edmunds County,"4,367","4,353","4,299","4,230","4,196","4,111","4,128","4,043","4,026","4,050","4,038","4,071","4,079"
.Fall River County,"7,453","7,375","7,339","7,238","7,212","7,178","7,181","7,108","7,083","7,032","7,056","7,094","7,110"
.Faulk County,"2,640","2,617","2,547","2,514","2,493","2,440","2,411","2,398","2,406","2,415","2,349","2,364","2,364"
.Grant County,"7,845","7,835","7,699","7,672","7,703","7,582","7,454","7,410","7,401","7,389","7,369","7,356","7,340"
.Gregory County,"4,790","4,766","4,632","4,550","4,494","4,431","4,378","4,311","4,267","4,254","4,260","4,271","4,268"
.Haakon County,"2,196","2,201","2,174","2,134","2,112","2,080","2,030","1,984","1,957","1,945","1,953","1,937","1,924"
.Hamlin County,"5,530","5,546","5,551","5,566","5,558","5,559","5,625","5,595","5,696","5,753","5,843","5,903","5,920"
.Hand County,"3,741","3,716","3,650","3,589","3,547","3,415","3,396","3,390","3,389","3,396","3,399","3,431","3,438"
.Hanson County,"3,144","3,152","3,263","3,287","3,335","3,503","3,511","3,414","3,417","3,399","3,345","3,331","3,330"
.Harding County,"1,353","1,345","1,337","1,317","1,332","1,278","1,257","1,278","1,274","1,252","1,263","1,255","1,249"
.Hughes County,"16,483","16,505","16,351","16,479","16,514","16,573","16,682","16,717","16,788","16,690","16,867","17,022","17,074"
.Hutchinson County,"8,074","8,060","7,925","7,803","7,769","7,660","7,594","7,471","7,436","7,363","7,325","7,343","7,343"
.Hyde County,"1,671","1,655","1,607","1,552","1,587","1,616","1,601","1,531","1,467","1,430","1,420","1,420","1,417"
.Jackson County,"2,929","2,940","2,846","2,876","2,927","2,939","2,982","2,976","3,008","2,950","2,982","3,031","3,039"
.Jerauld County,"2,286","2,259","2,225","2,197","2,155","2,102","2,105","2,059","2,006","2,023","2,019","2,071","2,085"
.Jones County,"1,193","1,182","1,136","1,113","1,074","1,068","1,033","1,046","1,014",976,990,"1,006","1,012"
.Kingsbury County,"5,815","5,803","5,635","5,524","5,435","5,311","5,318","5,228","5,177","5,142","5,146","5,148","5,152"
.Lake County,"11,270","11,217","11,143","10,922","10,767","10,612","10,624","10,659","10,920","11,119","11,084","11,200","11,260"
.Lawrence County,"21,805","21,763","21,738","21,763","22,135","22,610","22,889","23,172","23,543","23,659","23,781","24,097","24,193"
.Lincoln County,"24,158","24,557","26,322","28,032","29,720","32,343","34,598","36,885","39,260","41,590","43,522","44,828","45,190"
.Lyman County,"3,899","3,908","3,879","3,863","3,860","3,827","3,756","3,754","3,765","3,669","3,723","3,755","3,770"
.McCook County,"5,825","5,840","5,854","5,772","5,776","5,805","5,793","5,679","5,699","5,598","5,592","5,618","5,628"
.McPherson County,"2,904","2,889","2,826","2,770","2,728","2,663","2,627","2,571","2,518","2,517","2,469","2,459","2,454"
.Marshall County,"4,578","4,593","4,515","4,446","4,420","4,542","4,625","4,616","4,591","4,618","4,608","4,656","4,659"
.Meade County,"24,230","24,252","24,371","24,646","24,573","25,064","25,089","25,085","24,995","24,931","25,314","25,434","25,454"
.Mellette County,"2,083","2,084","2,070","2,042","2,070","2,014","2,027","2,030","2,040","2,000","2,041","2,048","2,051"
.Miner County,"2,836","2,835","2,769","2,711","2,592","2,551","2,508","2,474","2,420","2,372","2,407","2,389","2,382"
.Minnehaha County,"148,321","149,068","150,775","152,062","153,740","155,648","157,778","160,630","163,577","166,320","168,482","169,468","169,987"
.Moody County,"6,586","6,571","6,581","6,515","6,472","6,514","6,542","6,537","6,570","6,501","6,449","6,486","6,498"
.Pennington County,"88,619","88,872","89,953","90,677","91,117","92,560","93,099","94,394","95,895","98,128","99,845","100,948","101,348"
.Perkins County,"3,368","3,333","3,269","3,243","3,141","3,046","2,984","2,977","2,963","2,936","2,943","2,982","2,995"
.Potter County,"2,693","2,679","2,592","2,555","2,554","2,516","2,444","2,413","2,351","2,285","2,283","2,329","2,339"
.Roberts County,"10,013","10,004","10,023","9,855","9,986","10,033","9,939","9,977","9,986","9,997","10,013","10,149","10,193"
.Sanborn County,"2,676","2,658","2,553","2,538","2,567","2,541","2,457","2,410","2,395","2,374","2,367","2,355","2,352"
.Shannon County,"12,466","12,542","12,602","12,872","12,993","12,983","13,150","13,404","13,345","13,368","13,425","13,586","13,644"
.Spink County,"7,452","7,413","7,204","7,071","6,937","6,886","6,814","6,714","6,562","6,472","6,435","6,415","6,409"
.Stanley County,"2,772","2,777","2,745","2,725","2,764","2,843","2,822","2,845","2,886","2,864","2,906","2,966","2,983"
.Sully County,"1,553","1,545","1,533","1,487","1,436","1,410","1,407","1,422","1,436","1,375","1,367","1,373","1,374"
.Todd County,"9,050","9,065","9,157","9,233","9,260","9,452","9,484","9,505","9,631","9,559","9,521","9,612","9,659"
