table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Tennessee: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
Tennessee,"5,689,427","5,703,719","5,750,789","5,795,918","5,847,812","5,910,809","5,991,057","6,088,766","6,175,727","6,247,411","6,306,019","6,346,105","6,356,897"
.Anderson County,"71,470","71,357","71,461","71,515","71,608","71,587","72,040","73,117","73,580","74,397","75,031","75,129","75,160"
.Bedford County,"37,608","37,806","38,414","38,960","39,697","40,558","41,616","42,780","43,678","44,395","44,845","45,058","45,161"
.Benton County,"16,534","16,537","16,673","16,572","16,531","16,517","16,515","16,435","16,490","16,431","16,424","16,489","16,499"
.Bledsoe County,"12,349","12,390","12,468","12,446","12,502","12,610","12,685","12,847","13,028","13,070","12,924","12,876","12,863"
.Blount County,"105,824","106,193","107,916","109,515","111,156","113,151","115,336","118,228","119,950","121,716","122,689","123,010","123,119"
.Bradley County,"87,973","88,206","88,934","89,711","90,399","91,814","93,024","94,638","96,336","97,547","98,360","98,963","99,078"
.Campbell County,"39,839","39,880","39,802","39,824","39,957","40,371","40,397","40,475","40,480","40,672","40,790","40,716","40,696"
.Cannon County,"12,836","12,912","12,990","12,965","13,020","13,114","13,153","13,280","13,435","13,822","13,823","13,801","13,795"
.Carroll County,"29,446","29,423","29,447","29,146","29,145","29,104","28,707","28,791","28,793","28,645","28,474","28,522","28,518"
.Carter County,"56,731","56,789","56,770","56,682","57,530","57,532","57,693","57,877","57,781","57,895","57,639","57,424","57,358"
.Cheatham County,"35,843","35,979","36,377","36,709","36,897","37,256","37,668","38,186","38,637","38,947","39,170","39,105","39,103"
.Chester County,"15,540","15,549","15,856","15,900","15,672","16,225","16,355","16,491","16,622","16,840","16,864","17,131","17,146"
.Claiborne County,"29,861","29,930","30,095","30,099","30,511","30,830","31,206","31,481","31,729","32,006","32,056","32,213","32,234"
.Clay County,"7,960","7,968","7,921","7,924","7,909","7,947","7,954","7,977","7,901","7,862","7,830","7,861","7,871"
.Cocke County,"33,548","33,595","33,618","33,920","34,234","34,393","34,644","35,001","35,272","35,666","35,811","35,662","35,616"
.Coffee County,"48,052","48,224","48,594","49,074","49,602","50,077","50,834","51,646","52,022","52,460","52,813","52,796","52,780"
.Crockett County,"14,529","14,545","14,546","14,487","14,365","14,434","14,437","14,430","14,491","14,541","14,573","14,586","14,586"
.Cumberland County,"46,781","47,027","47,849","48,918","49,607","50,584","51,758","53,363","54,534","55,184","55,672","56,053","56,130"
.Davidson County,"569,927","570,439","574,119","574,215","577,231","583,013","589,787","597,597","605,031","612,649","621,008","626,681","628,133"
.Decatur County,"11,711","11,687","11,691","11,659","11,600","11,655","11,597","11,567","11,721","11,769","11,779","11,757","11,742"
.DeKalb County,"17,413","17,443","17,498","17,678","17,883","18,051","18,150","18,289","18,414","18,693","18,720","18,723","18,727"
.Dickson County,"43,152","43,362","43,987","44,586","45,241","45,727","46,361","47,229","48,287","48,929","49,380","49,666","49,733"
.Dyer County,"37,284","37,325","37,156","37,166","37,332","37,520","37,882","38,043","38,077","38,149","38,254","38,335","38,349"
.Fayette County,"28,799","29,083","30,139","30,936","31,929","33,005","33,831","35,667","36,953","37,851","38,386","38,413","38,432"
.Fentress County,"16,615","16,630","16,711","16,865","16,934","16,959","17,167","17,514","17,599","17,851","17,975","17,959","17,946"
.Franklin County,"39,258","39,298","39,577","39,889","40,084","40,359","40,531","40,877","41,151","41,093","41,141","41,052","41,010"
.Gibson County,"48,092","48,125","47,973","47,897","47,719","47,834","47,924","48,101","48,474","49,209","49,575","49,683","49,717"
.Giles County,"29,433","29,460","29,613","29,479","29,320","29,382","29,454","29,515","29,494","29,705","29,695","29,485","29,380"
.Grainger County,"20,610","20,653","20,715","20,932","21,248","21,502","21,871","22,175","22,309","22,380","22,513","22,657","22,716"
.Greene County,"62,911","63,081","63,622","64,070","64,614","65,364","66,369","67,153","67,840","68,328","68,744","68,831","68,797"
.Grundy County,"14,322","14,306","14,156","14,156","14,098","14,146","14,139","14,073","14,048","13,963","13,777","13,703","13,688"
.Hamblen County,"58,136","58,230","58,710","58,285","58,618","59,114","59,918","60,629","61,592","62,101","62,330","62,544","62,634"
.Hamilton County,"308,115","308,547","310,254","311,890","313,079","315,396","317,901","321,350","324,784","328,711","332,659","336,463","337,294"
.Hancock County,"6,776","6,786","6,814","6,798","6,694","6,739","6,805","6,730","6,816","6,765","6,768","6,819","6,831"
.Hardeman County,"28,108","28,124","28,125","28,093","27,948","27,816","27,824","27,816","27,835","27,837","27,612","27,253","27,174"
.Hardin County,"25,589","25,571","25,737","25,758","25,657","25,514","25,710","25,863","25,983","26,059","26,045","26,026","26,025"
