SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,PPOPCHG_2020,PPOPCHG_2021,PPOPCHG_2022,PPOPCHG_2023,NRANK_ESTBASE2020,NRANK_POPEST2020,NRANK_POPEST2021,NRANK_POPEST2022,NRANK_POPEST2023,NRANK_NPCHG2020,NRANK_NPCHG2021,NRANK_NPCHG2022,NRANK_NPCHG2023,NRANK_PPCHG2020,NRANK_PPCHG2021,NRANK_PPCHG2022,NRANK_PPCHG2023
010,0,0,00,United States,331464948,331526933,332048977,333271411,334914895,61985,522044,1222434,1643484,0.0187003182,0.1574665428,0.3681487024,0.4931368085,X,X,X,X,X,X,X,X,X,X,X,X,X
020,1,0,00,Northeast Region,57614141,57430477,57243423,57026847,56983517,-183664,-187054,-216576,-43330,-0.318782849,-0.325705113,-0.378342155,-0.075981756,4,4,4,4,4,4,4,4,4,4,4,4,4
030,1,1,00,New England,15119994,15057898,15106108,15120739,15159777,-62096,48210,14631,39038,-0.410687994,0.3201642088,0.0968548616,0.2581752122,9,9,9,9,9,8,4,6,7,9,4,6,6
030,1,2,00,Middle Atlantic,42494147,42372579,42137315,41906108,41823740,-121568,-235264,-231207,-82368,-0.286081751,-0.555227002,-0.548698938,-0.196553686,4,4,4,4,5,9,8,9,9,8,8,9,9
020,2,0,00,Midwest Region,68987296,68969794,68850246,68783028,68909283,-17502,-119548,-67218,126255,-0.025369888,-0.173333851,-0.097629281,0.183555455,3,3,3,3,3,3,3,3,3,3,3,3,2
030,2,3,00,East North Central,47369629,47345074,47187461,47098310,47146039,-24555,-157613,-89151,47729,-0.051837011,-0.332902637,-0.188929428,0.1013390926,3,3,3,3,3,7,7,8,6,7,7,8,7
030,2,4,00,West North Central,21617667,21624720,21662785,21684718,21763244,7053,38065,21933,78526,0.0326260924,0.1760254006,0.1012473696,0.3621259912,7,7,7,7,7,5,6,5,5,5,6,5,5
020,3,0,00,South Region,126268529,126465281,127353282,128702030,130125290,196752,888001,1348748,1423260,0.1558202995,0.7021697916,1.0590602604,1.1058566831,1,1,1,1,1,1,1,1,1,1,1,1,1
030,3,5,00,South Atlantic,66091701,66174797,66673601,67445114,68225883,83096,498804,771513,780769,0.1257283422,0.7537673293,1.1571491391,1.1576361188,1,1,1,1,1,2,1,1,1,3,3,1,2
030,3,6,00,East South Central,19402683,19424519,19471271,19573370,19700801,21836,46752,102099,127431,0.1125411367,0.2406854965,0.5243571413,0.6510427177,8,8,8,8,8,4,5,4,4,4,5,4,4
030,3,7,00,West South Central,40774145,40865965,41208410,41683546,42198606,91820,342445,475136,515060,0.2251917238,0.8379711577,1.1530073594,1.2356434359,5,5,5,5,4,1,2,2,2,2,2,2,1
020,4,0,00,West Region,78594982,78661381,78602026,78759506,78896805,66399,-59355,157480,137299,0.0844824928,-0.075456341,0.2003510698,0.1743268933,2,2,2,2,2,2,2,2,2,2,2,2,3
030,4,8,00,Mountain,24925576,25004426,25277400,25522359,25716830,78850,272974,244959,194471,0.3163417367,1.0917027249,0.9690830544,0.7619632652,6,6,6,6,6,3,3,3,3,1,1,3,3
030,4,9,00,Pacific,53669406,53656955,53324626,53237147,53179975,-12451,-332329,-87479,-57172,-0.023199437,-0.619358665,-0.164049908,-0.107391179,2,2,2,2,2,6,9,7,8,6,9,7,8
040,3,6,01,Alabama,5024294,5031864,5050380,5073903,5108468,7570,18516,23523,34565,0.1506679346,0.3679749691,0.4657669324,0.6812309971,24,24,24,24,24,14,17,14,11,15,21,20,16
040,4,9,02,Alaska,733374,732964,734923,733276,733406,-410,1959,-1647,130,-0.055905991,0.267270971,-0.22410511,0.0177286588,48,48,48,48,48,34,30,34,43,36,25,41,43
040,4,8,04,Arizona,7157902,7186683,7272487,7365684,7431344,28781,85804,93197,65660,0.402087092,1.1939304962,1.2815010876,0.8914311285,14,14,14,14,14,3,4,5,7,2,6,8,12
040,3,7,05,Arkansas,3011490,3014348,3028443,3046404,3067732,2858,14095,17961,21328,0.0949031875,0.4675969729,0.5930770366,0.7001041228,33,33,33,33,33,21,22,17,19,21,19,17,15
040,4,9,06,California,39538212,39503200,39145060,39040616,38965193,-35012,-358140,-104444,-75423,-0.08855231,-0.906610097,-0.266812722,-0.193191112,1,1,1,1,1,49,51,49,50,41,50,42,46
040,4,8,08,Colorado,5773707,5785219,5811596,5841039,5877610,11512,26377,29443,36571,0.1993866332,0.455937796,0.5066250304,0.6261043626,21,21,21,21,21,10,12,12,9,11,20,19,18
040,1,1,09,Connecticut,3605912,3577586,3603691,3608706,3617176,-28326,26105,5015,8470,-0.785543297,0.7296819699,0.139162875,0.2347101703,29,29,29,29,29,48,13,25,30,50,13,27,33
040,3,5,10,Delaware,989946,991862,1004881,1019459,1031890,1916,13019,14578,12431,0.1935459106,1.3125817906,1.4507190404,1.2193722357,45,45,45,45,45,22,23,19,26,12,4,7,6
