table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of California: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
.Santa Cruz County,"255,614","255,835","256,045","254,531","253,021","252,356","251,377","251,616","253,304","256,520","260,009","262,382","263,054"
.Shasta County,"163,242","163,615","166,408","170,198","173,202","174,867","175,615","176,166","176,548","177,247","177,279","177,223","177,291"
.Sierra County,"3,559","3,574","3,518","3,482","3,511","3,430","3,378","3,424","3,373","3,320","3,248","3,240","3,236"
.Siskiyou County,"44,305","44,218","43,908","43,965","44,287","44,394","44,641","44,487","44,465","44,780","44,788","44,900","44,929"
.Solano County,"394,495","396,974","404,209","408,226","408,409","409,301","408,181","408,402","408,243","408,972","410,290","413,344","414,305"
.Sonoma County,"458,586","460,421","465,293","465,298","466,489","466,809","465,938","465,188","467,356","473,091","479,479","483,878","485,120"
.Stanislaus County,"446,850","449,471","463,761","477,469","487,357","492,613","500,020","504,651","507,834","509,032","511,536","514,453","515,358"
.Sutter County,"78,947","79,192","80,138","82,162","84,671","86,484","88,764","91,112","92,959","93,855","94,366","94,737","94,806"
.Tehama County,"56,060","56,170","56,685","57,380","58,528","59,571","60,602","61,587","62,147","62,648","62,891","63,463","63,604"
.Trinity County,"13,011","12,980","12,859","13,064","13,210","13,159","13,440","13,634","13,648","13,656","13,762","13,786","13,804"
.Tulare County,"368,011","368,627","373,171","379,568","388,743","398,226","407,970","414,921","422,140","429,283","436,987","442,179","443,688"
.Tuolumne County,"54,522","54,658","55,253","55,850","56,513","56,602","56,788","56,680","56,339","56,320","55,845","55,365","55,186"
.Ventura County,"753,230","756,506","766,689","779,489","788,070","793,994","794,197","798,183","800,027","806,353","815,130","823,318","825,706"
.Yolo County,"168,660","169,835","175,337","180,327","182,954","185,237","186,269","189,615","194,339","197,154","199,791","200,849","201,190"
.Yuba County,"60,249","60,372","61,249","62,100","62,733","63,742","66,285","69,272","70,761","71,773","71,607","72,155","72,388"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of California: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-06)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
