table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Mississippi: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
Mississippi,"2,844,754","2,848,353","2,852,994","2,858,681","2,868,312","2,889,010","2,905,943","2,904,978","2,928,350","2,947,806","2,958,774","2,967,297","2,970,036"
.Adams County,"34,339","34,246","33,945","33,730","33,482","32,785","32,674","33,220","32,889","32,629","32,305","32,297","32,251"
.Alcorn County,"34,519","34,600","34,746","34,946","35,045","35,448","35,688","36,183","36,608","36,793","36,868","37,057","37,088"
.Amite County,"13,565","13,546","13,471","13,401","13,415","13,337","13,396","13,586","13,400","13,324","13,171","13,131","13,110"
.Attala County,"19,654","19,620","19,595","19,549","19,469","19,330","19,265","19,431","19,511","19,622","19,611","19,564","19,552"
.Benton County,"8,031","8,034","8,006","8,004","8,073","8,146","8,307","8,479","8,603","8,769","8,689","8,729","8,720"
.Bolivar County,"40,619","40,381","39,723","38,634","38,027","37,211","36,305","36,102","35,628","35,032","34,450","34,145","34,103"
.Calhoun County,"15,060","15,044","14,991","14,906","14,887","14,857","14,803","14,947","14,967","14,912","14,940","14,962","14,957"
.Carroll County,"10,751","10,764","10,699","10,567","10,565","10,544","10,473","10,534","10,630","10,694","10,604","10,597","10,580"
.Chickasaw County,"19,447","19,372","19,266","18,976","18,811","18,642","18,369","18,074","17,884","17,639","17,439","17,392","17,410"
.Choctaw County,"9,759","9,742","9,545","9,468","9,358","9,132","9,026","8,894","8,680","8,703","8,576","8,547","8,545"
.Claiborne County,"11,837","11,792","11,519","11,277","10,889","10,772","10,646","10,358","9,962","9,940","9,822","9,604","9,559"
.Clarke County,"17,796","17,749","17,556","17,402","17,235","17,133","16,905","16,976","16,857","16,772","16,671","16,732","16,763"
.Clay County,"21,984","21,984","21,811","21,845","21,484","21,531","21,245","21,139","21,017","20,878","20,804","20,634","20,577"
.Coahoma County,"30,617","30,526","30,172","29,662","29,055","28,508","27,875","27,441","27,025","26,549","26,257","26,151","26,134"
.Copiah County,"28,763","28,761","28,857","28,762","29,058","29,157","29,134","29,540","29,565","29,584","29,484","29,449","29,430"
.Covington County,"19,418","19,426","19,332","19,458","19,660","19,621","19,480","19,555","19,510","19,594","19,516","19,568","19,612"
.DeSoto County,"107,252","108,714","113,401","118,603","124,347","130,767","136,915","145,220","150,688","156,214","159,706","161,252","161,746"
.Forrest County,"71,934","71,982","71,846","71,584","71,747","71,732","72,043","73,219","74,057","74,196","74,863","74,934","75,113"
.Franklin County,"8,419","8,414","8,286","8,130","8,150","8,196","8,076","8,111","8,165","8,136","8,112","8,118","8,125"
.George County,"19,224","19,257","19,459","19,811","20,166","20,326","20,699","21,382","21,764","22,193","22,280","22,578","22,686"
.Greene County,"13,287","13,295","13,231","13,258","13,323","13,155","13,201","13,135","13,776","14,293","14,449","14,400","14,391"
.Grenada County,"23,273","23,160","22,898","22,684","22,410","22,222","22,173","22,388","22,335","22,194","22,036","21,906","21,890"
.Hancock County,"42,945","43,307","44,172","45,058","45,772","46,717","47,715","40,087","41,707","42,764","43,471","43,929","44,012"
.Harrison County,"189,577","190,071","190,922","192,145","191,290","195,971","197,784","174,449","179,054","182,735","184,930","187,105","187,785"
.Hinds County,"250,752","250,474","248,941","247,857","247,449","248,147","247,370","248,989","246,546","244,695","244,474","245,285","245,629"
.Holmes County,"21,608","21,564","21,091","20,837","20,399","20,257","20,052","19,932","19,710","19,755","19,461","19,198","19,127"
