table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Ohio: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
.Lorain County,"284,657","285,095","285,827","287,489","290,622","292,125","294,873","297,259","298,609","299,814","300,893","301,356","301,449"
.Lucas County,"455,093","454,904","454,855","454,240","453,778","451,255","449,224","446,769","445,482","443,909","442,603","441,815","441,468"
.Madison County,"40,210","40,218","40,256","40,539","40,879","41,122","41,292","41,865","42,392","43,163","43,353","43,435","43,446"
.Mahoning County,"257,588","257,104","255,264","252,998","251,696","249,825","247,702","246,112","243,453","241,572","240,050","238,823","238,310"
.Marion County,"66,198","66,135","66,156","66,188","66,372","66,361","66,468","66,345","66,487","66,840","66,497","66,501","66,482"
.Medina County,"151,096","151,751","154,363","157,502","160,325","163,048","164,953","167,298","168,775","170,330","171,688","172,332","172,592"
.Meigs County,"23,058","23,028","23,119","23,305","23,441","23,506","23,588","23,586","23,612","23,534","23,770","23,770","23,745"
.Mercer County,"40,936","40,913","40,819","40,843","40,841","40,889","40,967","41,063","41,055","41,022","40,855","40,814","40,793"
.Miami County,"98,899","99,015","99,300","99,579","100,120","100,775","101,564","102,028","102,130","102,430","102,526","102,506","102,461"
.Monroe County,"15,172","15,172","15,107","15,006","15,048","15,113","14,943","14,818","14,774","14,833","14,742","14,642","14,590"
.Montgomery County,"559,141","558,522","555,536","553,170","551,742","549,713","546,979","543,620","540,667","537,664","535,294","535,153","535,059"
.Morgan County,"14,947","14,944","14,942","14,917","14,999","15,130","15,216","15,189","15,175","15,104","15,073","15,054","15,025"
.Morrow County,"31,646","31,813","32,438","32,955","33,524","34,025","34,271","34,561","34,937","34,877","34,907","34,827","34,793"
.Muskingum County,"84,549","84,732","84,789","85,247","85,418","85,589","85,696","86,023","85,939","85,874","85,779","86,074","86,142"
.Noble County,"14,058","14,108","13,857","13,931","14,221","14,352","14,210","14,616","14,614","14,653","14,649","14,645","14,637"
.Ottawa County,"40,974","40,983","41,015","41,029","41,329","41,564","41,629","41,641","41,690","41,554","41,498","41,428","41,381"
.Paulding County,"20,297","20,251","20,183","19,972","19,887","19,803","19,810","19,748","19,735","19,670","19,659","19,614","19,581"
.Perry County,"34,052","34,099","34,375","34,629","34,944","35,117","35,254","35,430","35,582","36,150","35,996","36,058","36,058"
.Pickaway County,"52,728","52,808","52,344","51,778","51,983","52,238","52,954","54,094","55,044","55,376","55,323","55,698","55,803"
.Pike County,"27,628","27,688","27,807","28,072","28,258","28,427","28,299","28,590","28,645","28,763","28,679","28,709","28,692"
.Portage County,"152,126","152,504","153,554","154,667","155,976","156,774","157,469","157,773","159,148","160,184","161,226","161,419","161,386"
.Preble County,"42,340","42,381","42,427","42,587","42,640","42,613","42,584","42,651","42,561","42,688","42,424","42,270","42,185"
.Putnam County,"34,722","34,750","34,746","34,643","34,758","34,680","34,798","34,781","34,752","34,655","34,583","34,499","34,464"
.Richland County,"128,932","128,853","128,187","128,363","128,312","128,094","127,724","127,292","126,995","126,128","125,308","124,475","124,177"
.Ross County,"73,382","73,507","73,840","74,363","75,008","75,251","75,935","76,639","77,419","77,675","77,862","78,064","78,090"
.Sandusky County,"61,797","61,812","61,788","61,918","61,784","61,930","61,865","61,745","61,571","61,184","61,039","60,944","60,882"
.Scioto County,"79,215","79,168","78,784","78,652","78,278","77,788","77,926","78,285","78,775","79,133","79,241","79,499","79,506"
.Seneca County,"58,663","58,588","58,376","58,090","58,006","57,857","57,664","57,406","57,289","57,199","56,897","56,745","56,662"
