table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Nebraska: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
Nebraska,"1,711,230","1,713,820","1,719,836","1,728,292","1,738,643","1,749,370","1,761,497","1,772,693","1,783,440","1,796,378","1,812,683","1,826,341","1,830,429"
.Adams County,"31,150","31,154","31,021","30,716","30,693","30,740","30,987","30,910","30,892","31,160","31,280","31,364","31,388"
.Antelope County,"7,447","7,435","7,242","7,229","7,172","7,063","6,994","6,836","6,767","6,704","6,739","6,685","6,664"
.Arthur County,444,445,423,421,439,433,428,450,457,453,442,460,463
.Banner County,815,819,808,769,763,749,731,733,715,677,686,690,690
.Blaine County,583,583,564,551,545,515,492,493,463,456,477,478,478
.Boone County,"6,259","6,214","6,146","6,053","5,888","5,813","5,746","5,623","5,582","5,548","5,514","5,505","5,500"
.Box Butte County,"12,159","12,235","11,985","11,951","11,719","11,528","11,422","11,338","11,409","11,482","11,347","11,308","11,285"
.Boyd County,"2,443","2,431","2,390","2,352","2,304","2,246","2,219","2,143","2,109","2,102","2,075","2,099","2,107"
.Brown County,"3,525","3,534","3,510","3,497","3,478","3,441","3,329","3,319","3,225","3,149","3,115","3,145","3,154"
.Buffalo County,"42,232","42,310","42,418","42,949","43,251","43,753","44,131","44,645","45,060","45,343","45,970","46,102","46,165"
.Burt County,"7,791","7,786","7,659","7,486","7,366","7,399","7,225","7,122","6,999","6,967","6,885","6,858","6,847"
.Butler County,"8,857","8,826","8,878","8,817","8,716","8,631","8,479","8,396","8,375","8,355","8,387","8,395","8,398"
.Cass County,"24,319","24,365","24,460","24,602","24,868","25,074","25,170","25,240","25,256","25,322","25,122","25,241","25,291"
.Cedar County,"9,626","9,604","9,470","9,391","9,291","9,246","9,240","9,060","8,941","8,839","8,854","8,852","8,837"
.Chase County,"4,068","4,053","4,003","4,045","4,090","4,018","3,983","3,965","3,913","3,865","3,921","3,966","3,971"
.Cherry County,"6,149","6,152","6,060","6,054","6,031","6,064","6,039","5,927","5,834","5,752","5,683","5,713","5,717"
.Cheyenne County,"9,833","9,832","9,943","9,973","9,935","9,970","10,125","9,943","10,139","10,150","10,032","9,998","9,979"
.Clay County,"7,036","7,029","6,944","6,899","6,859","6,795","6,669","6,609","6,564","6,543","6,512","6,542","6,543"
.Colfax County,"10,434","10,452","10,440","10,478","10,433","10,457","10,238","9,993","9,993","10,083","10,380","10,515","10,558"
.Cuming County,"10,203","10,169","10,054","9,962","9,832","9,709","9,642","9,440","9,286","9,215","9,132","9,139","9,140"
.Custer County,"11,794","11,784","11,593","11,508","11,388","11,328","11,248","11,090","11,005","11,001","10,999","10,939","10,912"
.Dakota County,"20,265","20,296","20,331","20,374","20,488","20,410","20,191","20,295","20,564","20,559","20,924","21,006","21,028"
.Dawes County,"9,060","9,054","9,162","9,227","9,306","9,127","9,087","9,040","9,181","9,134","9,218","9,182","9,170"
.Dawson County,"24,370","24,410","24,359","24,149","24,175","24,112","24,085","24,291","24,178","24,160","24,212","24,326","24,383"
.Deuel County,"2,089","2,086","2,085","2,029","2,027","2,025","1,999","1,969","1,982","1,986","1,941","1,941","1,936"
.Dixon County,"6,277","6,246","6,156","6,064","5,984","5,908","5,961","5,987","5,993","6,004","6,013","6,000","6,003"
.Dodge County,"36,150","36,231","36,143","36,060","36,184","36,267","36,442","36,597","36,647","36,548","36,604","36,691","36,707"
.Douglas County,"463,567","464,701","468,125","471,866","476,701","482,075","488,114","493,757","498,743","504,547","511,902","517,110","518,777"
.Dundy County,"2,292","2,268","2,179","2,159","2,170","2,154","2,091","2,051","2,010","1,973","1,997","2,008","2,008"
.Fillmore County,"6,634","6,607","6,493","6,376","6,371","6,281","6,126","6,053","5,985","5,940","5,898","5,890","5,889"
.Franklin County,"3,569","3,544","3,467","3,484","3,440","3,411","3,425","3,352","3,207","3,167","3,186","3,225","3,235"
.Frontier County,"3,089","3,085","3,069","3,037","2,981","2,990","2,944","2,879","2,860","2,786","2,772","2,756","2,743"
.Furnas County,"5,324","5,299","5,232","5,261","5,207","5,112","5,051","5,016","4,929","4,873","4,934","4,959","4,958"
.Gage County,"22,992","22,955","23,039","23,031","23,056","23,052","22,866","22,875","22,843","22,574","22,364","22,311","22,301"
.Garden County,"2,294","2,289","2,306","2,284","2,304","2,245","2,111","2,120","2,046","2,004","2,010","2,057","2,065"
.Garfield County,"1,902","1,899","1,913","1,945","1,936","1,955","1,969","1,984","1,977","2,001","2,029","2,049","2,047"
