IndicatorCode,ConvertToInt,ExistingStatVar,IndicatorName,SourceNote,Source,populationType,statType,measuredProp,p1,v1,p2,v2,p3,v3,measurementDenominator,scalingFactor,sourceScalingFactor,measurementMethod,unit
AG.LND.PRCP.MM,,,Average precipitation in depth (mm per year),Average precipitation is the long-term average in depth (over space and time) of annual precipitation in the country. Precipitation is defined as any kind of water that falls from clouds as a liquid or a solid.,"Food and Agriculture Organization, electronic files and web site.",,meanValue,rainfall,,,,,,,,,,,Millimeter
AG.SRF.TOTL.K2,,,Surface area (sq. km),"Surface area is a country's total area, including areas under inland bodies of water and some coastal waterways.","Food and Agriculture Organization, electronic files and web site.",,,area,,,,,,,,,,,SquareKilometer
