Aimag,Код,"Work, profession",Gender,Age group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Total,0, Manager,Total,Total,4583,126,67047,581,258,2715,5618,8656,10032,15867,20647,20257,10372,7516,0,102519
Total,0, Manager,Total,15-19,3284,0,73306,298,794,1635,1972,5991,6893,9596,12666,13989,8503,4583,126,67047
Total,0, Manager,Total,20-24,1658,0,81816,481,504,990,4120,6183,9646,10279,15374,13039,9407,3284,0,73306
Total,0, Manager,Total,25-29,2658,0,81566,629,1393,1737,5520,8706,7051,9967,17045,14543,13567,1658,0,81816
Total,0, Manager,Total,30-34,3662,83,71649,704,1490,1940,3877,8419,9411,10667,11854,18612,11934,2658,0,81566
Total,0, Manager,Total,35-39,3465,35,78076,479,285,1631,1787,5928,8768,12315,15963,12614,8133,3662,83,71649
Total,0, Manager,Total,40-44,1746,0,81158,319,397,1458,5103,7722,11434,12121,11406,17525,7090,3465,35,78076
Total,0, Manager, Male,Total,2085,126,32708,287,160,2046,3765,3915,5484,9109,11358,10764,6459,3735,0,57082
Total,0, Manager, Male,45-49,1718,0,43697,86,250,955,3011,5118,8957,6509,5291,8799,6566,1165,0,46707
Total,0, Manager, Male,50-54,1329,0,44984,91,178,739,2925,4748,5954,6680,7410,6865,6388,1718,0,43697
Total,0, Manager, Male,55-59,908,0,40633,0,146,470,2348,3706,6937,7877,8542,7125,6504,1329,0,44984
Total,0, Manager, Male,60-64,2497,139,41423,154,118,711,2102,4820,5514,6770,7639,6209,5687,908,0,40633
Total,0, Manager, Male,65-69,1514,0,33954,0,135,522,2536,5130,5467,6871,6496,6429,5200,2497,139,41423
Total,0, Manager, Male,70+,1746,110,35254,61,115,689,2159,3587,4911,4759,5669,5194,5296,1514,0,33954
Total,0, Manager, Female,Total,2498,0,34339,294,98,669,1853,4741,4548,6758,9289,9492,3913,3782,0,45436
Total,0, Manager, Female,15-19,1495,0,31277,298,720,496,1324,4104,3611,3714,5440,6795,5338,2498,0,34339
Total,0, Manager, Female,20-24,1163,0,35636,302,24,505,1694,2865,4922,4724,5708,5436,3603,1495,0,31277
Total,0, Manager, Female,25-29,1131,0,40244,229,402,922,2686,3455,3828,3559,7393,5997,6003,1163,0,35636
Total,0, Manager, Female,30-34,1708,83,30794,141,773,647,2425,4542,4710,7048,5966,6721,6138,1131,0,40244
Total,0, Manager, Female,35-39,2046,35,30392,14,183,1328,1129,2413,4697,4780,6389,5120,2950,1708,83,30794
Total,0, Manager, Female,40-44,581,0,34451,35,0,566,1723,3390,3944,5061,4522,6758,2312,2046,35,30392
