Aimag,Код,Statistical indicator,Gender,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
    Bayan-Ulgii,183,Total,Total,15.1,38.2,23.1,29.7,68.5,42.6,74.4,74.7,74.6,86.2,92.8,89.9,66.7,92.6,76.7,70.2,78.6,75,65.2,88.4,77.2,52.1,79.9,65.2,40.5,48.7,44.4,3.3,10,5.5,43.2,64.4,53.2
    Bayan-Ulgii,183,Total,Men,0,24.4,13.2,15.1,38.2,23.1,29.7,68.5,42.6,74.4,74.7,74.6,86.2,92.8,89.9,66.7,92.6,76.7,70.2,78.6,75,65.2,88.4,77.2,52.1,79.9,65.2,40.5,48.7,44.4,3.3,10,5.5
    Bayan-Ulgii,183,Total,Women,0,15.5,8.8,0,24.4,13.2,15.1,38.2,23.1,29.7,68.5,42.6,74.4,74.7,74.6,86.2,92.8,89.9,66.7,92.6,76.7,70.2,78.6,75,65.2,88.4,77.2,52.1,79.9,65.2,40.5,48.7,44.4
    Bayan-Ulgii,183,15-19,Total,24.2,35.8,29.6,24.1,57.3,43.3,65,71.3,67.7,72.7,86.5,80.2,69.1,82,75.5,89.1,93.1,90.9,80.8,75.6,77.9,75.6,77,76.3,22,41.3,33.4,5.3,9.4,7.4,50.3,59,54.7
    Bayan-Ulgii,183,15-19,Men,0,29.8,13.3,24.2,35.8,29.6,24.1,57.3,43.3,65,71.3,67.7,72.7,86.5,80.2,69.1,82,75.5,89.1,93.1,90.9,80.8,75.6,77.9,75.6,77,76.3,22,41.3,33.4,5.3,9.4,7.4
    Bayan-Ulgii,183,15-19,Women,6.8,21.1,10.9,0,29.8,13.3,24.2,35.8,29.6,24.1,57.3,43.3,65,71.3,67.7,72.7,86.5,80.2,69.1,82,75.5,89.1,93.1,90.9,80.8,75.6,77.9,75.6,77,76.3,22,41.3,33.4
    Bayan-Ulgii,183,20-24,Total,18.6,38.2,26.1,40.3,71.6,58.5,42.4,70,54.9,83.3,88.8,86.4,62.1,87.5,75.2,90.3,77.5,83.1,57.2,74.7,66.3,59.4,81.1,69.2,22.1,50.7,33.9,2.1,5.4,4.3,44.7,58.2,51.6
    Bayan-Ulgii,183,20-24,Men,11.7,37.1,23.1,18.6,38.2,26.1,40.3,71.6,58.5,42.4,70,54.9,83.3,88.8,86.4,62.1,87.5,75.2,90.3,77.5,83.1,57.2,74.7,66.3,59.4,81.1,69.2,22.1,50.7,33.9,2.1,5.4,4.3
    Bayan-Ulgii,183,20-24,Women,0,4.4,2.3,11.7,37.1,23.1,18.6,38.2,26.1,40.3,71.6,58.5,42.4,70,54.9,83.3,88.8,86.4,62.1,87.5,75.2,90.3,77.5,83.1,57.2,74.7,66.3,59.4,81.1,69.2,22.1,50.7,33.9
    Bayan-Ulgii,183,25-29,Total,20.9,20.1,20.4,43,52.7,47.9,39.2,45.2,42.2,18,58.6,36.5,48.4,68.8,58.6,62.9,56.7,59.7,50.9,69.3,60.1,8.5,55.8,36.1,23.8,42.4,32.5,1.5,9.5,5.4,28.1,45.6,37.1
    Bayan-Ulgii,183,25-29,Men,9,46.5,26.4,20.9,20.1,20.4,43,52.7,47.9,39.2,45.2,42.2,18,58.6,36.5,48.4,68.8,58.6,62.9,56.7,59.7,50.9,69.3,60.1,8.5,55.8,36.1,23.8,42.4,32.5,1.5,9.5,5.4
    Bayan-Ulgii,183,25-29,Women,0,0,0,9,46.5,26.4,20.9,20.1,20.4,43,52.7,47.9,39.2,45.2,42.2,18,58.6,36.5,48.4,68.8,58.6,62.9,56.7,59.7,50.9,69.3,60.1,8.5,55.8,36.1,23.8,42.4,32.5
    Bayan-Ulgii,183,30-34,Total,16.6,2.3,9.7,19.5,13.4,16.2,34.2,66.8,52.1,57.1,67.3,61.1,38.8,42.6,40.5,27.5,35.3,31.8,42,46.1,44.1,28.7,38.3,33.5,25.5,36.7,32.4,3.6,7.5,5.4,26.5,32.4,29.5
    Bayan-Ulgii,183,30-34,Men,0,0,0,16.6,2.3,9.7,19.5,13.4,16.2,34.2,66.8,52.1,57.1,67.3,61.1,38.8,42.6,40.5,27.5,35.3,31.8,42,46.1,44.1,28.7,38.3,33.5,25.5,36.7,32.4,3.6,7.5,5.4
    Bayan-Ulgii,183,30-34,Women,0,0.9,0.5,0,0,0,16.6,2.3,9.7,19.5,13.4,16.2,34.2,66.8,52.1,57.1,67.3,61.1,38.8,42.6,40.5,27.5,35.3,31.8,42,46.1,44.1,28.7,38.3,33.5,25.5,36.7,32.4
    Bayan-Ulgii,183,35-39,Total,16.8,20.2,18.9,15.7,19.8,17.8,39.7,29,35.4,33.6,39,36.3,36.9,38.6,37.8,31.4,49.8,41.8,36.8,45.1,40,31.6,40.2,36.7,19.4,26.9,23.4,3.6,1.5,2.4,25.2,30.1,27.7
    Bayan-Ulgii,183,35-39,Men,0,0,0,16.8,20.2,18.9,15.7,19.8,17.8,39.7,29,35.4,33.6,39,36.3,36.9,38.6,37.8,31.4,49.8,41.8,36.8,45.1,40,31.6,40.2,36.7,19.4,26.9,23.4,3.6,1.5,2.4
    Bayan-Ulgii,183,35-39,Women,0,15.6,9.9,0,0,0,16.8,20.2,18.9,15.7,19.8,17.8,39.7,29,35.4,33.6,39,36.3,36.9,38.6,37.8,31.4,49.8,41.8,36.8,45.1,40,31.6,40.2,36.7,19.4,26.9,23.4
