gender,Aimag,Код,Education level,2008M06,2008-01,2008-02,2008-03,2008-04,2008-05,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009M08,2009M10,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-09,2009-11,2009-12,2010M02,2010M06,2010-01,2010-03,2010-04,2010-05,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04
Men,Khuvsgul,267,Technical and vocational,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,36,59,60,43,42,72,46,636,32,32,31,32,30,29,29,31,28,30,43,55,63,72,74,52,86,68,68,29,53,63,45,70,66,72,65,65,66,43,47,66,50,49,33,41,55,52,45,26,26,25,47,51,51,34,28,19,15,26,24,24,24,23,22,8,8,14,8,10,7,7,3,2,3,4,3,20,26,32,17,14,9,18,19,17,14,12,17,18,24,23,18,10,8,9,15,12,9,6,5,5,7,7,6,1,0,4,6,6,4,3,0,2,4,6,4,4,2
Men,Khuvsgul,267,Specialized secondary,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,68,74,75,43,47,77,49,140,34,34,38,38,39,43,42,36,30,31,27,22,23,30,51,72,56,29,18,27,38,31,17,19,19,22,16,15,17,14,20,19,22,22,25,20,28,26,26,14,19,16,25,26,29,18,14,8,8,16,15,15,5,7,7,5,6,11,14,10,7,7,9,7,7,9,10,16,13,16,11,10,6,7,6,5,5,6,8,9,12,11,12,7,9,13,13,11,8,8,5,9,10,11,5,3,3,4,5,6,4,3,2,3,5,6,6,6,6
Men,Khuvsgul,267,"Diploma, Bachelor",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,82,168,187,202,269,159,263,87,272,272,295,289,281,269,261,237,128,156,159,188,159,164,176,215,158,106,81,133,227,218,195,182,190,185,212,176,192,159,138,144,161,162,129,121,201,213,191,105,99,103,131,128,122,98,87,76,58,104,103,98,107,117,117,75,77,83,62,54,53,70,82,87,68,54,53,90,109,113,78,73,80,106,103,75,64,69,80,77,67,72,72,58,56,108,113,93,51,53,60,82,71,58,30,33,47,55,68,63,63,47,32,39,43,37,28,33,26
Men,Khuvsgul,267,"Master, Ph.D",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,45,2,2,2,2,2,2,2,2,0,1,1,1,1,0,1,2,2,1,2,3,2,1,1,1,3,5,2,2,1,1,1,1,3,3,3,3,4,5,4,3,1,0,0,0,0,0,0,0,0,2,2,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,4,4,4,1,2,2,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
Men,Centrel,3,Total,2766,2499,2558,2588,2880,2867,2784,2775,2709,2646,2533,2598,3647,3786,2705,2797,3059,3299,3332,3490,3579,3687,3583,3219,3392,3904,3356,3629,3669,3710,3872,3848,3771,3845,3836,3786,3754,3848,3660,3746,3889,3663,3582,3594,3633,3539,3425,3027,2939,3068,3813,4050,4300,3516,3030,3179,3319,3165,3181,2976,3035,3108,3291,3188,3798,3814,3560,3508,3753,4257,4620,4453,3083,3079,3043,3418,3852,3325,3397,3348,3509,3219,3313,3390,3411,3276,3322,3263,3348,3295,3037,3126,3252,3028,3048,2967,3179,3355,3134,3021,2789,2743,2852,2771,2691,2973,3030,3306,3254,3363,3443,3190,3179,2981,2866,2845,2765,2713,2805,2648,2510,2373,2249,2536,2284,2130,1856,2099,2350,2312,2330,2087,1791,1836,1874,1918,1946,1541,1756,1453,1627,1362,1679,1676,1668,1398,1501,1427,1512,1405,1353,1232,1191,1203,1373,1221,1282,409,569,938,924,758,391,444
Men,Centrel,3,Not educated,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,33,14,14,24,29,33,32,9,25,19,24,27,20,22,20,22,19,20,27,33,32,32,27,27,24,13,15,14,21,31,15,18,18,21,16,20,21,17,14,11,16,17,16,11,12,12,17,18,16,19,27,22,21,17,18,20,18,16,16,19,19,21,20,22,21,22,21,20,22,20,17,26,27,29,24,27,30,27,26,25,30,31,35,29,22,17,18,17,18,21,17,20,14,14,10,14,13,11,7,13,15,13,9,8,9,9,10,14,14,15,5,7,9,7,6,4,4
Men,Centrel,3,Primary,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,114,68,73,102,110,102,84,868,66,38,60,71,85,86,81,70,65,90,90,83,76,68,83,96,111,58,75,68,75,88,44,46,47,46,32,39,41,41,39,45,39,51,55,54,45,40,40,42,41,44,58,48,42,29,33,36,35,26,31,42,49,42,39,43,37,41,30,27,24,23,23,35,38,35,30,29,40,35,33,27,25,30,34,36,30,29,30,30,28,26,22,23,21,16,16,19,20,20,18,23,23,24,15,9,11,12,13,11,11,14,14,18,32,32,27,7,11
Men,Centrel,3,Lower secondry,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,536,501,508,504,574,638,528,197,429,350,408,431,492,555,552,529,457,537,525,493,480,481,517,507,547,338,361,348,354,415,242,270,257,264,163,217,223,212,197,185,194,196,216,208,171,172,154,156,137,155,185,172,143,133,116,130,121,112,135,156,171,176,181,193,167,180,175,167,138,114,102,129,134,137,137,123,140,115,121,111,111,115,127,129,121,97,108,94,103,95,84,83,75,83,73,81,84,81,64,72,79,78,59,45,40,51,50,67,65,68,19,25,70,70,66,20,30
Men,Centrel,3,Upper secondary,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1343,1195,1184,1221,1407,1607,1728,1404,250,1221,1543,1158,1162,1054,1084,1109,1199,1173,1413,1409,1317,1208,1312,1625,1776,1787,1163,1151,1104,1270,1335,1143,1144,1241,1378,1242,1425,1419,1445,1378,1333,1366,1487,1460,1381,1394,1483,1361,1382,1344,1407,1520,1462,1438,1322,1292,1334,1280,1197,1316,1317,1422,1371,1433,1451,1391,1397,1323,1270,1253,1230,1215,1306,1258,1189,1101,1100,1260,1172,1064,901,1032,1182,1177,1160,1017,840,829,873,968,1007,795,884,696,779,620,840,824,812,642,710,689,733,676,630,525,520,536,644,561,581,161,243,420,425,344,173,198
Men,Centrel,3,Technical and vocational,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,418,305,319,346,360,395,338,1166,252,224,266,284,265,278,297,311,293,373,328,276,225,245,261,253,242,173,182,191,176,221,174,168,163,176,155,171,172,194,200,222,225,211,202,182,197,189,174,186,192,199,187,187,180,156,136,161,161,166,176,192,214,212,224,226,220,215,210,172,187,180,164,167,152,156,173,181,203,158,147,134,139,149,151,157,139,118,118,113,114,113,96,101,90,89,78,91,96,103,83,73,64,79,73,70,64,72,83,81,67,77,15,36,94,96,88,31,40
